tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -1.20310  -0.20459  -0.16306    0.3755    0.5718
 1143     1.8600   -1.09485  -0.18303  -0.13283    0.3059    0.5800
 1286     1.5170   -1.04925  -0.16588  -0.11249    0.2590    0.5721
 1429     1.2917   -1.02337  -0.15191  -0.09713    0.2236    0.5658
 1571     1.1340   -1.01311  -0.14058  -0.08592    0.1978    0.5568
 1714     1.0185   -1.00464  -0.13130  -0.07674    0.1767    0.5533
 1857     0.9250   -1.00977  -0.12341  -0.07037    0.1620    0.5459
 2000     0.8447   -1.02326  -0.11605  -0.06536    0.1505    0.5355
 2143     0.7753   -1.04234  -0.10919  -0.06128    0.1411    0.5275
 2286     0.7143   -1.06079  -0.10266  -0.05729    0.1319    0.5173
 2429     0.6605   -1.07914  -0.09696  -0.05391    0.1241    0.5096
 2571     0.6130   -1.09943  -0.09164  -0.05095    0.1173    0.5010
 2714     0.5705   -1.12195  -0.08654  -0.04825    0.1111    0.4938
 2857     0.5332   -1.12977  -0.08208  -0.04481    0.1032    0.4914
 3000     0.5077   -1.13909  -0.07901  -0.04275    0.0984    0.4904
 3777     0.4025   -1.21767  -0.06519  -0.03564    0.0821    0.4714
 4755     0.3052   -1.30436  -0.05134  -0.02774    0.0639    0.4586
 5986     0.2200   -1.41826  -0.03822  -0.02048    0.0472    0.4475
 7536     0.1575   -1.54263  -0.02806  -0.01498    0.0345    0.4380
 9487     0.1075   -1.68020  -0.01952  -0.01013    0.0233    0.4326
11944     0.0680   -1.87999  -0.01251  -0.00665    0.0153    0.4243
15036     0.0415   -2.09301  -0.00770  -0.00414    0.0095    0.4155
18929     0.0278   -2.28703  -0.00516  -0.00289    0.0067    0.4100
23831     0.0188   -2.47593  -0.00347  -0.00201    0.0046    0.4014
30001     0.0082   -2.84583  -0.00151  -0.00089    0.0020    0.3952
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.38828  -0.24726  -0.21695    0.4995    0.6456
 1143     3.7200   -1.22966  -0.23309  -0.19138    0.4407    0.6791
 1286     3.0340   -1.14175  -0.22060  -0.17142    0.3947    0.6783
 1429     2.5835   -1.08045  -0.20888  -0.15411    0.3549    0.6754
 1571     2.2680   -1.03974  -0.19896  -0.14043    0.3234    0.6661
 1714     2.0370   -1.00623  -0.19046  -0.12869    0.2963    0.6623
 1857     1.8500   -0.99158  -0.18250  -0.11984    0.2759    0.6491
 2000     1.6895   -0.98702  -0.17507  -0.11279    0.2597    0.6323
 2143     1.5505   -0.98910  -0.16795  -0.10689    0.2461    0.6161
 2286     1.4285   -0.99270  -0.16090  -0.10122    0.2331    0.6015
 2429     1.3210   -0.99836  -0.15395  -0.09587    0.2208    0.5869
 2571     1.2260   -1.00690  -0.14724  -0.09104    0.2096    0.5726
 2714     1.1410   -1.01792  -0.14099  -0.08685    0.2000    0.5602
 2857     1.0665   -1.01362  -0.13535  -0.08137    0.1874    0.5559
 3000     1.0155   -1.01583  -0.13121  -0.07796    0.1795    0.5522
 3777     0.8050   -1.06482  -0.11199  -0.06609    0.1522    0.5196
 4755     0.6105   -1.11961  -0.09131  -0.05241    0.1207    0.4959
 5986     0.4400   -1.20325  -0.07024  -0.03939    0.0907    0.4750
 7536     0.3150   -1.30519  -0.05276  -0.02913    0.0671    0.4579
 9487     0.2150   -1.42232  -0.03745  -0.01991    0.0458    0.4471
11944     0.1360   -1.60649  -0.02443  -0.01320    0.0304    0.4339
15036     0.0830   -1.80905  -0.01520  -0.00827    0.0190    0.4207
18929     0.0555   -1.99818  -0.01025  -0.00581    0.0134    0.4130
23831     0.0375   -2.18315  -0.00696  -0.00407    0.0094    0.4037
30001     0.0165   -2.54857  -0.00306  -0.00183    0.0042    0.3961
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.51808  -0.26387  -0.24034    0.5534    0.6787
 1143     5.5800   -1.35409  -0.25414  -0.22094    0.5087    0.7319
 1286     4.5510   -1.25192  -0.24443  -0.20371    0.4691    0.7417
 1429     3.8753   -1.17170  -0.23583  -0.18820    0.4333    0.7477
 1571     3.4020   -1.11784  -0.22717  -0.17462    0.4021    0.7400
 1714     3.0555   -1.07076  -0.22067  -0.16330    0.3760    0.7423
 1857     2.7750   -1.04549  -0.21384  -0.15414    0.3549    0.7285
 2000     2.5343   -1.03008  -0.20788  -0.14696    0.3384    0.7108
 2143     2.3258   -1.02352  -0.20164  -0.14067    0.3239    0.6909
 2286     2.1428   -1.01753  -0.19477  -0.13392    0.3084    0.6709
 2429     1.9815   -1.01488  -0.18794  -0.12763    0.2939    0.6513
 2571     1.8390   -1.01460  -0.18225  -0.12265    0.2824    0.6358
 2714     1.7115   -1.01680  -0.17627  -0.11770    0.2710    0.6192
 2857     1.5998   -1.00346  -0.17150  -0.11185    0.2575    0.6188
