tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -1.29311  -0.14806  -0.11803    0.2718    0.4536
 1143     0.9795   -1.16642  -0.12572  -0.08787    0.2023    0.4912
 1286     0.7955   -1.10104  -0.10921  -0.06706    0.1544    0.5106
 1429     0.6950   -1.07294  -0.09943  -0.05556    0.1279    0.5218
 1571     0.6460   -1.07079  -0.09417  -0.05060    0.1165    0.5222
 1714     0.6273   -1.08264  -0.09214  -0.04987    0.1148    0.5185
 1857     0.6403   -1.11257  -0.09358  -0.05388    0.1241    0.5074
 2000     0.7107   -1.17469  -0.10093  -0.06575    0.1514    0.4802
 2143     0.7975   -1.23903  -0.10928  -0.07821    0.1801    0.4569
 2286     0.7275   -1.22581  -0.10266  -0.07113    0.1638    0.4603
 2429     0.6180   -1.19310  -0.09112  -0.05807    0.1337    0.4743
 2571     0.5485   -1.17900  -0.08338  -0.04986    0.1148    0.4828
 2714     0.5055   -1.18042  -0.07820  -0.04517    0.1040    0.4846
 2857     0.4762   -1.18116  -0.07461  -0.04189    0.0965    0.4847
 3000     0.4545   -1.18522  -0.07192  -0.03969    0.0914    0.4862
 3777     0.3817   -1.23876  -0.06242  -0.03441    0.0792    0.4730
 4755     0.2998   -1.30515  -0.05084  -0.02730    0.0629    0.4657
 5986     0.2272   -1.40390  -0.03986  -0.02147    0.0494    0.4529
 7536     0.1667   -1.52113  -0.03006  -0.01626    0.0374    0.4388
 9487     0.1100   -1.65818  -0.02035  -0.01047    0.0241    0.4381
11944     0.0760   -1.82846  -0.01426  -0.00765    0.0176    0.4254
15036     0.0525   -1.99352  -0.00994  -0.00546    0.0126    0.4199
18929     0.0362   -2.15552  -0.00689  -0.00382    0.0088    0.4124
23831     0.0250   -2.33548  -0.00476  -0.00274    0.0063    0.4057
30001     0.0172   -2.51807  -0.00329  -0.00196    0.0045    0.3965
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.38150  -0.20032  -0.17261    0.3975    0.5003
 1143     1.9590   -1.18643  -0.17981  -0.13902    0.3201    0.5565
 1286     1.5910   -1.07032  -0.16369  -0.11293    0.2600    0.5885
 1429     1.3900   -1.01169  -0.15288  -0.09658    0.2224    0.6054
 1571     1.2920   -0.99392  -0.14726  -0.08946    0.2060    0.6073
 1714     1.2545   -1.00274  -0.14446  -0.08810    0.2028    0.5979
 1857     1.2805   -1.04103  -0.14615  -0.09408    0.2166    0.5812
 2000     1.4215   -1.13188  -0.15473  -0.11121    0.2561    0.5423
 2143     1.5950   -1.22466  -0.16414  -0.12791    0.2945    0.5089
 2286     1.4550   -1.19220  -0.15676  -0.11847    0.2728    0.5134
 2429     1.2360   -1.12540  -0.14322  -0.10018    0.2307    0.5313
 2571     1.0970   -1.08620  -0.13389  -0.08794    0.2025    0.5414
 2714     1.0110   -1.07236  -0.12747  -0.08077    0.1860    0.5427
 2857     0.9525   -1.06326  -0.12268  -0.07554    0.1739    0.5424
 3000     0.9090   -1.05995  -0.11906  -0.07195    0.1657    0.5424
 3777     0.7635   -1.09026  -0.10619  -0.06332    0.1458    0.5216
 4755     0.5995   -1.12796  -0.08926  -0.05125    0.1180    0.5056
 5986     0.4545   -1.20169  -0.07199  -0.04091    0.0942    0.4836
 7536     0.3335   -1.29415  -0.05580  -0.03142    0.0723    0.4614
 9487     0.2200   -1.40702  -0.03868  -0.02047    0.0471    0.4541
11944     0.1520   -1.56253  -0.02758  -0.01509    0.0347    0.4364
15036     0.1050   -1.71669  -0.01947  -0.01084    0.0249    0.4275
18929     0.0725   -1.87147  -0.01363  -0.00765    0.0176    0.4175
23831     0.0500   -2.04659  -0.00948  -0.00551    0.0127    0.4090
30001     0.0345   -2.22587  -0.00656  -0.00395    0.0091    0.3988
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     3.9285   -1.48578  -0.22521  -0.20201    0.4651    0.5290
