tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -1.26351  -0.15229  -0.11991    0.2761    0.4502
 1143     0.9795   -1.14388  -0.12746  -0.08754    0.2016    0.4845
 1286     0.7955   -1.08318  -0.11059  -0.06663    0.1534    0.5035
 1429     0.6950   -1.05887  -0.10021  -0.05489    0.1264    0.5141
 1571     0.6460   -1.05817  -0.09480  -0.04995    0.1150    0.5151
 1714     0.6273   -1.07012  -0.09272  -0.04923    0.1133    0.5117
 1857     0.6403   -1.09924  -0.09421  -0.05327    0.1227    0.5011
 2000     0.7107   -1.15880  -0.10184  -0.06532    0.1504    0.4744
 2143     0.7975   -1.21893  -0.11078  -0.07818    0.1800    0.4519
 2286     0.7275   -1.20888  -0.10359  -0.07078    0.1630    0.4548
 2429     0.6180   -1.17903  -0.09167  -0.05753    0.1325    0.4689
 2571     0.5485   -1.16805  -0.08353  -0.04917    0.1132    0.4770
 2714     0.5055   -1.17137  -0.07813  -0.04444    0.1023    0.4791
 2857     0.4762   -1.17327  -0.07444  -0.04116    0.0948    0.4789
 3000     0.4545   -1.17836  -0.07167  -0.03897    0.0897    0.4807
 3777     0.3817   -1.23499  -0.06191  -0.03369    0.0776    0.4680
 4755     0.2998   -1.30473  -0.05020  -0.02668    0.0614    0.4619
 5986     0.2272   -1.40763  -0.03909  -0.02089    0.0481    0.4498
 7536     0.1667   -1.52765  -0.02936  -0.01579    0.0363    0.4364
 9487     0.1100   -1.66831  -0.01978  -0.01013    0.0233    0.4359
11944     0.0760   -1.84004  -0.01383  -0.00740    0.0170    0.4237
15036     0.0525   -2.00666  -0.00962  -0.00527    0.0121    0.4187
18929     0.0362   -2.16937  -0.00667  -0.00369    0.0085    0.4118
23831     0.0250   -2.34984  -0.00462  -0.00266    0.0061    0.4055
30001     0.0172   -2.53318  -0.00317  -0.00189    0.0044    0.3962
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.35116  -0.20951  -0.17925    0.4127    0.5014
 1143     1.9590   -1.15478  -0.18663  -0.14224    0.3275    0.5514
 1286     1.5910   -1.04043  -0.16945  -0.11461    0.2639    0.5826
 1429     1.3900   -0.98435  -0.15730  -0.09701    0.2234    0.5948
 1571     1.2920   -0.96760  -0.15131  -0.08961    0.2063    0.5959
 1714     1.2545   -0.97583  -0.14878  -0.08849    0.2038    0.5889
 1857     1.2805   -1.01328  -0.15058  -0.09475    0.2182    0.5726
 2000     1.4215   -1.10223  -0.15954  -0.11261    0.2593    0.5359
 2143     1.5950   -1.19432  -0.16987  -0.13065    0.3008    0.5051
 2286     1.4550   -1.16264  -0.16183  -0.12051    0.2775    0.5085
 2429     1.2360   -1.09667  -0.14748  -0.10122    0.2331    0.5257
 2571     1.0970   -1.06066  -0.13716  -0.08823    0.2032    0.5338
 2714     1.0110   -1.04931  -0.13027  -0.08086    0.1862    0.5353
 2857     0.9525   -1.04052  -0.12521  -0.07540    0.1736    0.5339
 3000     0.9090   -1.03858  -0.12129  -0.07169    0.1651    0.5342
 3777     0.7635   -1.07431  -0.10724  -0.06275    0.1445    0.5133
 4755     0.5995   -1.11657  -0.08947  -0.05047    0.1162    0.4983
 5986     0.4545   -1.19462  -0.07169  -0.04014    0.0924    0.4777
 7536     0.3335   -1.29272  -0.05509  -0.03066    0.0706    0.4571
 9487     0.2200   -1.41078  -0.03795  -0.01992    0.0459    0.4512
11944     0.1520   -1.56953  -0.02693  -0.01465    0.0337    0.4345
15036     0.1050   -1.72697  -0.01891  -0.01049    0.0242    0.4256
18929     0.0725   -1.88327  -0.01321  -0.00739    0.0170    0.4161
23831     0.0500   -2.05996  -0.00917  -0.00533    0.0123    0.4079
30001     0.0345   -2.23981  -0.00635  -0.00382    0.0088    0.3982
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     3.9285   -1.45918  -0.23583  -0.21061    0.4849    0.5305
 1143     2.9385   -1.22887  -0.21825  -0.17781    0.4094    0.6026
 1286     2.3865   -1.08188  -0.20238  -0.14854    0.3420    0.6453
 1429     2.0850   -1.00360  -0.19177  -0.12948    0.2981    0.6654
 1571     1.9380   -0.97694  -0.18558  -0.12049    0.2774    0.6647
 1714     1.8817   -0.98266  -0.18308  -0.11913    0.2743    0.6549
 1857     1.9208   -1.02645  -0.18488  -0.12644    0.2911    0.6323
 2000     2.1323   -1.13503  -0.19364  -0.14658    0.3375    0.5852
 2143     2.3925   -1.24675  -0.20281  -0.16523    0.3805    0.5431
 2286     2.1825   -1.20266  -0.19550  -0.15476    0.3563    0.5493
 2429     1.8540   -1.11231  -0.18207  -0.13385    0.3082    0.5713
 2571     1.6455   -1.05878  -0.17236  -0.11932    0.2747    0.5843
 2714     1.5165   -1.03479  -0.16548  -0.11045    0.2543    0.5860
 2857     1.4288   -1.01821  -0.16021  -0.10381    0.2390    0.5854
 3000     1.3635   -1.01026  -0.15602  -0.09916    0.2283    0.5846
 3777     1.1452   -1.02672  -0.14094  -0.08783    0.2022    0.5569
 4755     0.8992   -1.04527  -0.12050  -0.07171    0.1651    0.5342
 5986     0.6817   -1.10284  -0.09870  -0.05768    0.1328    0.5043
 7536     0.5002   -1.18127  -0.07750  -0.04458    0.1027    0.4774
 9487     0.3300   -1.27757  -0.05457  -0.02933    0.0675    0.4654
11944     0.2280   -1.42182  -0.03953  -0.02188    0.0504    0.4464
15036     0.1575   -1.57208  -0.02784  -0.01561    0.0360    0.4327
18929     0.1088   -1.72223  -0.01956  -0.01103    0.0254    0.4209
23831     0.0750   -1.89422  -0.01366  -0.00798    0.0184    0.4110
30001     0.0518   -2.07148  -0.00948  -0.00574    0.0132    0.3999
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     5.2380   -1.55101  -0.25137  -0.23011    0.5299    0.5501
 1143     3.9180   -1.30203  -0.23666  -0.20082    0.4624    0.6365
 1286     3.1820   -1.13877  -0.22304  -0.17328    0.3990    0.6928
 1429     2.7800   -1.04617  -0.21383  -0.15422    0.3551    0.7230
 1571     2.5840   -1.01255  -0.20804  -0.14476    0.3333    0.7249
 1714     2.5090   -1.01578  -0.20627  -0.14366    0.3308    0.7143
 1857     2.5610   -1.06411  -0.20753  -0.15095    0.3476    0.6835
 2000     2.8430   -1.18699  -0.21565  -0.17157    0.3951    0.6237
 2143     3.1900   -1.31218  -0.22285  -0.18886    0.4349    0.5704
 2286     2.9100   -1.25941  -0.21722  -0.17950    0.4133    0.5807
 2429     2.4720   -1.15190  -0.20510  -0.15860    0.3652    0.6107
 2571     2.1940   -1.08615  -0.19606  -0.14344    0.3303    0.6263
 2714     2.0220   -1.05471  -0.18926  -0.13376    0.3080    0.6277
 2857     1.9050   -1.03188  -0.18440  -0.12671    0.2918    0.6283
 3000     1.8180   -1.01986  -0.18013  -0.12146    0.2797    0.6266
 3777     1.5270   -1.02217  -0.16591  -0.10930    0.2517    0.5959
 4755     1.1990   -1.02045  -0.14478  -0.09050    0.2084    0.5674
 5986     0.9090   -1.05700  -0.12132  -0.07367    0.1696    0.5300
 7536     0.6670   -1.11826  -0.09709  -0.05758    0.1326    0.4967
 9487     0.4400   -1.19492  -0.06982  -0.03842    0.0885    0.4800
11944     0.3040   -1.32938  -0.05081  -0.02852    0.0657    0.4532
15036     0.2100   -1.46887  -0.03637  -0.02062    0.0475    0.4389
18929     0.1450   -1.61190  -0.02577  -0.01465    0.0337    0.4261
23831     0.1000   -1.77971  -0.01805  -0.01059    0.0244    0.4141
30001     0.0690   -1.95367  -0.01259  -0.00765    0.0176    0.4020
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.8570   -1.68178  -0.26706  -0.25066    0.5772    0.5684
 1143     5.8770   -1.42885  -0.25559  -0.22738    0.5236    0.6742
 1286     4.7730   -1.25027  -0.24588  -0.20488    0.4718    0.7572
 1429     4.1700   -1.14094  -0.23947  -0.18814    0.4332    0.8057
 1571     3.8760   -1.09730  -0.23570  -0.17974    0.4139    0.8164
 1714     3.7635   -1.09875  -0.23370  -0.17816    0.4102    0.8000
 1857     3.8415   -1.15196  -0.23509  -0.18544    0.4270    0.7587
 2000     4.2645   -1.29031  -0.24118  -0.20403    0.4698    0.6766
 2143     4.7850   -1.42501  -0.24676  -0.21887    0.5040    0.6072
 2286     4.3650   -1.36714  -0.24164  -0.21027    0.4842    0.6209
 2429     3.7080   -1.24297  -0.23260  -0.19214    0.4424    0.6642
 2571     3.2910   -1.16589  -0.22465  -0.17758    0.4089    0.6880
 2714     3.0330   -1.12376  -0.21914  -0.16816    0.3872    0.6939
 2857     2.8575   -1.09100  -0.21609  -0.16171    0.3724    0.7012
 3000     2.7270   -1.07358  -0.21224  -0.15625    0.3598    0.7001
 3777     2.2905   -1.05657  -0.19926  -0.14278    0.3288    0.6616
 4755     1.7985   -1.02665  -0.17955  -0.12181    0.2805    0.6262
 5986     1.3635   -1.03076  -0.15587  -0.10150    0.2337    0.5773
 7536     1.0005   -1.05909  -0.12931  -0.08105    0.1866    0.5335
 9487     0.6600   -1.10081  -0.09622  -0.05524    0.1272    0.5064
11944     0.4560   -1.21323  -0.07189  -0.04161    0.0958    0.4716
15036     0.3150   -1.33511  -0.05241  -0.03033    0.0698    0.4512
18929     0.2175   -1.46620  -0.03754  -0.02165    0.0499    0.4345
23831     0.1500   -1.62457  -0.02660  -0.01577    0.0363    0.4207
30001     0.1035   -1.79238  -0.01865  -0.01140    0.0263    0.4062
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
