tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.89176  -0.54455  -0.38332    0.8826    1.7055
 1143     1.8600   -0.79389  -0.45385  -0.29038    0.6686    1.5936
 1286     1.5170   -0.75853  -0.38959  -0.23498    0.5411    1.5036
 1429     1.2917   -0.73888  -0.34318  -0.19641    0.4523    1.4453
 1571     1.1340   -0.73413  -0.30878  -0.17031    0.3921    1.3959
 1714     1.0185   -0.72981  -0.28196  -0.14952    0.3443    1.3640
 1857     0.9250   -0.73839  -0.25988  -0.13529    0.3115    1.3291
 2000     0.8447   -0.75465  -0.24035  -0.12441    0.2865    1.2990
 2143     0.7753   -0.77557  -0.22319  -0.11588    0.2668    1.2756
 2286     0.7143   -0.79516  -0.20748  -0.10766    0.2479    1.2500
 2429     0.6605   -0.81627  -0.19360  -0.10073    0.2320    1.2351
 2571     0.6130   -0.83858  -0.18090  -0.09456    0.2177    1.2191
 2714     0.5705   -0.86204  -0.16948  -0.08923    0.2055    1.1971
 2857     0.5332   -0.87144  -0.15940  -0.08237    0.1897    1.1864
 3000     0.5077   -0.88246  -0.15243  -0.07827    0.1802    1.1795
 3777     0.4025   -0.96616  -0.12284  -0.06462    0.1488    1.1464
 4755     0.3052   -1.05578  -0.09471  -0.04963    0.1143    1.1134
 5986     0.2200   -1.17260  -0.06928  -0.03633    0.0837    1.0764
 7536     0.1575   -1.29980  -0.05013  -0.02635    0.0607    1.0564
 9487     0.1075   -1.43908  -0.03451  -0.01773    0.0408    1.0422
11944     0.0680   -1.64056  -0.02193  -0.01160    0.0267    1.0222
15036     0.0415   -1.85436  -0.01341  -0.00719    0.0166    1.0112
18929     0.0278   -2.04907  -0.00896  -0.00502    0.0115    1.0127
23831     0.0188   -2.23884  -0.00602  -0.00349    0.0080    1.0069
30001     0.0082   -2.60821  -0.00253  -0.00145    0.0033    1.0052
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.06828  -0.81736  -0.62392    1.4366    2.2570
 1143     3.7200   -0.91369  -0.70989  -0.49891    1.1488    2.1244
 1286     3.0340   -0.82981  -0.62947  -0.41716    0.9606    1.9842
 1429     2.5835   -0.77200  -0.56903  -0.35773    0.8237    1.8827
 1571     2.2680   -0.73731  -0.52037  -0.31441    0.7239    1.7963
 1714     2.0370   -0.70741  -0.48383  -0.28036    0.6455    1.7374
 1857     1.8500   -0.69652  -0.45243  -0.25652    0.5907    1.6776
 2000     1.6895   -0.69487  -0.42322  -0.23711    0.5460    1.6169
 2143     1.5505   -0.70143  -0.39647  -0.22168    0.5104    1.5656
 2286     1.4285   -0.70732  -0.37231  -0.20725    0.4772    1.5197
 2429     1.3210   -0.71563  -0.35011  -0.19447    0.4478    1.4822
 2571     1.2260   -0.72626  -0.32973  -0.18320    0.4218    1.4459
 2714     1.1410   -0.73932  -0.31074  -0.17315    0.3987    1.4084
 2857     1.0665   -0.73823  -0.29349  -0.16023    0.3689    1.3857
 3000     1.0155   -0.74250  -0.28172  -0.15264    0.3515    1.3702
 3777     0.8050   -0.79731  -0.23051  -0.12632    0.2909    1.2904
 4755     0.6105   -0.85938  -0.18023  -0.09768    0.2249    1.2257
 5986     0.4400   -0.94985  -0.13351  -0.07181    0.1654    1.1582
 7536     0.3150   -1.05678  -0.09750  -0.05224    0.1203    1.1156
 9487     0.2150   -1.17771  -0.06772  -0.03525    0.0812    1.0826
11944     0.1360   -1.36434  -0.04345  -0.02318    0.0534    1.0480
15036     0.0830   -1.56914  -0.02672  -0.01444    0.0332    1.0284
18929     0.0555   -1.75935  -0.01791  -0.01011    0.0233    1.0231
23831     0.0375   -1.94464  -0.01212  -0.00708    0.0163    1.0156
30001     0.0165   -2.31164  -0.00526  -0.00312    0.0072    1.0085
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.21836  -0.98612  -0.78587    1.8095    2.6555
 1143     5.5800   -1.04326  -0.87550  -0.65030    1.4974    2.5409
 1286     4.5510   -0.93707  -0.79052  -0.55661    1.2816    2.3834
 1429     3.8753   -0.86105  -0.72571  -0.48710    1.1216    2.2686
 1571     3.4020   -0.80957  -0.67370  -0.43532    1.0024    2.1656
 1714     3.0555   -0.76467  -0.63088  -0.39161    0.9017    2.0885
 1857     2.7750   -0.74020  -0.59618  -0.36122    0.8317    2.0079
 2000     2.5343   -0.72781  -0.56163  -0.33579    0.7732    1.9248
 2143     2.3258   -0.72334  -0.53060  -0.31534    0.7261    1.8469
 2286     2.1428   -0.71917  -0.50137  -0.29572    0.6809    1.7805
 2429     1.9815   -0.71908  -0.47454  -0.27879    0.6419    1.7246
 2571     1.8390   -0.72107  -0.45023  -0.26384    0.6075    1.6706
 2714     1.7115   -0.72592  -0.42766  -0.25065    0.5771    1.6209
 2857     1.5998   -0.71538  -0.40590  -0.23261    0.5356    1.5854
 3000     1.5232   -0.71341  -0.39130  -0.22213    0.5115    1.5610
 3777     1.2075   -0.74507  -0.32553  -0.18546    0.4270    1.4419
 4755     0.9158   -0.78197  -0.25801  -0.14431    0.3323    1.3404
 5986     0.6600   -0.84797  -0.19344  -0.10653    0.2453    1.2405
 7536     0.4725   -0.93621  -0.14265  -0.07787    0.1793    1.1755
 9487     0.3225   -1.04059  -0.09972  -0.05260    0.1211    1.1238
11944     0.2040   -1.21370  -0.06437  -0.03462    0.0797    1.0725
15036     0.1245   -1.40855  -0.03982  -0.02162    0.0498    1.0421
18929     0.0833   -1.59381  -0.02679  -0.01517    0.0349    1.0330
23831     0.0562   -1.77665  -0.01815  -0.01064    0.0245    1.0225
30001     0.0247   -2.13821  -0.00798  -0.00477    0.0110    1.0118
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     9.6750   -1.32934  -1.10817  -0.90380    2.0811    2.9464
 1143     7.4400   -1.14720  -0.99883  -0.76568    1.7630    2.8604
 1286     6.0680   -1.03577  -0.91006  -0.66735    1.5366    2.7131
 1429     5.1670   -0.94893  -0.84262  -0.59150    1.3620    2.5926
 1571     4.5360   -0.88723  -0.78880  -0.53420    1.2300    2.4811
 1714     4.0740   -0.83409  -0.74425  -0.48582    1.1186    2.4011
 1857     3.7000   -0.80277  -0.70701  -0.45123    1.0390    2.3084
 2000     3.3790   -0.78276  -0.67099  -0.42225    0.9723    2.2098
 2143     3.1010   -0.77154  -0.63643  -0.39773    0.9158    2.1110
 2286     2.8570   -0.76051  -0.60655  -0.37571    0.8651    2.0334
 2429     2.6420   -0.75191  -0.57819  -0.35539    0.8183    1.9568
 2571     2.4520   -0.74810  -0.54933  -0.33641    0.7746    1.8844
 2714     2.2820   -0.74611  -0.52394  -0.31994    0.7367    1.8190
 2857     2.1330   -0.72996  -0.49997  -0.29889    0.6882    1.7797
 3000     2.0310   -0.72439  -0.48290  -0.28604    0.6586    1.7483
 3777     1.6100   -0.73650  -0.40815  -0.24097    0.5549    1.5925
 4755     1.2210   -0.75067  -0.32811  -0.18888    0.4349    1.4539
 5986     0.8800   -0.79501  -0.24914  -0.14040    0.3233    1.3246
 7536     0.6300   -0.86468  -0.18539  -0.10287    0.2369    1.2340
 9487     0.4300   -0.95391  -0.13072  -0.06993    0.1610    1.1659
11944     0.2720   -1.11442  -0.08478  -0.04600    0.1059    1.0986
15036     0.1660   -1.29935  -0.05269  -0.02875    0.0662    1.0617
18929     0.1110   -1.47889  -0.03561  -0.02024    0.0466    1.0435
23831     0.0750   -1.65895  -0.02415  -0.01420    0.0327    1.0292
30001     0.0330   -2.01589  -0.01069  -0.00642    0.0148    1.0145
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.49877  -1.28105  -1.07538    2.4762    3.3815
 1143    11.1600   -1.31244  -1.17069  -0.93478    2.1524    3.3482
 1286     9.1020   -1.18951  -1.08392  -0.83248    1.9169    3.2139
 1429     7.7505   -1.09423  -1.01145  -0.74984    1.7266    3.0971
 1571     6.8040   -1.02606  -0.95930  -0.69037    1.5896    2.9959
 1714     6.1110   -0.96373  -0.91423  -0.63724    1.4673    2.9185
 1857     5.5500   -0.92535  -0.87327  -0.59750    1.3758    2.8143
 2000     5.0685   -0.89622  -0.83471  -0.56335    1.2972    2.6912
 2143     4.6515   -0.87782  -0.79938  -0.53580    1.2337    2.5727
 2286     4.2855   -0.85916  -0.76753  -0.50991    1.1741    2.4719
 2429     3.9630   -0.84370  -0.73402  -0.48438    1.1153    2.3743
 2571     3.6780   -0.83083  -0.70365  -0.46157    1.0628    2.2771
 2714     3.4230   -0.82328  -0.67616  -0.44249    1.0189    2.1976
 2857     3.1995   -0.79615  -0.65000  -0.41593    0.9577    2.1439
 3000     3.0465   -0.78386  -0.63004  -0.39915    0.9191    2.0982
 3777     2.4150   -0.76913  -0.54466  -0.34152    0.7864    1.8807
 4755     1.8315   -0.74811  -0.44864  -0.27203    0.6264    1.6787
 5986     1.3200   -0.75385  -0.34972  -0.20535    0.4728    1.4914
 7536     0.9450   -0.79187  -0.26537  -0.15226    0.3506    1.3565
 9487     0.6450   -0.85048  -0.18957  -0.10381    0.2390    1.2486
11944     0.4080   -0.98688  -0.12448  -0.06861    0.1580    1.1499
15036     0.2490   -1.15455  -0.07792  -0.04296    0.0989    1.0895
18929     0.1665   -1.32434  -0.05289  -0.03025    0.0696    1.0629
23831     0.1125   -1.49718  -0.03607  -0.02130    0.0491    1.0415
30001     0.0495   -1.84735  -0.01600  -0.00964    0.0222    1.0209
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    19.3500   -1.61495  -1.40647  -1.19729    2.7569    3.6799
 1143    14.8800   -1.43098  -1.29633  -1.05743    2.4348    3.6991
 1286    12.1360   -1.30612  -1.20523  -0.95172    2.1914    3.5799
 1429    10.3340   -1.20780  -1.13386  -0.86823    1.9992    3.4826
 1571     9.0720   -1.13412  -1.08072  -0.80557    1.8549    3.3810
 1714     8.1480   -1.06869  -1.03549  -0.75074    1.7286    3.3152
 1857     7.4000   -1.02789  -0.99592  -0.71058    1.6362    3.2124
 2000     6.7580   -0.99697  -0.95804  -0.67604    1.5566    3.0866
 2143     6.2020   -0.97587  -0.91986  -0.64593    1.4873    2.9546
 2286     5.7140   -0.95072  -0.88504  -0.61561    1.4175    2.8309
 2429     5.2840   -0.93172  -0.85221  -0.58912    1.3565    2.7226
 2571     4.9040   -0.91508  -0.82008  -0.56396    1.2986    2.6126
 2714     4.5640   -0.90156  -0.79237  -0.54252    1.2492    2.5147
 2857     4.2660   -0.86977  -0.76429  -0.51281    1.1808    2.4567
 3000     4.0620   -0.85441  -0.74572  -0.49565    1.1413    2.4103
 3777     3.2200   -0.82414  -0.65364  -0.42954    0.9891    2.1473
 4755     2.4420   -0.77896  -0.54847  -0.34757    0.8003    1.8952
 5986     1.7600   -0.75479  -0.43615  -0.26585    0.6121    1.6555
 7536     1.2600   -0.76387  -0.33677  -0.19877    0.4577    1.4736
 9487     0.8600   -0.79666  -0.24418  -0.13689    0.3152    1.3330
11944     0.5440   -0.90981  -0.16235  -0.09088    0.2093    1.2022
15036     0.3320   -1.05979  -0.10253  -0.05708    0.1314    1.1209
