tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -1.06113  -0.29088  -0.22279    0.5130    1.3579
 1143     0.9795   -0.93958  -0.23651  -0.15801    0.3638    1.3157
 1286     0.7955   -0.87645  -0.20224  -0.11884    0.2736    1.2872
 1429     0.6950   -0.85042  -0.18160  -0.09725    0.2239    1.2710
 1571     0.6460   -0.84761  -0.17138  -0.08832    0.2034    1.2581
 1714     0.6273   -0.85978  -0.16759  -0.08728    0.2010    1.2470
 1857     0.6403   -0.88975  -0.17020  -0.09438    0.2173    1.2497
 2000     0.7107   -0.95082  -0.18526  -0.11650    0.2682    1.2512
 2143     0.7975   -1.01450  -0.20257  -0.14029    0.3230    1.2610
 2286     0.7275   -1.00246  -0.18856  -0.12654    0.2914    1.2441
 2429     0.6180   -0.97205  -0.16446  -0.10160    0.2339    1.2227
 2571     0.5485   -0.95658  -0.14979  -0.08682    0.1999    1.2107
 2714     0.5055   -0.95870  -0.13949  -0.07818    0.1800    1.1999
 2857     0.4762   -0.95963  -0.13259  -0.07230    0.1665    1.1869
 3000     0.4545   -0.96454  -0.12731  -0.06833    0.1573    1.1788
 3777     0.3817   -1.01918  -0.10927  -0.05887    0.1356    1.1552
 4755     0.2998   -1.08662  -0.08782  -0.04632    0.1067    1.1268
 5986     0.2272   -1.18517  -0.06817  -0.03620    0.0834    1.0935
 7536     0.1667   -1.30219  -0.05098  -0.02729    0.0628    1.0670
 9487     0.1100   -1.43857  -0.03431  -0.01752    0.0403    1.0485
11944     0.0760   -1.60903  -0.02390  -0.01276    0.0294    1.0307
15036     0.0525   -1.77480  -0.01661  -0.00909    0.0209    1.0229
18929     0.0362   -1.93531  -0.01149  -0.00635    0.0146    1.0182
23831     0.0250   -2.11478  -0.00800  -0.00462    0.0106    1.0118
30001     0.0172   -2.29809  -0.00551  -0.00330    0.0076    1.0100
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.13541  -0.43491  -0.35599    0.8197    1.6174
 1143     1.9590   -0.94865  -0.37289  -0.27059    0.6231    1.5815
 1286     1.5910   -0.83708  -0.32928  -0.21181    0.4877    1.5483
 1429     1.3900   -0.78099  -0.30254  -0.17794    0.4097    1.5222
 1571     1.2920   -0.76628  -0.28725  -0.16279    0.3748    1.5001
 1714     1.2545   -0.77213  -0.28302  -0.16104    0.3708    1.4824
 1857     1.2805   -0.81080  -0.28677  -0.17309    0.3986    1.4787
 2000     1.4215   -0.90040  -0.30716  -0.20847    0.4800    1.4764
 2143     1.5950   -0.99291  -0.32986  -0.24448    0.5629    1.4818
 2286     1.4550   -0.96206  -0.31203  -0.22430    0.5165    1.4599
 2429     1.2360   -0.89624  -0.27935  -0.18537    0.4268    1.4289
 2571     1.0970   -0.86017  -0.25686  -0.16020    0.3689    1.4058
 2714     1.0110   -0.84643  -0.24293  -0.14631    0.3369    1.3884
 2857     0.9525   -0.83731  -0.23226  -0.13594    0.3130    1.3690
 3000     0.9090   -0.83538  -0.22400  -0.12894    0.2969    1.3586
 3777     0.7635   -0.86931  -0.19552  -0.11204    0.2580    1.3101
 4755     0.5995   -0.90678  -0.16114  -0.08940    0.2059    1.2481
 5986     0.4545   -0.98121  -0.12740  -0.07048    0.1623    1.1874
 7536     0.3335   -1.07538  -0.09699  -0.05358    0.1234    1.1389
