tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -0.97090  -0.34885  -0.25586    0.5891    1.3460
 1143     0.9795   -0.86423  -0.27408  -0.17476    0.4024    1.2950
 1286     0.7955   -0.81167  -0.22884  -0.12801    0.2948    1.2594
 1429     0.6950   -0.79171  -0.20316  -0.10351    0.2383    1.2417
 1571     0.6460   -0.79299  -0.19020  -0.09344    0.2152    1.2289
 1714     0.6273   -0.80642  -0.18525  -0.09209    0.2121    1.2219
 1857     0.6403   -0.83409  -0.18868  -0.10010    0.2305    1.2212
 2000     0.7107   -0.88953  -0.20745  -0.12541    0.2888    1.2268
 2143     0.7975   -0.94652  -0.22943  -0.15322    0.3528    1.2384
 2286     0.7275   -0.93857  -0.21159  -0.13696    0.3154    1.2198
 2429     0.6180   -0.91412  -0.18282  -0.10886    0.2507    1.1991
 2571     0.5485   -0.90638  -0.16399  -0.09175    0.2113    1.1861
 2714     0.5055   -0.91095  -0.15222  -0.08244    0.1898    1.1763
 2857     0.4762   -0.91408  -0.14423  -0.07609    0.1752    1.1655
 3000     0.4545   -0.92066  -0.13807  -0.07176    0.1652    1.1582
 3777     0.3817   -0.97991  -0.11722  -0.06139    0.1414    1.1344
 4755     0.2998   -1.05304  -0.09334  -0.04812    0.1108    1.1096
 5986     0.2272   -1.15851  -0.07156  -0.03739    0.0861    1.0814
 7536     0.1667   -1.28056  -0.05308  -0.02809    0.0647    1.0572
 9487     0.1100   -1.42335  -0.03532  -0.01790    0.0412    1.0407
11944     0.0760   -1.59657  -0.02452  -0.01304    0.0300    1.0241
15036     0.0525   -1.76364  -0.01698  -0.00926    0.0213    1.0236
18929     0.0362   -1.92640  -0.01174  -0.00649    0.0149    1.0158
23831     0.0250   -2.10772  -0.00807  -0.00464    0.0107    1.0101
30001     0.0172   -2.29162  -0.00555  -0.00331    0.0076    1.0084
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.03697  -0.57851  -0.44883    1.0335    1.6675
 1143     1.9590   -0.85142  -0.47386  -0.32181    0.7410    1.5886
 1286     1.5910   -0.74712  -0.40598  -0.24285    0.5592    1.5374
 1429     1.3900   -0.69610  -0.36601  -0.19939    0.4591    1.4967
 1571     1.2920   -0.68337  -0.34513  -0.18109    0.4170    1.4699
 1714     1.2545   -0.69291  -0.33694  -0.17840    0.4108    1.4574
 1857     1.2805   -0.72881  -0.34293  -0.19332    0.4451    1.4524
 2000     1.4215   -0.81237  -0.37253  -0.23797    0.5479    1.4579
 2143     1.5950   -0.90027  -0.40726  -0.28624    0.6591    1.4754
 2286     1.4550   -0.87230  -0.37959  -0.25850    0.5952    1.4457
 2429     1.2360   -0.81206  -0.33320  -0.20870    0.4805    1.4053
 2571     1.0970   -0.78175  -0.30181  -0.17758    0.4089    1.3783
 2714     1.0110   -0.77262  -0.28167  -0.16015    0.3688    1.3567
 2857     0.9525   -0.76627  -0.26762  -0.14796    0.3407    1.3365
 3000     0.9090   -0.76594  -0.25744  -0.14014    0.3227    1.3251
 3777     0.7635   -0.80565  -0.22090  -0.12047    0.2774    1.2753
 4755     0.5995   -0.85446  -0.17804  -0.09502    0.2188    1.2193
 5986     0.4545   -0.93733  -0.13821  -0.07419    0.1708    1.1660
 7536     0.3335   -1.04009  -0.10325  -0.05572    0.1283    1.1197
 9487     0.2200   -1.16190  -0.06943  -0.03568    0.0821    1.0832
11944     0.1520   -1.32345  -0.04848  -0.02602    0.0599    1.0522
15036     0.1050   -1.48209  -0.03376  -0.01856    0.0427    1.0413
18929     0.0725   -1.63995  -0.02340  -0.01302    0.0300    1.0288
23831     0.0500   -1.81717  -0.01616  -0.00935    0.0215    1.0192
30001     0.0345   -1.99697  -0.01118  -0.00671    0.0155    1.0152
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     3.9285   -1.14153  -0.73797  -0.59344    1.3664    1.9315
 1143     2.9385   -0.91482  -0.62216  -0.44327    1.0207    1.8601
 1286     2.3865   -0.77529  -0.54346  -0.34306    0.7899    1.7999
 1429     2.0850   -0.70317  -0.49473  -0.28553    0.6575    1.7481
 1571     1.9380   -0.67929  -0.47023  -0.26127    0.6016    1.7156
 1714     1.8817   -0.68613  -0.46040  -0.25773    0.5935    1.6911
 1857     1.9208   -0.72899  -0.46680  -0.27737    0.6387    1.6804
 2000     2.1323   -0.83354  -0.50272  -0.33634    0.7744    1.6806
 2143     2.3925   -0.94476  -0.54402  -0.39869    0.9180    1.6996
 2286     2.1825   -0.90064  -0.51116  -0.36260    0.8349    1.6570
 2429     1.8540   -0.81539  -0.45512  -0.29790    0.6859    1.6074
 2571     1.6455   -0.76607  -0.41728  -0.25653    0.5907    1.5683
 2714     1.5165   -0.74606  -0.39201  -0.23289    0.5362    1.5395
 2857     1.4288   -0.73135  -0.37399  -0.21588    0.4971    1.5118
 3000     1.3635   -0.72483  -0.36071  -0.20465    0.4712    1.4922
 3777     1.1452   -0.74748  -0.31311  -0.17708    0.4078    1.4180
 4755     0.8992   -0.77433  -0.25485  -0.14012    0.3226    1.3334
 5986     0.6817   -0.83760  -0.19980  -0.10981    0.2528    1.2497
 7536     0.5002   -0.92233  -0.15084  -0.08293    0.1910    1.1825
 9487     0.3300   -1.02528  -0.10224  -0.05325    0.1226    1.1256
11944     0.2280   -1.17543  -0.07180  -0.03887    0.0895    1.0806
15036     0.1575   -1.32552  -0.05023  -0.02778    0.0640    1.0620
18929     0.1088   -1.47730  -0.03495  -0.01954    0.0450    1.0426
23831     0.0750   -1.65083  -0.02420  -0.01405    0.0324    1.0285
30001     0.0518   -1.82857  -0.01674  -0.01009    0.0232    1.0217
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     5.2380   -1.23891  -0.85571  -0.70532    1.6241    2.1471
 1143     3.9180   -0.98999  -0.73739  -0.54455    1.2539    2.1006
 1286     3.1820   -0.82809  -0.65266  -0.43054    0.9914    2.0457
 1429     2.7800   -0.73945  -0.60049  -0.36341    0.8368    1.9905
 1571     2.5840   -0.70767  -0.57331  -0.33428    0.7697    1.9515
 1714     2.5090   -0.71215  -0.56227  -0.32975    0.7593    1.9203
 1857     2.5610   -0.76014  -0.57048  -0.35401    0.8151    1.8997
 2000     2.8430   -0.88161  -0.61034  -0.42410    0.9765    1.8934
 2143     3.1900   -1.00526  -0.65352  -0.49368    1.1367    1.8952
 2286     2.9100   -0.95406  -0.61827  -0.45346    1.0441    1.8546
 2429     2.4720   -0.84919  -0.55681  -0.37782    0.8700    1.7980
 2571     2.1940   -0.78655  -0.51330  -0.32775    0.7547    1.7505
 2714     2.0220   -0.75813  -0.48445  -0.29905    0.6886    1.7159
 2857     1.9050   -0.73734  -0.46417  -0.27859    0.6415    1.6850
 3000     1.8180   -0.72671  -0.44845  -0.26464    0.6094    1.6611
 3777     1.5270   -0.73483  -0.39395  -0.23074    0.5313    1.5629
 4755     1.1990   -0.74009  -0.32508  -0.18376    0.4231    1.4450
 5986     0.9090   -0.78590  -0.25731  -0.14468    0.3331    1.3364
 7536     0.6670   -0.85401  -0.19596  -0.10969    0.2526    1.2462
 9487     0.4400   -0.93891  -0.13392  -0.07071    0.1628    1.1684
11944     0.3040   -1.07812  -0.09462  -0.05170    0.1190    1.1118
15036     0.2100   -1.22030  -0.06639  -0.03694    0.0851    1.0816
18929     0.1450   -1.36628  -0.04631  -0.02600    0.0599    1.0559
23831     0.1000   -1.53555  -0.03215  -0.01874    0.0431    1.0378
30001     0.0690   -1.71061  -0.02227  -0.01346    0.0310    1.0277
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.8570   -1.39569  -1.03119  -0.87524    2.0153    2.4806
 1143     5.8770   -1.12738  -0.90688  -0.70225    1.6170    2.4902
 1286     4.7730   -0.94127  -0.81745  -0.57393    1.3215    2.4680
 1429     4.1700   -0.83326  -0.76182  -0.49504    1.1399    2.4252
 1571     3.8760   -0.79207  -0.73178  -0.45985    1.0588    2.3830
 1714     3.7635   -0.79498  -0.72022  -0.45497    1.0476    2.3455
 1857     3.8415   -0.84995  -0.72749  -0.48339    1.1130    2.2988
 2000     4.2645   -0.98970  -0.77035  -0.56530    1.3016    2.2553
 2143     4.7850   -1.12873  -0.81865  -0.64555    1.4864    2.2287
 2286     4.3650   -1.06846  -0.78178  -0.60086    1.3835    2.1918
 2429     3.7080   -0.94128  -0.71371  -0.51172    1.1783    2.1388
 2571     3.2910   -0.86198  -0.66485  -0.45129    1.0391    2.0905
 2714     3.0330   -0.81960  -0.63354  -0.41565    0.9571    2.0442
 2857     2.8575   -0.79021  -0.61122  -0.39053    0.8992    2.0106
 3000     2.7270   -0.77328  -0.59345  -0.37309    0.8591    1.9824
 3777     2.2905   -0.76034  -0.52894  -0.32838    0.7561    1.8394
 4755     1.7985   -0.73565  -0.44550  -0.26575    0.6119    1.6721
 5986     1.3635   -0.74784  -0.36105  -0.21171    0.4875    1.5081
 7536     1.0005   -0.78626  -0.27949  -0.16178    0.3725    1.3746
 9487     0.6600   -0.83683  -0.19414  -0.10506    0.2419    1.2542
11944     0.4560   -0.95647  -0.13847  -0.07700    0.1773    1.1677
15036     0.3150   -1.08350  -0.09780  -0.05509    0.1268    1.1207
18929     0.2175   -1.21766  -0.06865  -0.03888    0.0895    1.0832
23831     0.1500   -1.37862  -0.04788  -0.02806    0.0646    1.0563
30001     0.1035   -1.54799  -0.03328  -0.02020    0.0465    1.0408
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    10.4760   -1.51451  -1.15327  -0.99634    2.2941    2.7266
 1143     7.8360   -1.23731  -1.03031  -0.82057    1.8894    2.7881
 1286     6.3640   -1.04183  -0.94014  -0.68699    1.5818    2.8122
 1429     5.5600   -0.92501  -0.88199  -0.60194    1.3860    2.7938
 1571     5.1680   -0.87768  -0.85212  -0.56368    1.2979    2.7543
 1714     5.0180   -0.88026  -0.83934  -0.55829    1.2855    2.7078
 1857     5.1220   -0.93811  -0.84813  -0.58976    1.3580    2.6372
 2000     5.6860   -1.08790  -0.89362  -0.67896    1.5634    2.5553
 2143     6.3800   -1.23484  -0.94300  -0.76382    1.7588    2.4939
 2286     5.8200   -1.17087  -0.90382  -0.71611    1.6489    2.4631
 2429     4.9440   -1.03310  -0.83285  -0.62050    1.4288    2.4274
 2571     4.3880   -0.94199  -0.78412  -0.55489    1.2777    2.3858
 2714     4.0440   -0.89382  -0.74978  -0.51482    1.1854    2.3385
 2857     3.8100   -0.85886  -0.72512  -0.48583    1.1187    2.3041
 3000     3.6360   -0.83608  -0.70732  -0.46591    1.0728    2.2720
 3777     3.0540   -0.81066  -0.63655  -0.41391    0.9531    2.0946
 4755     2.3980   -0.76378  -0.54595  -0.34031    0.7836    1.8888
 5986     1.8180   -0.75291  -0.44913  -0.27396    0.6308    1.6792
 7536     1.3340   -0.76303  -0.35457  -0.21142    0.4868    1.5000
 9487     0.8800   -0.78419  -0.25030  -0.13887    0.3198    1.3429
11944     0.6080   -0.88370  -0.18027  -0.10182    0.2345    1.2249
15036     0.4200   -0.99698  -0.12819  -0.07309    0.1683    1.1605
18929     0.2900   -1.12011  -0.09044  -0.05166    0.1190    1.1096
23831     0.2000   -1.27291  -0.06332  -0.03731    0.0859    1.0749
30001     0.1380   -1.43668  -0.04412  -0.02688    0.0619    1.0532
 
tau_V = 2.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    13.0950   -1.60868  -1.25130  -1.09319    2.5172    2.9231
 1143     9.7950   -1.32852  -1.12718  -0.91525    2.1074    3.0312
 1286     7.9550   -1.12884  -1.03581  -0.77881    1.7933    3.0985
 1429     6.9500   -1.00538  -0.97958  -0.69126    1.5917    3.1030
 1571     6.4600   -0.95424  -0.94646  -0.64930    1.4951    3.0678
 1714     6.2725   -0.95617  -0.93547  -0.64467    1.4844    3.0161
 1857     6.4025   -1.01580  -0.94437  -0.67759    1.5602    2.9227
 2000     7.1075   -1.17281  -0.98911  -0.77029    1.7737    2.8028
 2143     7.9750   -1.31953  -1.03869  -0.85577    1.9705    2.7028
 2286     7.2750   -1.25518  -1.00005  -0.80812    1.8608    2.6808
 2429     6.1800   -1.11285  -0.92773  -0.70947    1.6336    2.6692
 2571     5.4850   -1.01887  -0.87734  -0.64134    1.4767    2.6425
 2714     5.0550   -0.96586  -0.84326  -0.59922    1.3797    2.5960
 2857     4.7625   -0.92805  -0.81653  -0.56769    1.3071    2.5668
 3000     4.5450   -0.90089  -0.79637  -0.54446    1.2537    2.5245
 3777     3.8175   -0.86673  -0.72606  -0.48969    1.1276    2.3283
 4755     2.9975   -0.80318  -0.62956  -0.40672    0.9365    2.0891
 5986     2.2725   -0.77361  -0.52645  -0.33165    0.7637    1.8415
 7536     1.6675   -0.76491  -0.42030  -0.25825    0.5947    1.6292
 9487     1.1000   -0.75500  -0.30257  -0.17133    0.3945    1.4260
11944     0.7600   -0.83838  -0.21995  -0.12627    0.2907    1.2834
15036     0.5250   -0.93694  -0.15764  -0.09085    0.2092    1.1991
