tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.88942  -0.54819  -0.38509    0.8867    1.7049
 1143     1.8600   -0.79161  -0.45621  -0.29128    0.6707    1.5931
 1286     1.5170   -0.75643  -0.39170  -0.23582    0.5430    1.5034
 1429     1.2917   -0.73678  -0.34553  -0.19748    0.4547    1.4465
 1571     1.1340   -0.73198  -0.31027  -0.17080    0.3933    1.3954
 1714     1.0185   -0.72804  -0.28328  -0.15002    0.3454    1.3641
 1857     0.9250   -0.73689  -0.26101  -0.13576    0.3126    1.3296
 2000     0.8447   -0.75279  -0.24131  -0.12471    0.2872    1.2984
 2143     0.7753   -0.77429  -0.22380  -0.11607    0.2673    1.2751
 2286     0.7143   -0.79357  -0.20830  -0.10798    0.2486    1.2499
 2429     0.6605   -0.81495  -0.19410  -0.10088    0.2323    1.2343
 2571     0.6130   -0.83703  -0.18153  -0.09479    0.2183    1.2186
 2714     0.5705   -0.86054  -0.17001  -0.08941    0.2059    1.1967
 2857     0.5332   -0.87018  -0.15984  -0.08254    0.1900    1.1863
 3000     0.5077   -0.88122  -0.15284  -0.07843    0.1806    1.1791
 3777     0.4025   -0.96452  -0.12309  -0.06464    0.1488    1.1424
 4755     0.3052   -1.05467  -0.09500  -0.04979    0.1146    1.1135
 5986     0.2200   -1.17184  -0.06940  -0.03638    0.0838    1.0764
 7536     0.1575   -1.29915  -0.05021  -0.02639    0.0608    1.0565
 9487     0.1075   -1.43857  -0.03455  -0.01775    0.0409    1.0420
11944     0.0680   -1.64015  -0.02195  -0.01161    0.0267    1.0221
15036     0.0415   -1.85350  -0.01347  -0.00724    0.0167    1.0155
18929     0.0278   -2.04825  -0.00897  -0.00502    0.0116    1.0128
23831     0.0188   -2.23775  -0.00604  -0.00350    0.0081    1.0069
30001     0.0082   -2.60798  -0.00249  -0.00142    0.0033    1.0056
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.06969  -0.82478  -0.62917    1.4487    2.2666
 1143     3.7200   -0.91166  -0.71574  -0.50172    1.1552    2.1264
 1286     3.0340   -0.82823  -0.63530  -0.42011    0.9673    1.9884
 1429     2.5835   -0.77053  -0.57324  -0.35974    0.8283    1.8854
 1571     2.2680   -0.73483  -0.52495  -0.31631    0.7283    1.7977
 1714     2.0370   -0.70591  -0.48705  -0.28181    0.6489    1.7397
 1857     1.8500   -0.69454  -0.45454  -0.25714    0.5921    1.6768
 2000     1.6895   -0.69306  -0.42543  -0.23792    0.5478    1.6169
 2143     1.5505   -0.69987  -0.39864  -0.22262    0.5126    1.5667
 2286     1.4285   -0.70528  -0.37383  -0.20764    0.4781    1.5184
 2429     1.3210   -0.71322  -0.35165  -0.19481    0.4486    1.4799
 2571     1.2260   -0.72441  -0.33095  -0.18354    0.4226    1.4444
 2714     1.1410   -0.73764  -0.31208  -0.17367    0.3999    1.4084
 2857     1.0665   -0.73642  -0.29491  -0.16079    0.3702    1.3859
 3000     1.0155   -0.74040  -0.28286  -0.15294    0.3522    1.3691
 3777     0.8050   -0.79575  -0.23149  -0.12675    0.2919    1.2906
 4755     0.6105   -0.85800  -0.18080  -0.09791    0.2255    1.2256
 5986     0.4400   -0.94858  -0.13393  -0.07201    0.1658    1.1584
 7536     0.3150   -1.05538  -0.09776  -0.05234    0.1205    1.1152
 9487     0.2150   -1.17659  -0.06791  -0.03535    0.0814    1.0828
11944     0.1360   -1.36376  -0.04351  -0.02321    0.0535    1.0472
15036     0.0830   -1.56882  -0.02672  -0.01443    0.0332    1.0265
18929     0.0555   -1.75848  -0.01794  -0.01012    0.0233    1.0230
23831     0.0375   -1.94343  -0.01217  -0.00711    0.0164    1.0140
30001     0.0165   -2.31115  -0.00526  -0.00312    0.0072    1.0085
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.22119  -0.99879  -0.79488    1.8303    2.6709
 1143     5.5800   -1.04177  -0.88324  -0.65428    1.5065    2.5456
 1286     4.5510   -0.93792  -0.79886  -0.56182    1.2936    2.3942
 1429     3.8753   -0.86027  -0.73170  -0.49022    1.1288    2.2738
 1571     3.4020   -0.80760  -0.67799  -0.43695    1.0061    2.1666
 1714     3.0555   -0.76208  -0.63683  -0.39393    0.9070    2.0907
 1857     2.7750   -0.74032  -0.59863  -0.36269    0.8351    2.0113
 2000     2.5343   -0.72582  -0.56642  -0.33782    0.7778    1.9271
 2143     2.3258   -0.72176  -0.53416  -0.31687    0.7296    1.8487
 2286     2.1428   -0.71752  -0.50446  -0.29702    0.6839    1.7822
 2429     1.9815   -0.71679  -0.47787  -0.28007    0.6449    1.7248
 2571     1.8390   -0.71914  -0.45258  -0.26469    0.6095    1.6706
 2714     1.7115   -0.72433  -0.42970  -0.25146    0.5790    1.6209
 2857     1.5998   -0.71393  -0.40815  -0.23363    0.5380    1.5866
 3000     1.5232   -0.71187  -0.39347  -0.22309    0.5137    1.5620
 3777     1.2075   -0.74292  -0.32697  -0.18591    0.4281    1.4403
 4755     0.9158   -0.78044  -0.25880  -0.14457    0.3329    1.3399
 5986     0.6600   -0.84686  -0.19416  -0.10691    0.2462    1.2433
 7536     0.4725   -0.93459  -0.14308  -0.07802    0.1796    1.1746
 9487     0.3225   -1.03936  -0.10001  -0.05274    0.1214    1.1239
11944     0.2040   -1.21245  -0.06458  -0.03473    0.0800    1.0725
15036     0.1245   -1.40761  -0.03990  -0.02166    0.0499    1.0420
18929     0.0833   -1.59326  -0.02682  -0.01519    0.0350    1.0329
23831     0.0562   -1.77557  -0.01819  -0.01066    0.0246    1.0223
30001     0.0247   -2.13758  -0.00799  -0.00478    0.0110    1.0117
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     9.6750   -1.33462  -1.12302  -0.91503    2.1069    2.9689
 1143     7.4400   -1.15256  -1.00768  -0.77307    1.7801    2.8799
 1286     6.0680   -1.03644  -0.92073  -0.67371    1.5513    2.7261
 1429     5.1670   -0.94873  -0.85128  -0.59625    1.3729    2.6026
 1571     4.5360   -0.88733  -0.79512  -0.53775    1.2382    2.4894
 1714     4.0740   -0.83361  -0.75250  -0.49013    1.1286    2.4105
 1857     3.7000   -0.80155  -0.71355  -0.45429    1.0460    2.3132
 2000     3.3790   -0.78156  -0.67573  -0.42440    0.9772    2.2126
 2143     3.1010   -0.77013  -0.64220  -0.40044    0.9220    2.1155
 2286     2.8570   -0.75875  -0.61166  -0.37798    0.8703    2.0359
 2429     2.6420   -0.75152  -0.58177  -0.35737    0.8229    1.9615
 2571     2.4520   -0.74643  -0.55340  -0.33825    0.7788    1.8860
 2714     2.2820   -0.74497  -0.52720  -0.32155    0.7404    1.8217
 2857     2.1330   -0.72861  -0.50300  -0.30028    0.6914    1.7815
 3000     2.0310   -0.72249  -0.48582  -0.28720    0.6613    1.7491
 3777     1.6100   -0.73507  -0.41066  -0.24222    0.5577    1.5944
 4755     1.2210   -0.74827  -0.32997  -0.18956    0.4365    1.4531
 5986     0.8800   -0.79316  -0.25018  -0.14079    0.3242    1.3261
 7536     0.6300   -0.86301  -0.18618  -0.10323    0.2377    1.2341
 9487     0.4300   -0.95226  -0.13110  -0.07004    0.1613    1.1654
11944     0.2720   -1.11307  -0.08501  -0.04610    0.1061    1.0984
15036     0.1660   -1.29815  -0.05284  -0.02883    0.0664    1.0575
18929     0.1110   -1.47822  -0.03567  -0.02027    0.0467    1.0423
23831     0.0750   -1.65821  -0.02420  -0.01422    0.0328    1.0291
30001     0.0330   -2.01569  -0.01069  -0.00642    0.0148    1.0148
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.50386  -1.29739  -1.08744    2.5039    3.4028
 1143    11.1600   -1.31385  -1.18535  -0.94384    2.1733    3.3648
 1286     9.1020   -1.19230  -1.09602  -0.84046    1.9352    3.2303
 1429     7.7505   -1.09712  -1.02195  -0.75688    1.7428    3.1154
 1571     6.8040   -1.02727  -0.96759  -0.69537    1.6012    3.0076
 1714     6.1110   -0.96458  -0.92402  -0.64280    1.4801    2.9307
 1857     5.5500   -0.92467  -0.88113  -0.60133    1.3846    2.8209
 2000     5.0685   -0.89741  -0.84313  -0.56840    1.3088    2.7040
 2143     4.6515   -0.87778  -0.80565  -0.53919    1.2415    2.5802
 2286     4.2855   -0.85808  -0.77209  -0.51193    1.1788    2.4761
 2429     3.9630   -0.84280  -0.74109  -0.48794    1.1235    2.3815
 2571     3.6780   -0.82954  -0.71015  -0.46472    1.0701    2.2821
 2714     3.4230   -0.82191  -0.68109  -0.44479    1.0242    2.2006
 2857     3.1995   -0.79550  -0.65430  -0.41816    0.9628    2.1482
 3000     3.0465   -0.78234  -0.63555  -0.40174    0.9250    2.1024
 3777     2.4150   -0.76805  -0.54813  -0.34329    0.7904    1.8842
 4755     1.8315   -0.74688  -0.45150  -0.27352    0.6298    1.6811
 5986     1.3200   -0.75188  -0.35154  -0.20610    0.4746    1.4908
 7536     0.9450   -0.78970  -0.26646  -0.15260    0.3514    1.3550
 9487     0.6450   -0.84897  -0.19020  -0.10406    0.2396    1.2484
11944     0.4080   -0.98595  -0.12484  -0.06882    0.1585    1.1506
15036     0.2490   -1.15336  -0.07811  -0.04304    0.0991    1.0892
18929     0.1665   -1.32349  -0.05300  -0.03031    0.0698    1.0636
23831     0.1125   -1.49632  -0.03613  -0.02133    0.0491    1.0390
30001     0.0495   -1.84716  -0.01600  -0.00964    0.0222    1.0208
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    19.3500   -1.62830  -1.41919  -1.21025    2.7867    3.7140
 1143    14.8800   -1.43187  -1.30972  -1.06549    2.4534    3.7106
 1286    12.1360   -1.31296  -1.21919  -0.96252    2.2163    3.6077
 1429    10.3340   -1.21527  -1.14744  -0.87900    2.0240    3.5133
 1571     9.0720   -1.13923  -1.09109  -0.81346    1.8731    3.4054
 1714     8.1480   -1.07248  -1.04368  -0.75681    1.7426    3.3312
 1857     7.4000   -1.03001  -1.00408  -0.71582    1.6482    3.2274
 2000     6.7580   -0.99836  -0.96525  -0.68046    1.5668    3.0971
 2143     6.2020   -0.97695  -0.93046  -0.65206    1.5014    2.9686
 2286     5.7140   -0.95359  -0.89605  -0.62284    1.4341    2.8533
 2429     5.2840   -0.93345  -0.86072  -0.59454    1.3690    2.7381
 2571     4.9040   -0.91691  -0.82907  -0.56975    1.3119    2.6268
 2714     4.5640   -0.90141  -0.79850  -0.54588    1.2569    2.5191
 2857     4.2660   -0.87034  -0.77060  -0.51658    1.1895    2.4657
 3000     4.0620   -0.85365  -0.75174  -0.49868    1.1483    2.4157
 3777     3.2200   -0.82268  -0.65750  -0.43125    0.9930    2.1479
 4755     2.4420   -0.77714  -0.55276  -0.34958    0.8049    1.8978
 5986     1.7600   -0.75352  -0.43865  -0.26712    0.6151    1.6571
 7536     1.2600   -0.76226  -0.33859  -0.19966    0.4597    1.4738
 9487     0.8600   -0.79539  -0.24534  -0.13752    0.3167    1.3339
11944     0.5440   -0.90826  -0.16277  -0.09100    0.2095    1.2010
15036     0.3320   -1.05855  -0.10280  -0.05720    0.1317    1.1205
18929     0.2220   -1.22000  -0.06997  -0.04027    0.0927    1.0845
23831     0.1500   -1.38614  -0.04788  -0.02839    0.0654    1.0567
30001     0.0660   -1.72843  -0.02132  -0.01288    0.0297    1.0268
 
tau_V = 2.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    24.1875   -1.72602  -1.52382  -1.31223    3.0215    3.9657
 1143    18.6000   -1.53180  -1.40548  -1.16303    2.6780    3.9971
