tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -0.98582  -0.46808  -0.35294    0.8127    1.5585
 1143     0.9795   -0.83937  -0.37427  -0.24629    0.5671    1.4893
 1286     0.7955   -0.76083  -0.31594  -0.18272    0.4207    1.4416
 1429     0.6950   -0.72768  -0.28146  -0.14858    0.3421    1.4106
 1571     0.6460   -0.72207  -0.26460  -0.13466    0.3101    1.3925
 1714     0.6273   -0.73363  -0.25798  -0.13267    0.3055    1.3776
 1857     0.6403   -0.76618  -0.26270  -0.14420    0.3320    1.3805
 2000     0.7107   -0.83563  -0.28710  -0.17894    0.4120    1.3857
 2143     0.7975   -0.90739  -0.31592  -0.21687    0.4994    1.4005
 2286     0.7275   -0.88997  -0.29270  -0.19483    0.4486    1.3753
 2429     0.6180   -0.84834  -0.25477  -0.15615    0.3596    1.3437
 2571     0.5485   -0.82908  -0.22946  -0.13206    0.3041    1.3196
 2714     0.5055   -0.82751  -0.21331  -0.11880    0.2735    1.3029
 2857     0.4762   -0.82623  -0.20249  -0.10983    0.2529    1.2873
 3000     0.4545   -0.82930  -0.19410  -0.10362    0.2386    1.2753
 3777     0.3817   -0.88002  -0.16542  -0.08880    0.2045    1.2374
 4755     0.2998   -0.94244  -0.13182  -0.06937    0.1597    1.1901
 5986     0.2272   -1.03741  -0.10174  -0.05409    0.1246    1.1423
 7536     0.1667   -1.15100  -0.07563  -0.04057    0.0934    1.1038
 9487     0.1100   -1.28348  -0.05053  -0.02585    0.0595    1.0729
11944     0.0760   -1.45136  -0.03515  -0.01880    0.0433    1.0473
15036     0.0525   -1.61532  -0.02428  -0.01329    0.0306    1.0386
18929     0.0362   -1.77527  -0.01689  -0.00938    0.0216    1.0259
23831     0.0250   -1.95416  -0.01158  -0.00665    0.0153    1.0172
30001     0.0172   -2.13595  -0.00808  -0.00486    0.0112    1.0138
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.14212  -0.73936  -0.59461    1.3691    2.0142
 1143     1.9590   -0.91104  -0.61998  -0.44054    1.0144    1.9345
 1286     1.5910   -0.77252  -0.53989  -0.33978    0.7824    1.8735
 1429     1.3900   -0.70181  -0.48972  -0.28191    0.6491    1.8197
 1571     1.2920   -0.67908  -0.46451  -0.25764    0.5932    1.7860
 1714     1.2545   -0.68704  -0.45352  -0.25374    0.5843    1.7617
 1857     1.2805   -0.72844  -0.46079  -0.27328    0.6293    1.7472
 2000     1.4215   -0.83320  -0.49813  -0.33310    0.7670    1.7514
 2143     1.5950   -0.94193  -0.54079  -0.39557    0.9108    1.7673
 2286     1.4550   -0.90125  -0.50637  -0.35937    0.8275    1.7279
 2429     1.2360   -0.81599  -0.44877  -0.29364    0.6761    1.6711
 2571     1.0970   -0.76958  -0.40979  -0.25242    0.5812    1.6327
 2714     1.0110   -0.75081  -0.38378  -0.22860    0.5264    1.6023
 2857     0.9525   -0.73697  -0.36626  -0.21218    0.4886    1.5751
 3000     0.9090   -0.73118  -0.35256  -0.20082    0.4624    1.5535
 3777     0.7635   -0.75607  -0.30539  -0.17369    0.3999    1.4740
 4755     0.5995   -0.78447  -0.24823  -0.13733    0.3162    1.3820
 5986     0.4545   -0.84998  -0.19380  -0.10719    0.2468    1.2889
 7536     0.3335   -0.93654  -0.14591  -0.08073    0.1859    1.2150
 9487     0.2200   -1.04055  -0.09866  -0.05165    0.1189    1.1469
11944     0.1520   -1.19109  -0.06920  -0.03758    0.0865    1.0992
