tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.98981  -0.68057  -0.50720    1.1679    2.0930
 1143     1.8600   -0.85104  -0.58332  -0.39584    0.9114    1.9512
 1286     1.5170   -0.78560  -0.50990  -0.32520    0.7488    1.8255
 1429     1.2917   -0.74523  -0.45502  -0.27529    0.6339    1.7366
 1571     1.1340   -0.72484  -0.41285  -0.24038    0.5535    1.6670
 1714     1.0185   -0.70682  -0.38047  -0.21265    0.4897    1.6184
 1857     0.9250   -0.70584  -0.35216  -0.19292    0.4442    1.5654
 2000     0.8447   -0.71294  -0.32758  -0.17782    0.4095    1.5171
 2143     0.7753   -0.72675  -0.30509  -0.16560    0.3813    1.4749
 2286     0.7143   -0.74015  -0.28476  -0.15428    0.3553    1.4417
 2429     0.6605   -0.75472  -0.26658  -0.14437    0.3324    1.4076
 2571     0.6130   -0.77053  -0.25048  -0.13588    0.3129    1.3782
 2714     0.5705   -0.78886  -0.23552  -0.12842    0.2957    1.3465
 2857     0.5332   -0.79294  -0.22218  -0.11883    0.2736    1.3293
 3000     0.5077   -0.80046  -0.21281  -0.11298    0.2602    1.3165
 3777     0.4025   -0.87073  -0.17266  -0.09333    0.2149    1.2541
 4755     0.3052   -0.94765  -0.13354  -0.07155    0.1648    1.1965
 5986     0.2200   -1.05179  -0.09825  -0.05243    0.1207    1.1382
 7536     0.1575   -1.16928  -0.07139  -0.03804    0.0876    1.1023
 9487     0.1075   -1.29949  -0.04932  -0.02557    0.0589    1.0733
11944     0.0680   -1.49463  -0.03141  -0.01671    0.0385    1.0419
15036     0.0415   -1.70399  -0.01928  -0.01040    0.0239    1.0274
18929     0.0278   -1.89520  -0.01291  -0.00725    0.0167    1.0205
23831     0.0188   -2.08356  -0.00878  -0.00514    0.0118    1.0142
30001     0.0082   -2.45159  -0.00376  -0.00222    0.0051    1.0080
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.26824  -0.93464  -0.76914    1.7710    2.8113
 1143     3.7200   -1.07330  -0.84260  -0.64178    1.4777    2.6857
 1286     3.0340   -0.95751  -0.76933  -0.55228    1.2717    2.5196
 1429     2.5835   -0.87417  -0.70689  -0.48150    1.1087    2.3873
 1571     2.2680   -0.81905  -0.65855  -0.43040    0.9910    2.2757
 1714     2.0370   -0.77209  -0.61735  -0.38683    0.8907    2.1936
 1857     1.8500   -0.74764  -0.58197  -0.35592    0.8195    2.1066
 2000     1.6895   -0.73381  -0.54929  -0.33080    0.7617    2.0176
 2143     1.5505   -0.73035  -0.51896  -0.31089    0.7158    1.9383
 2286     1.4285   -0.72665  -0.48924  -0.29089    0.6698    1.8681
 2429     1.3210   -0.72584  -0.46253  -0.27350    0.6298    1.8046
 2571     1.2260   -0.72812  -0.43852  -0.25858    0.5954    1.7464
 2714     1.1410   -0.73462  -0.41551  -0.24536    0.5650    1.6948
 2857     1.0665   -0.72456  -0.39460  -0.22794    0.5248    1.6585
 3000     1.0155   -0.72369  -0.37970  -0.21746    0.5007    1.6322
 3777     0.8050   -0.75785  -0.31530  -0.18146    0.4178    1.5060
 4755     0.6105   -0.79560  -0.24968  -0.14095    0.3245    1.3928
 5986     0.4400   -0.86252  -0.18697  -0.10379    0.2390    1.2818
 7536     0.3150   -0.95123  -0.13772  -0.07565    0.1742    1.2052
 9487     0.2150   -1.05648  -0.09621  -0.05105    0.1175    1.1463
11944     0.1360   -1.23074  -0.06197  -0.03348    0.0771    1.0876
15036     0.0830   -1.42591  -0.03822  -0.02079    0.0479    1.0548
18929     0.0555   -1.61177  -0.02568  -0.01456    0.0335    1.0390
23831     0.0375   -1.79391  -0.01745  -0.01024    0.0236    1.0262
30001     0.0165   -2.15660  -0.00770  -0.00463    0.0107    1.0127
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.45507  -1.05872  -0.91214    2.1003    3.2504
 1143     5.5800   -1.25736  -0.98205  -0.79721    1.8357    3.2016
 1286     4.5510   -1.12551  -0.91286  -0.70527    1.6239    3.0436
 1429     3.8753   -1.02320  -0.85782  -0.63166    1.4544    2.9108
 1571     3.4020   -0.95111  -0.80872  -0.57307    1.3196    2.7851
 1714     3.0555   -0.88961  -0.76952  -0.52440    1.2075    2.6966
 1857     2.7750   -0.85278  -0.72992  -0.48599    1.1190    2.5851
 2000     2.5343   -0.82740  -0.69887  -0.45737    1.0531    2.4762
 2143     2.3258   -0.81195  -0.66735  -0.43263    0.9962    2.3655
 2286     2.1428   -0.79521  -0.63621  -0.40744    0.9382    2.2659
 2429     1.9815   -0.78411  -0.60753  -0.38588    0.8885    2.1794
 2571     1.8390   -0.77648  -0.57936  -0.36580    0.8423    2.0926
 2714     1.7115   -0.77339  -0.55390  -0.34889    0.8034    2.0228
 2857     1.5998   -0.75316  -0.52895  -0.32571    0.7500    1.9735
 3000     1.5232   -0.74472  -0.51195  -0.31189    0.7182    1.9346
 3777     1.2075   -0.75031  -0.43298  -0.26226    0.6039    1.7473
 4755     0.9158   -0.75678  -0.35005  -0.20642    0.4753    1.5819
 5986     0.6600   -0.79238  -0.26708  -0.15370    0.3539    1.4236
 7536     0.4725   -0.85468  -0.19945  -0.11266    0.2594    1.3089
 9487     0.3225   -0.93559  -0.14099  -0.07636    0.1758    1.2172
11944     0.2040   -1.09111  -0.09148  -0.05005    0.1152    1.1317
15036     0.1245   -1.27262  -0.05694  -0.03129    0.0720    1.0833
18929     0.0833   -1.45144  -0.03833  -0.02187    0.0504    1.0573
23831     0.0562   -1.62921  -0.02605  -0.01535    0.0354    1.0388
30001     0.0247   -1.98477  -0.01147  -0.00688    0.0158    1.0191
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     9.6750   -1.56375  -1.14532  -1.00495    2.3140    3.5247
 1143     7.4400   -1.38297  -1.06756  -0.89621    2.0636    3.5416
 1286     6.0680   -1.25888  -1.00760  -0.81429    1.8750    3.4401
 1429     5.1670   -1.15057  -0.95453  -0.74055    1.7052    3.3230
 1571     4.5360   -1.07319  -0.91405  -0.68534    1.5780    3.2097
 1714     4.0740   -1.00125  -0.87552  -0.63282    1.4571    3.1149
 1857     3.7000   -0.95807  -0.84206  -0.59517    1.3704    3.0035
 2000     3.3790   -0.92624  -0.80769  -0.56190    1.2938    2.8748
 2143     3.1010   -0.90218  -0.77580  -0.53338    1.2282    2.7384
 2286     2.8570   -0.87849  -0.74640  -0.50641    1.1661    2.6232
 2429     2.6420   -0.86150  -0.71443  -0.48074    1.1070    2.5163
 2571     2.4520   -0.84745  -0.68652  -0.45854    1.0558    2.4138
 2714     2.2820   -0.83651  -0.65962  -0.43809    1.0087    2.3207
 2857     2.1330   -0.80806  -0.63474  -0.41178    0.9482    2.2639
 3000     2.0310   -0.79461  -0.61718  -0.39586    0.9115    2.2164
 3777     1.6100   -0.78139  -0.53034  -0.33694    0.7758    1.9862
 4755     1.2210   -0.76082  -0.43593  -0.26764    0.6163    1.7672
 5986     0.8800   -0.76780  -0.33814  -0.20084    0.4624    1.5604
 7536     0.6300   -0.80585  -0.25725  -0.14911    0.3433    1.4115
 9487     0.4300   -0.86526  -0.18337  -0.10130    0.2332    1.2891
11944     0.2720   -1.00269  -0.12024  -0.06675    0.1537    1.1772
15036     0.1660   -1.17050  -0.07514  -0.04160    0.0958    1.1072
18929     0.1110   -1.34158  -0.05089  -0.02920    0.0672    1.0732
23831     0.0750   -1.51544  -0.03455  -0.02043    0.0470    1.0514
30001     0.0330   -1.86475  -0.01538  -0.00928    0.0214    1.0244
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.67711  -1.26535  -1.12312    2.5861    3.8413
 1143    11.1600   -1.53714  -1.18461  -1.02501    2.3602    3.9844
