tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -0.89211  -0.62150  -0.43503    1.0017    1.5619
 1143     0.9795   -0.75144  -0.46543  -0.28427    0.6546    1.4637
 1286     0.7955   -0.68327  -0.37823  -0.20347    0.4685    1.4090
 1429     0.6950   -0.65604  -0.33055  -0.16246    0.3741    1.3722
 1571     0.6460   -0.65423  -0.30732  -0.14599    0.3362    1.3512
 1714     0.6273   -0.66635  -0.29842  -0.14350    0.3304    1.3391
 1857     0.6403   -0.69720  -0.30460  -0.15694    0.3614    1.3404
 2000     0.7107   -0.76015  -0.33800  -0.19865    0.4574    1.3511
 2143     0.7975   -0.82613  -0.37917  -0.24649    0.5676    1.3726
 2286     0.7275   -0.81243  -0.34596  -0.21833    0.5027    1.3435
 2429     0.6180   -0.77879  -0.29405  -0.17100    0.3938    1.3074
 2571     0.5485   -0.76573  -0.26102  -0.14282    0.3288    1.2838
 2714     0.5055   -0.76771  -0.24057  -0.12761    0.2938    1.2664
 2857     0.4762   -0.76946  -0.22663  -0.11721    0.2699    1.2535
 3000     0.4545   -0.77442  -0.21634  -0.11027    0.2539    1.2393
 3777     0.3817   -0.83104  -0.18175  -0.09388    0.2162    1.2078
 4755     0.2998   -0.90051  -0.14278  -0.07285    0.1677    1.1595
 5986     0.2272   -1.00320  -0.10827  -0.05620    0.1294    1.1213
 7536     0.1667   -1.12375  -0.07942  -0.04188    0.0964    1.0877
 9487     0.1100   -1.26373  -0.05243  -0.02652    0.0611    1.0611
11944     0.0760   -1.43548  -0.03625  -0.01927    0.0444    1.0419
15036     0.0525   -1.60171  -0.02507  -0.01371    0.0316    1.0289
18929     0.0362   -1.76456  -0.01705  -0.00935    0.0215    1.0221
23831     0.0250   -1.94544  -0.01181  -0.00678    0.0156    1.0131
30001     0.0172   -2.12852  -0.00746  -0.00419    0.0096    1.0119
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.13718  -1.23869  -0.88395    2.0354    2.2441
 1143     1.9590   -0.83817  -0.92814  -0.57980    1.3350    2.0159
 1286     1.5910   -0.68420  -0.75455  -0.41692    0.9600    1.8885
 1429     1.3900   -0.61180  -0.65960  -0.33401    0.7691    1.8059
 1571     1.2920   -0.59022  -0.61331  -0.30058    0.6921    1.7615
 1714     1.2545   -0.59797  -0.59554  -0.29572    0.6809    1.7348
 1857     1.2805   -0.64028  -0.60784  -0.32273    0.7431    1.7313
 2000     1.4215   -0.74484  -0.67445  -0.40719    0.9376    1.7560
 2143     1.5950   -0.85913  -0.75647  -0.50374    1.1599    1.8000
 2286     1.4550   -0.81351  -0.69038  -0.44657    1.0283    1.7404
 2429     1.2360   -0.72811  -0.58693  -0.35078    0.8077    1.6614
 2571     1.0970   -0.68171  -0.52106  -0.29297    0.6746    1.6034
 2714     1.0110   -0.66495  -0.48038  -0.26190    0.6031    1.5654
 2857     0.9525   -0.65327  -0.45265  -0.24045    0.5536    1.5350
 3000     0.9090   -0.64978  -0.43205  -0.22638    0.5213    1.5135
 3777     0.7635   -0.68084  -0.36306  -0.19248    0.4432    1.4324
 4755     0.5995   -0.71844  -0.28522  -0.14888    0.3428    1.3364
 5986     0.4545   -0.79387  -0.21630  -0.11438    0.2634    1.2536
 7536     0.3335   -0.89063  -0.15881  -0.08493    0.1956    1.1818
 9487     0.2200   -1.00727  -0.10482  -0.05360    0.1234    1.1242
11944     0.1520   -1.16613  -0.07236  -0.03870    0.0891    1.0801
15036     0.1050   -1.32310  -0.05013  -0.02756    0.0635    1.0619
18929     0.0725   -1.47926  -0.03456  -0.01923    0.0443    1.0391
23831     0.0500   -1.65541  -0.02383  -0.01381    0.0318    1.0270
30001     0.0345   -1.83540  -0.01596  -0.00943    0.0217    1.0215
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     3.9285   -1.49787  -1.85093  -1.33844    3.0819    3.0143
 1143     2.9385   -1.04812  -1.38829  -0.88469    2.0371    2.6521
 1286     2.3865   -0.80697  -1.12938  -0.63789    1.4688    2.4338
 1429     2.0850   -0.68871  -0.98744  -0.51185    1.1786    2.2961
 1571     1.9380   -0.64767  -0.91824  -0.46119    1.0619    2.2222
 1714     1.8817   -0.65012  -0.89175  -0.45332    1.0438    2.1796
 1857     1.9208   -0.70469  -0.91008  -0.49432    1.1382    2.1666
 2000     2.1323   -0.85046  -1.00970  -0.62179    1.4317    2.2076
 2143     2.3925   -1.01530  -1.13224  -0.76882    1.7703    2.2796
 2286     2.1825   -0.93728  -1.03341  -0.68166    1.5696    2.1824
 2429     1.8540   -0.79759  -0.87862  -0.53519    1.2323    2.0450
 2571     1.6455   -0.72042  -0.78037  -0.44833    1.0323    1.9546
 2714     1.5165   -0.68494  -0.71940  -0.40080    0.9229    1.8940
 2857     1.4288   -0.66109  -0.67798  -0.36842    0.8483    1.8475
 3000     1.3635   -0.64867  -0.64715  -0.34688    0.7987    1.8134
 3777     1.1452   -0.65518  -0.54389  -0.29495    0.6792    1.6806
 4755     0.8992   -0.66169  -0.42739  -0.22790    0.5248    1.5302
 5986     0.6817   -0.70972  -0.32427  -0.17454    0.4019    1.3916
 7536     0.5002   -0.78311  -0.23807  -0.12914    0.2974    1.2856
 9487     0.3300   -0.87566  -0.15715  -0.08116    0.1869    1.1886
11944     0.2280   -1.02162  -0.10859  -0.05853    0.1348    1.1235
15036     0.1575   -1.16903  -0.07504  -0.04140    0.0953    1.0865
18929     0.1088   -1.31891  -0.05189  -0.02902    0.0668    1.0615
23831     0.0750   -1.49062  -0.03577  -0.02080    0.0479    1.0399
30001     0.0518   -1.66721  -0.02470  -0.01492    0.0344    1.0299
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
