n_taus = 41
n_waves = 25
tau_V = 0.010
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.0423   -2.25236  -0.00568  -0.00323    0.0074    1.0189
    0.1143     0.0379   -2.29981  -0.00511  -0.00291    0.0067    1.0162
    0.1286     0.0362   -2.32590  -0.00487  -0.00280    0.0064    1.0122
    0.1429     0.0328   -2.30720  -0.00450  -0.00235    0.0054    1.0109
    0.1571     0.0297   -2.36212  -0.00411  -0.00221    0.0051    1.0090
    0.1714     0.0274   -2.41769  -0.00374  -0.00207    0.0048    1.0114
    0.1857     0.0266   -2.41683  -0.00359  -0.00192    0.0044    1.0114
    0.2000     0.0273   -2.45570  -0.00372  -0.00219    0.0050    1.0101
    0.2143     0.0275   -2.46363  -0.00369  -0.00218    0.0050    1.0116
    0.2286     0.0263   -2.47444  -0.00363  -0.00216    0.0050    1.0143
    0.2429     0.0227   -2.50702  -0.00313  -0.00178    0.0041    1.0098
    0.2571     0.0213   -2.53134  -0.00290  -0.00161    0.0037    1.0090
    0.2714     0.0198   -2.52985  -0.00275  -0.00147    0.0034    1.0092
    0.2857     0.0184   -2.53411  -0.00257  -0.00129    0.0030    1.0061
    0.3000     0.0176   -2.56271  -0.00245  -0.00125    0.0029    1.0070
    0.3777     0.0153   -2.61092  -0.00211  -0.00104    0.0024    1.0074
    0.4755     0.0116   -2.71909  -0.00162  -0.00079    0.0018    1.0049
    0.5986     0.0089   -2.87017  -0.00123  -0.00064    0.0015    1.0036
    0.7536     0.0075   -2.94292  -0.00104  -0.00054    0.0012    1.0040
    0.9487     0.0057   -3.04354  -0.00079  -0.00039    0.0009    1.0024
    1.1944     0.0033   -3.28238  -0.00047  -0.00025    0.0006    1.0013
    1.5036     0.0022   -3.48502  -0.00031  -0.00017    0.0004    1.0015
    1.8929     0.0015   -3.67525  -0.00021  -0.00012    0.0003    1.0007
    2.3831     0.0009   -3.94087  -0.00012  -0.00007    0.0002    1.0002
    3.0001     0.0005   -4.15336  -0.00008  -0.00005    0.0001    1.0002
 
tau_V = 0.030
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.1269   -1.84460  -0.01598  -0.00958    0.0221    1.0406
    0.1143     0.1138   -1.88024  -0.01456  -0.00868    0.0200    1.0506
    0.1286     0.1085   -1.87034  -0.01397  -0.00797    0.0183    1.0437
    0.1429     0.0984   -1.86753  -0.01281  -0.00679    0.0156    1.0324
    0.1571     0.0890   -1.92704  -0.01176  -0.00651    0.0150    1.0336
    0.1714     0.0823   -1.97211  -0.01075  -0.00603    0.0139    1.0304
    0.1857     0.0799   -1.96860  -0.01036  -0.00561    0.0129    1.0354
    0.2000     0.0819   -2.00526  -0.01070  -0.00632    0.0146    1.0410
    0.2143     0.0826   -2.02313  -0.01063  -0.00643    0.0148    1.0337
    0.2286     0.0788   -2.03389  -0.01050  -0.00640    0.0147    1.0312
    0.2429     0.0680   -2.05672  -0.00912  -0.00525    0.0121    1.0264
    0.2571     0.0639   -2.07481  -0.00842  -0.00470    0.0108    1.0318
    0.2714     0.0595   -2.07513  -0.00809  -0.00438    0.0101    1.0230
    0.2857     0.0553   -2.07537  -0.00754  -0.00385    0.0089    1.0211
    0.3000     0.0527   -2.10855  -0.00714  -0.00372    0.0086    1.0242
    0.3777     0.0460   -2.15095  -0.00615  -0.00305    0.0070    1.0188
    0.4755     0.0349   -2.25351  -0.00477  -0.00233    0.0054    1.0166
    0.5986     0.0268   -2.40160  -0.00365  -0.00191    0.0044    1.0126
    0.7536     0.0225   -2.47256  -0.00308  -0.00161    0.0037    1.0094
    0.9487     0.0170   -2.57255  -0.00234  -0.00117    0.0027    1.0090
    1.1944     0.0100   -2.81375  -0.00140  -0.00074    0.0017    1.0052
    1.5036     0.0067   -3.00695  -0.00094  -0.00051    0.0012    1.0034
    1.8929     0.0044   -3.20017  -0.00062  -0.00035    0.0008    1.0019
    2.3831     0.0026   -3.46415  -0.00035  -0.00020    0.0005    1.0007
    3.0001     0.0016   -3.67855  -0.00023  -0.00014    0.0003    1.0006
 
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.2116   -1.68288  -0.02523  -0.01578    0.0363    1.0664
    0.1143     0.1897   -1.69410  -0.02318  -0.01401    0.0323    1.0793
    0.1286     0.1809   -1.68166  -0.02226  -0.01285    0.0296    1.0748
    0.1429     0.1640   -1.69377  -0.02032  -0.01120    0.0258    1.0570
    0.1571     0.1483   -1.73232  -0.01872  -0.01040    0.0239    1.0616
    0.1714     0.1372   -1.77048  -0.01726  -0.00966    0.0222    1.0540
    0.1857     0.1332   -1.78757  -0.01671  -0.00941    0.0217    1.0564
    0.2000     0.1364   -1.82864  -0.01707  -0.01042    0.0240    1.0579
    0.2143     0.1377   -1.83644  -0.01715  -0.01062    0.0244    1.0578
    0.2286     0.1313   -1.84737  -0.01673  -0.01037    0.0239    1.0500
    0.2429     0.1134   -1.86520  -0.01446  -0.00838    0.0193    1.0436
    0.2571     0.1066   -1.88300  -0.01360  -0.00777    0.0179    1.0432
    0.2714     0.0992   -1.87690  -0.01306  -0.00716    0.0165    1.0415
    0.2857     0.0922   -1.87016  -0.01231  -0.00633    0.0146    1.0363
    0.3000     0.0879   -1.91035  -0.01153  -0.00608    0.0140    1.0347
    0.3777     0.0766   -1.95430  -0.01010  -0.00519    0.0120    1.0331
    0.4755     0.0581   -2.04310  -0.00785  -0.00386    0.0089    1.0295
    0.5986     0.0447   -2.18966  -0.00598  -0.00314    0.0072    1.0191
    0.7536     0.0374   -2.25575  -0.00509  -0.00266    0.0061    1.0179
    0.9487     0.0283   -2.36097  -0.00386  -0.00195    0.0045    1.0131
    1.1944     0.0167   -2.60071  -0.00232  -0.00123    0.0028    1.0099
    1.5036     0.0111   -2.78510  -0.00155  -0.00084    0.0019    1.0056
    1.8929     0.0074   -2.98306  -0.00103  -0.00058    0.0013    1.0034
    2.3831     0.0043   -3.24371  -0.00059  -0.00034    0.0008    1.0016
    3.0001     0.0027   -3.45867  -0.00038  -0.00023    0.0005    1.0010
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.4231   -1.50034  -0.04374  -0.02882    0.0664    1.1436
    0.1143     0.3794   -1.49965  -0.04108  -0.02623    0.0604    1.1461
    0.1286     0.3617   -1.50069  -0.03928  -0.02452    0.0565    1.1319
    0.1429     0.3281   -1.48810  -0.03680  -0.02170    0.0500    1.1240
    0.1571     0.2966   -1.51735  -0.03354  -0.01952    0.0449    1.1093
    0.1714     0.2745   -1.53840  -0.03167  -0.01835    0.0423    1.1163
    0.1857     0.2665   -1.56182  -0.03054  -0.01795    0.0413    1.1064
    0.2000     0.2729   -1.60355  -0.03112  -0.01965    0.0452    1.1080
    0.2143     0.2753   -1.61514  -0.03157  -0.02039    0.0469    1.1076
    0.2286     0.2626   -1.61961  -0.03041  -0.01937    0.0446    1.0963
    0.2429     0.2267   -1.64461  -0.02670  -0.01636    0.0377    1.0838
    0.2571     0.2132   -1.64502  -0.02546  -0.01516    0.0349    1.0782
    0.2714     0.1985   -1.62711  -0.02424  -0.01354    0.0312    1.0854
    0.2857     0.1844   -1.63715  -0.02256  -0.01214    0.0279    1.0739
    0.3000     0.1758   -1.65006  -0.02178  -0.01168    0.0269    1.0779
    0.3777     0.1533   -1.69173  -0.01916  -0.01002    0.0231    1.0673
    0.4755     0.1162   -1.79060  -0.01491  -0.00769    0.0177    1.0532
    0.5986     0.0894   -1.90970  -0.01159  -0.00614    0.0141    1.0368
    0.7536     0.0748   -1.99465  -0.00976  -0.00529    0.0122    1.0330
    0.9487     0.0565   -2.08434  -0.00751  -0.00388    0.0089    1.0297
    1.1944     0.0334   -2.30055  -0.00462  -0.00243    0.0056    1.0189
    1.5036     0.0223   -2.49442  -0.00309  -0.00169    0.0039    1.0106
    1.8929     0.0148   -2.69124  -0.00204  -0.00115    0.0027    1.0058
    2.3831     0.0086   -2.94596  -0.00118  -0.00069    0.0016    1.0039
    3.0001     0.0055   -3.15769  -0.00075  -0.00045    0.0010    1.0019
 
tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     1.0578   -1.39085  -0.07655  -0.05598    0.1289    1.3106
    0.1143     0.9485   -1.39413  -0.07341  -0.05314    0.1223    1.3123
    0.1286     0.9043   -1.36262  -0.07146  -0.04980    0.1147    1.2866
    0.1429     0.8202   -1.35899  -0.06703  -0.04540    0.1045    1.2905
    0.1571     0.7414   -1.33828  -0.06397  -0.04147    0.0955    1.2504
    0.1714     0.6862   -1.36134  -0.06024  -0.03905    0.0899    1.2464
    0.1857     0.6662   -1.37829  -0.05995  -0.03956    0.0911    1.2450
    0.2000     0.6822   -1.40887  -0.05999  -0.04096    0.0943    1.2268
    0.2143     0.6883   -1.44442  -0.06088  -0.04328    0.0997    1.2233
    0.2286     0.6565   -1.42659  -0.05884  -0.04060    0.0935    1.2062
    0.2429     0.5668   -1.42988  -0.05421  -0.03630    0.0836    1.1917
    0.2571     0.5329   -1.40685  -0.05192  -0.03315    0.0763    1.1879
    0.2714     0.4962   -1.40874  -0.04872  -0.03017    0.0695    1.2011
    0.2857     0.4610   -1.39335  -0.04645  -0.02734    0.0629    1.1952
    0.3000     0.4396   -1.40061  -0.04501  -0.02627    0.0605    1.1749
    0.3777     0.3832   -1.41482  -0.04139  -0.02339    0.0539    1.1656
    0.4755     0.2905   -1.49449  -0.03306  -0.01831    0.0422    1.1270
    0.5986     0.2236   -1.59261  -0.02624  -0.01461    0.0336    1.0949
    0.7536     0.1871   -1.65624  -0.02273  -0.01274    0.0293    1.0758
    0.9487     0.1413   -1.73088  -0.01793  -0.00960    0.0221    1.0647
    1.1944     0.0834   -1.94071  -0.01104  -0.00597    0.0137    1.0389
    1.5036     0.0557   -2.12038  -0.00758  -0.00424    0.0098    1.0238
    1.8929     0.0369   -2.30034  -0.00504  -0.00284    0.0065    1.0169
    2.3831     0.0214   -2.55285  -0.00292  -0.00170    0.0039    1.0069
    3.0001     0.0136   -2.76673  -0.00190  -0.00115    0.0027    1.0051
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     2.1156   -1.45535  -0.10013  -0.08137    0.1874    1.4645
    0.1143     1.8970   -1.43288  -0.09600  -0.07645    0.1760    1.4476
    0.1286     1.8086   -1.40653  -0.09572  -0.07499    0.1727    1.4734
    0.1429     1.6403   -1.38610  -0.09096  -0.06949    0.1600    1.4625
    0.1571     1.4828   -1.33049  -0.08968  -0.06543    0.1507    1.4311
    0.1714     1.3723   -1.35639  -0.08622  -0.06351    0.1462    1.3946
    0.1857     1.3324   -1.35413  -0.08564  -0.06284    0.1447    1.4221
    0.2000     1.3643   -1.39424  -0.08767  -0.06674    0.1537    1.3832
    0.2143     1.3766   -1.41878  -0.08750  -0.06770    0.1559    1.3627
    0.2286     1.3131   -1.42146  -0.08487  -0.06531    0.1504    1.3537
    0.2429     1.1335   -1.37326  -0.08016  -0.05859    0.1349    1.3300
    0.2571     1.0658   -1.37336  -0.07678  -0.05538    0.1275    1.3266
    0.2714     0.9925   -1.32855  -0.07431  -0.05078    0.1169    1.3413
    0.2857     0.9219   -1.27917  -0.07361  -0.04737    0.1091    1.3300
    0.3000     0.8792   -1.30732  -0.07064  -0.04616    0.1063    1.3480
    0.3777     0.7663   -1.31537  -0.06541  -0.04165    0.0959    1.2941
    0.4755     0.5811   -1.35438  -0.05439  -0.03315    0.0763    1.2526
    0.5986     0.4471   -1.40823  -0.04575  -0.02730    0.0629    1.1878
    0.7536     0.3742   -1.45774  -0.03996  -0.02367    0.0545    1.1476
    0.9487     0.2826   -1.51398  -0.03243  -0.01833    0.0422    1.1217
    1.1944     0.1669   -1.69361  -0.02084  -0.01171    0.0270    1.0718
    1.5036     0.1114   -1.86734  -0.01421  -0.00816    0.0188    1.0464
    1.8929     0.0738   -2.02438  -0.00965  -0.00547    0.0126    1.0301
    2.3831     0.0428   -2.26013  -0.00586  -0.00345    0.0079    1.0169
    3.0001     0.0273   -2.48888  -0.00370  -0.00228    0.0053    1.0100
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     3.1734   -1.57260  -0.10978  -0.09507    0.2189    1.5980
    0.1143     2.8455   -1.52389  -0.10788  -0.09153    0.2107    1.5866
    0.1286     2.7129   -1.48060  -0.10766  -0.08964    0.2064    1.5792
    0.1429     2.4605   -1.43684  -0.10516  -0.08538    0.1966    1.5816
    0.1571     2.2242   -1.41321  -0.10191  -0.08120    0.1870    1.5694
    0.1714     2.0585   -1.42137  -0.09933  -0.07912    0.1822    1.5517
    0.1857     1.9986   -1.39909  -0.09864  -0.07742    0.1783    1.5127
    0.2000     2.0465   -1.46066  -0.09896  -0.08047    0.1853    1.4809
    0.2143     2.0648   -1.48094  -0.10005  -0.08235    0.1896    1.4363
    0.2286     1.9696   -1.46458  -0.09858  -0.08027    0.1848    1.4332
    0.2429     1.7003   -1.43363  -0.09403  -0.07460    0.1718    1.4304
    0.2571     1.5987   -1.39917  -0.09168  -0.07080    0.1630    1.4383
    0.2714     1.4887   -1.32442  -0.09054  -0.06590    0.1517    1.4444
    0.2857     1.3829   -1.31065  -0.08781  -0.06256    0.1440    1.4477
    0.3000     1.3187   -1.29658  -0.08746  -0.06142    0.1414    1.4444
    0.3777     1.1495   -1.30921  -0.07999  -0.05510    0.1269    1.4058
    0.4755     0.8716   -1.30943  -0.06967  -0.04536    0.1045    1.3273
    0.5986     0.6707   -1.33551  -0.06043  -0.03797    0.0874    1.2579
    0.7536     0.5613   -1.37579  -0.05330  -0.03311    0.0762    1.2212
