n_taus = 41
n_waves = 25
tau_V = 0.010
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.0423   -1.74396  -0.02071  -0.01257    0.0289    1.0124
    0.1143     0.0379   -1.78497  -0.01858  -0.01121    0.0258    1.0108
    0.1286     0.0362   -1.78524  -0.01772  -0.01036    0.0239    1.0093
    0.1429     0.0328   -1.82342  -0.01607  -0.00936    0.0215    1.0123
    0.1571     0.0297   -1.85845  -0.01451  -0.00833    0.0192    1.0087
    0.1714     0.0274   -1.88097  -0.01344  -0.00759    0.0175    1.0093
    0.1857     0.0266   -1.91157  -0.01305  -0.00759    0.0175    1.0100
    0.2000     0.0273   -1.92739  -0.01336  -0.00810    0.0186    1.0084
    0.2143     0.0275   -1.94431  -0.01349  -0.00842    0.0194    1.0086
    0.2286     0.0263   -1.96045  -0.01286  -0.00799    0.0184    1.0074
    0.2429     0.0227   -1.99904  -0.01110  -0.00666    0.0153    1.0059
    0.2571     0.0213   -2.00563  -0.01044  -0.00607    0.0140    1.0062
    0.2714     0.0198   -2.00894  -0.00971  -0.00538    0.0124    1.0064
    0.2857     0.0184   -2.02795  -0.00903  -0.00489    0.0113    1.0064
    0.3000     0.0176   -2.04314  -0.00860  -0.00461    0.0106    1.0068
    0.3777     0.0153   -2.10251  -0.00751  -0.00403    0.0093    1.0059
    0.4755     0.0116   -2.21987  -0.00569  -0.00305    0.0070    1.0048
    0.5986     0.0089   -2.34112  -0.00438  -0.00238    0.0055    1.0037
    0.7536     0.0075   -2.42711  -0.00367  -0.00203    0.0047    1.0029
    0.9487     0.0057   -2.52149  -0.00277  -0.00145    0.0033    1.0023
    1.1944     0.0033   -2.77904  -0.00163  -0.00091    0.0021    1.0013
    1.5036     0.0022   -2.96914  -0.00109  -0.00062    0.0014    1.0007
    1.8929     0.0015   -3.15171  -0.00072  -0.00042    0.0010    1.0005
    2.3831     0.0009   -3.41126  -0.00042  -0.00025    0.0006    1.0003
    3.0001     0.0005   -3.63419  -0.00027  -0.00017    0.0004    1.0002
 
tau_V = 0.030
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.1269   -1.31194  -0.06214  -0.03837    0.0884    1.0370
    0.1143     0.1138   -1.33738  -0.05568  -0.03355    0.0773    1.0335
    0.1286     0.1085   -1.33923  -0.05313  -0.03122    0.0719    1.0319
    0.1429     0.0984   -1.36966  -0.04819  -0.02795    0.0644    1.0298
    0.1571     0.0890   -1.40810  -0.04354  -0.02518    0.0580    1.0266
    0.1714     0.0823   -1.43888  -0.04031  -0.02330    0.0537    1.0254
    0.1857     0.0799   -1.44950  -0.03914  -0.02258    0.0520    1.0268
    0.2000     0.0819   -1.47163  -0.04008  -0.02429    0.0559    1.0250
    0.2143     0.0826   -1.48797  -0.04043  -0.02521    0.0580    1.0234
    0.2286     0.0788   -1.50674  -0.03859  -0.02405    0.0554    1.0240
    0.2429     0.0680   -1.54068  -0.03329  -0.02000    0.0460    1.0207
    0.2571     0.0639   -1.55236  -0.03131  -0.01842    0.0424    1.0209
    0.2714     0.0595   -1.54704  -0.02917  -0.01618    0.0373    1.0221
    0.2857     0.0553   -1.56424  -0.02708  -0.01465    0.0337    1.0190
    0.3000     0.0527   -1.57886  -0.02584  -0.01385    0.0319    1.0187
    0.3777     0.0460   -1.64308  -0.02250  -0.01222    0.0281    1.0163
    0.4755     0.0349   -1.75112  -0.01707  -0.00913    0.0210    1.0128
    0.5986     0.0268   -1.87080  -0.01314  -0.00715    0.0165    1.0098
    0.7536     0.0225   -1.95620  -0.01100  -0.00610    0.0140    1.0086
    0.9487     0.0170   -2.05373  -0.00830  -0.00440    0.0101    1.0065
    1.1944     0.0100   -2.30452  -0.00490  -0.00273    0.0063    1.0042
    1.5036     0.0067   -2.49127  -0.00327  -0.00186    0.0043    1.0020
    1.8929     0.0044   -2.67456  -0.00217  -0.00125    0.0029    1.0018
    2.3831     0.0026   -2.93726  -0.00126  -0.00075    0.0017    1.0009
    3.0001     0.0016   -3.15271  -0.00080  -0.00049    0.0011    1.0005
 
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.2116   -1.12036  -0.10355  -0.06366    0.1466    1.0624
    0.1143     0.1897   -1.14369  -0.09283  -0.05582    0.1285    1.0513
    0.1286     0.1809   -1.13591  -0.08854  -0.05125    0.1180    1.0520
    0.1429     0.1640   -1.18124  -0.08025  -0.04713    0.1085    1.0529
    0.1571     0.1483   -1.20632  -0.07258  -0.04178    0.0962    1.0413
    0.1714     0.1372   -1.23419  -0.06719  -0.03858    0.0888    1.0463
    0.1857     0.1332   -1.24905  -0.06516  -0.03762    0.0866    1.0425
    0.2000     0.1364   -1.27423  -0.06681  -0.04067    0.0937    1.0400
    0.2143     0.1377   -1.28351  -0.06736  -0.04173    0.0961    1.0366
    0.2286     0.1313   -1.31395  -0.06427  -0.04050    0.0932    1.0374
    0.2429     0.1134   -1.33965  -0.05551  -0.03350    0.0771    1.0327
    0.2571     0.1066   -1.34415  -0.05214  -0.03052    0.0703    1.0361
    0.2714     0.0992   -1.34066  -0.04858  -0.02696    0.0621    1.0301
    0.2857     0.0922   -1.36493  -0.04508  -0.02477    0.0570    1.0329
    0.3000     0.0879   -1.37275  -0.04304  -0.02318    0.0534    1.0291
    0.3777     0.0766   -1.43119  -0.03753  -0.02033    0.0468    1.0283
    0.4755     0.0581   -1.53684  -0.02843  -0.01516    0.0349    1.0204
    0.5986     0.0447   -1.65388  -0.02190  -0.01188    0.0274    1.0168
    0.7536     0.0374   -1.73311  -0.01832  -0.01003    0.0231    1.0140
    0.9487     0.0283   -1.83514  -0.01384  -0.00733    0.0169    1.0113
    1.1944     0.0167   -2.08366  -0.00817  -0.00453    0.0104    1.0060
    1.5036     0.0111   -2.27239  -0.00545  -0.00311    0.0072    1.0034
    1.8929     0.0074   -2.45374  -0.00361  -0.00208    0.0048    1.0028
    2.3831     0.0043   -2.71225  -0.00209  -0.00125    0.0029    1.0013
    3.0001     0.0027   -2.93028  -0.00133  -0.00082    0.0019    1.0008
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.4231   -0.91148  -0.20689  -0.12864    0.2962    1.1172
    0.1143     0.3794   -0.91178  -0.18557  -0.11081    0.2552    1.1051
    0.1286     0.3617   -0.92086  -0.17693  -0.10493    0.2416    1.1077
