n_taus = 41
n_waves = 25
tau_V = 0.010
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.0896   -1.48837  -0.04239  -0.02711    0.0624    1.0265
    0.1143     0.0751   -1.51102  -0.03587  -0.02156    0.0496    1.0277
    0.1286     0.0562   -1.59293  -0.02687  -0.01523    0.0351    1.0222
    0.1429     0.0491   -1.63841  -0.02352  -0.01310    0.0302    1.0229
    0.1571     0.0430   -1.67459  -0.02053  -0.01100    0.0253    1.0209
    0.1714     0.0385   -1.70575  -0.01838  -0.00955    0.0220    1.0196
    0.1857     0.0349   -1.73325  -0.01679  -0.00853    0.0196    1.0165
    0.2000     0.0328   -1.77079  -0.01576  -0.00819    0.0189    1.0159
    0.2143     0.0308   -1.79777  -0.01472  -0.00762    0.0175    1.0124
    0.2286     0.0280   -1.84796  -0.01333  -0.00702    0.0162    1.0127
    0.2429     0.0255   -1.88499  -0.01224  -0.00645    0.0149    1.0123
    0.2571     0.0235   -1.92945  -0.01119  -0.00598    0.0138    1.0101
    0.2714     0.0217   -1.96207  -0.01044  -0.00561    0.0129    1.0097
    0.2857     0.0202   -1.98246  -0.00970  -0.00510    0.0118    1.0095
    0.3000     0.0186   -2.01251  -0.00897  -0.00469    0.0108    1.0081
    0.3777     0.0157   -2.10118  -0.00754  -0.00405    0.0093    1.0084
    0.4755     0.0120   -2.21746  -0.00582  -0.00316    0.0073    1.0050
    0.5986     0.0087   -2.35535  -0.00416  -0.00223    0.0051    1.0039
    0.7536     0.0062   -2.50391  -0.00300  -0.00164    0.0038    1.0035
    0.9487     0.0044   -2.64256  -0.00213  -0.00114    0.0026    1.0021
    1.1944     0.0026   -2.88651  -0.00127  -0.00071    0.0016    1.0016
    1.5036     0.0018   -3.04766  -0.00089  -0.00050    0.0011    1.0007
    1.8929     0.0014   -3.20441  -0.00066  -0.00039    0.0009    1.0005
    2.3831     0.0009   -3.38740  -0.00045  -0.00027    0.0006    1.0005
    3.0001     0.0006   -3.63260  -0.00027  -0.00017    0.0004    1.0002
 
tau_V = 0.030
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.2688   -1.10824  -0.12240  -0.07970    0.1835    1.0906
    0.1143     0.2252   -1.11439  -0.10282  -0.06246    0.1438    1.0791
    0.1286     0.1687   -1.16914  -0.07878  -0.04487    0.1033    1.0625
    0.1429     0.1472   -1.21453  -0.06879  -0.03880    0.0894    1.0619
    0.1571     0.1289   -1.23600  -0.06030  -0.03225    0.0742    1.0550
    0.1714     0.1156   -1.26814  -0.05438  -0.02861    0.0659    1.0537
    0.1857     0.1048   -1.30175  -0.04962  -0.02597    0.0598    1.0540
    0.2000     0.0983   -1.32503  -0.04666  -0.02437    0.0561    1.0450
    0.2143     0.0923   -1.35947  -0.04369  -0.02319    0.0534    1.0396
    0.2286     0.0839   -1.40514  -0.03965  -0.02132    0.0491    1.0415
    0.2429     0.0764   -1.43632  -0.03630  -0.01934    0.0445    1.0375
    0.2571     0.0704   -1.47322  -0.03325  -0.01776    0.0409    1.0327
    0.2714     0.0650   -1.50297  -0.03104  -0.01663    0.0383    1.0279
