n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.3253   -1.68829  -0.05408  -0.04412    0.1016    1.0488
    0.0900     0.2846   -1.73813  -0.04916  -0.04036    0.0929    1.0492
    0.1013     0.2513   -1.71355  -0.04339  -0.03421    0.0788    1.0408
    0.1139     0.2070   -1.75120  -0.03657  -0.02827    0.0651    1.0302
    0.1282     0.1798   -1.74098  -0.03195  -0.02355    0.0542    1.0363
    0.1443     0.1590   -1.78120  -0.02856  -0.02095    0.0482    1.0375
    0.1623     0.1333   -1.73372  -0.02448  -0.01608    0.0370    1.0428
    0.1826     0.1222   -1.69542  -0.02256  -0.01343    0.0309    1.0369
    0.2055     0.1270   -1.72941  -0.02324  -0.01478    0.0340    1.0383
    0.2312     0.1118   -1.79576  -0.02035  -0.01312    0.0302    1.0314
    0.2601     0.0969   -1.84495  -0.01832  -0.01189    0.0274    1.0265
    0.2927     0.0895   -1.89409  -0.01694  -0.01121    0.0258    1.0244
    0.3293     0.0823   -1.94929  -0.01501  -0.00999    0.0230    1.0242
    0.3705     0.0748   -1.95085  -0.01400  -0.00900    0.0207    1.0181
    0.4169     0.0673   -2.00848  -0.01292  -0.00855    0.0197    1.0172
    0.4691     0.0598   -2.04043  -0.01154  -0.00750    0.0173    1.0197
    0.5278     0.0524   -2.09859  -0.01001  -0.00648    0.0149    1.0165
    0.5939     0.0453   -2.15790  -0.00851  -0.00544    0.0125    1.0137
    0.6682     0.0388   -2.22462  -0.00738  -0.00475    0.0109    1.0120
    0.7518     0.0329   -2.30502  -0.00628  -0.00410    0.0095    1.0079
    0.8459     0.0275   -2.38102  -0.00535  -0.00353    0.0081    1.0071
    0.9518     0.0229   -2.46575  -0.00447  -0.00297    0.0068    1.0049
    1.0710     0.0191   -2.53352  -0.00374  -0.00246    0.0057    1.0066
    1.2050     0.0158   -2.64128  -0.00314  -0.00215    0.0049    1.0039
    1.3560     0.0131   -2.73866  -0.00252  -0.00173    0.0040    1.0027
    1.5250     0.0109   -2.83711  -0.00211  -0.00148    0.0034    1.0029
    1.7160     0.0090   -2.95240  -0.00171  -0.00122    0.0028    1.0023
    1.9310     0.0074   -3.07156  -0.00139  -0.00102    0.0023    1.0021
    2.1730     0.0061   -3.17308  -0.00116  -0.00086    0.0020    1.0012
    2.4450     0.0050   -3.28142  -0.00098  -0.00075    0.0017    1.0014
    2.7510     0.0042   -3.38695  -0.00084  -0.00067    0.0015    1.0011
    3.0950     0.0035   -3.51423  -0.00070  -0.00057    0.0013    1.0004
    3.2500     0.0033   -3.57035  -0.00065  -0.00053    0.0012    1.0005
    3.2670     0.0032   -3.58955  -0.00063  -0.00052    0.0012    1.0004
    3.2830     0.0032   -3.58587  -0.00064  -0.00052    0.0012    1.0004
    3.3000     0.0032   -3.60575  -0.00062  -0.00051    0.0012    1.0005
    3.3160     0.0032   -3.59582  -0.00062  -0.00051    0.0012    1.0006
    3.3330     0.0031   -3.60620  -0.00061  -0.00051    0.0012    1.0005
    3.3490     0.0031   -3.60576  -0.00062  -0.00051    0.0012    1.0002
    3.4820     0.0029   -3.64633  -0.00058  -0.00049    0.0011    1.0005
    3.9180     0.0024   -3.79624  -0.00048  -0.00041    0.0009    1.0005
    4.4080     0.0020   -3.93482  -0.00040  -0.00035    0.0008    1.0003
    4.9600     0.0017   -4.07282  -0.00034  -0.00030    0.0007    1.0000
    5.5810     0.0014   -4.23751  -0.00029  -0.00026    0.0006    1.0001
    5.9900     0.0014   -4.34000  -0.00027  -0.00025    0.0006    1.0000
    6.0600     0.0014   -4.35035  -0.00027  -0.00025    0.0006    1.0001
    6.1300     0.0014   -4.36083  -0.00027  -0.00026    0.0006    1.0001
    6.2000     0.0014   -4.38625  -0.00027  -0.00025    0.0006    1.0001
    6.2700     0.0013   -4.39657  -0.00027  -0.00025    0.0006    1.0001
    6.2790     0.0013   -4.40876  -0.00026  -0.00025    0.0006    1.0001
    6.3400     0.0013   -4.41288  -0.00027  -0.00025    0.0006    1.0001
    6.4100     0.0013   -4.44333  -0.00025  -0.00024    0.0005    1.0001
    6.8780     0.0012   -4.53218  -0.00024  -0.00023    0.0005    1.0001
    7.0650     0.0012   -4.58646  -0.00023  -0.00022    0.0005    1.0001
    7.1520     0.0012   -4.58406  -0.00024  -0.00023    0.0005    1.0000
    7.4260     0.0014   -4.62461  -0.00027  -0.00026    0.0006    1.0000
    7.7000     0.0015   -4.66827  -0.00030  -0.00029    0.0007    1.0000
    7.9490     0.0016   -4.74841  -0.00033  -0.00032    0.0007    1.0000
    7.9740     0.0017   -4.74083  -0.00034  -0.00033    0.0008    1.0000
    8.1290     0.0020   -4.72241  -0.00039  -0.00038    0.0009    1.0001
    8.2480     0.0022   -4.71094  -0.00044  -0.00043    0.0010    1.0000
    8.2860     0.0023   -4.71588  -0.00045  -0.00044    0.0010    1.0000
    8.4430     0.0026   -4.71577  -0.00051  -0.00050    0.0012    1.0001
    8.5220     0.0027   -4.72993  -0.00054  -0.00053    0.0012    1.0001
    8.6000     0.0029   -4.74884  -0.00056  -0.00055    0.0013    1.0001
    8.7570     0.0032   -4.78926  -0.00062  -0.00061    0.0014    1.0000
    8.9140     0.0035   -4.84356  -0.00069  -0.00068    0.0016    1.0000
    8.9440     0.0035   -4.85044  -0.00072  -0.00071    0.0016    1.0000
    9.0710     0.0036   -4.87208  -0.00070  -0.00069    0.0016    1.0000
   10.0600     0.0039   -4.92677  -0.00077  -0.00076    0.0018    1.0000
   10.9500     0.0029   -5.04284  -0.00057  -0.00056    0.0013    1.0000
   11.0700     0.0028   -5.06349  -0.00054  -0.00053    0.0012    1.0000
   11.1900     0.0026   -5.07307  -0.00052  -0.00052    0.0012    1.0000
   11.3000     0.0025   -5.09402  -0.00050  -0.00049    0.0011    1.0000
   11.3200     0.0025   -5.10263  -0.00049  -0.00048    0.0011    1.0000
   11.4100     0.0024   -5.10921  -0.00048  -0.00047    0.0011    1.0000
   11.5300     0.0023   -5.13310  -0.00045  -0.00045    0.0010    1.0000
   11.6500     0.0022   -5.13167  -0.00046  -0.00045    0.0010    1.0000
   12.7400     0.0015   -5.31711  -0.00030  -0.00030    0.0007    1.0000
   14.3400     0.0011   -5.57248  -0.00021  -0.00021    0.0005    1.0000
   16.1300     0.0013   -5.78431  -0.00026  -0.00026    0.0006    1.0000
   18.1500     0.0015   -5.93538  -0.00030  -0.00030    0.0007    1.0000
   20.4200     0.0013   -6.10023  -0.00025  -0.00025    0.0006    1.0000
   22.9700     0.0010   -6.29686  -0.00020  -0.00020    0.0005    1.0000
