n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.2194   -1.78179  -0.03794  -0.03018    0.0695    1.0299
    0.0900     0.1881   -1.83053  -0.03361  -0.02673    0.0616    1.0311
    0.1013     0.1682   -1.80357  -0.03017  -0.02291    0.0528    1.0313
    0.1139     0.1459   -1.84370  -0.02555  -0.01900    0.0437    1.0211
    0.1282     0.1333   -1.83991  -0.02322  -0.01665    0.0383    1.0243
    0.1443     0.1242   -1.85602  -0.02224  -0.01591    0.0366    1.0226
    0.1623     0.1115   -1.83998  -0.02000  -0.01348    0.0310    1.0286
    0.1826     0.1109   -1.78669  -0.02043  -0.01305    0.0301    1.0266
    0.2055     0.1266   -1.78781  -0.02254  -0.01514    0.0349    1.0239
    0.2312     0.1133   -1.83079  -0.02008  -0.01341    0.0309    1.0249
    0.2601     0.0980   -1.87209  -0.01782  -0.01178    0.0271    1.0214
    0.2927     0.0904   -1.91679  -0.01663  -0.01120    0.0258    1.0183
    0.3293     0.0829   -1.96323  -0.01488  -0.01002    0.0231    1.0158
    0.3705     0.0750   -1.99448  -0.01366  -0.00914    0.0210    1.0180
    0.4169     0.0673   -2.05716  -0.01230  -0.00840    0.0194    1.0129
    0.4691     0.0598   -2.08354  -0.01102  -0.00736    0.0169    1.0134
    0.5278     0.0524   -2.13471  -0.00955  -0.00630    0.0145    1.0132
    0.5939     0.0453   -2.20459  -0.00815  -0.00540    0.0124    1.0090
    0.6682     0.0390   -2.25826  -0.00726  -0.00483    0.0111    1.0104
    0.7518     0.0333   -2.34010  -0.00612  -0.00411    0.0095    1.0063
    0.8459     0.0280   -2.41868  -0.00509  -0.00342    0.0079    1.0070
    0.9518     0.0235   -2.49287  -0.00436  -0.00295    0.0068    1.0050
    1.0710     0.0196   -2.56259  -0.00362  -0.00243    0.0056    1.0052
    1.2050     0.0163   -2.66627  -0.00309  -0.00214    0.0049    1.0034
    1.3560     0.0135   -2.76199  -0.00248  -0.00172    0.0040    1.0015
    1.5250     0.0112   -2.85123  -0.00209  -0.00148    0.0034    1.0029
    1.7160     0.0092   -2.96727  -0.00169  -0.00122    0.0028    1.0017
    1.9310     0.0076   -3.08238  -0.00137  -0.00101    0.0023    1.0014
    2.1730     0.0063   -3.18856  -0.00114  -0.00086    0.0020    1.0011
    2.4450     0.0052   -3.29616  -0.00096  -0.00074    0.0017    1.0012
    2.7510     0.0043   -3.40290  -0.00082  -0.00064    0.0015    1.0008
    3.0950     0.0036   -3.52254  -0.00068  -0.00055    0.0013    1.0001
    3.2500     0.0033   -3.57556  -0.00063  -0.00052    0.0012    1.0005
    3.2670     0.0033   -3.59334  -0.00061  -0.00050    0.0012    1.0004
    3.2830     0.0033   -3.59736  -0.00061  -0.00051    0.0012    1.0004
    3.3000     0.0033   -3.61156  -0.00060  -0.00049    0.0011    1.0003
    3.3160     0.0032   -3.60290  -0.00060  -0.00049    0.0011    1.0004
    3.3330     0.0032   -3.61412  -0.00060  -0.00049    0.0011    1.0002
    3.3490     0.0032   -3.61986  -0.00060  -0.00049    0.0011    1.0004
    3.4820     0.0030   -3.65784  -0.00056  -0.00047    0.0011    1.0003
    3.9180     0.0025   -3.79241  -0.00047  -0.00040    0.0009    1.0006
    4.4080     0.0020   -3.93230  -0.00039  -0.00034    0.0008    1.0003
    4.9600     0.0017   -4.08006  -0.00032  -0.00029    0.0007    1.0001
    5.5810     0.0014   -4.23718  -0.00027  -0.00025    0.0006    1.0001
    5.9900     0.0014   -4.34154  -0.00025  -0.00023    0.0005    1.0000
    6.0600     0.0014   -4.35241  -0.00025  -0.00024    0.0005    1.0000
    6.1300     0.0013   -4.36113  -0.00026  -0.00024    0.0005    1.0001
    6.2000     0.0013   -4.38355  -0.00025  -0.00023    0.0005    1.0000
    6.2700     0.0013   -4.39896  -0.00025  -0.00024    0.0005    1.0000
    6.2790     0.0013   -4.40880  -0.00025  -0.00023    0.0005    1.0001
    6.3400     0.0013   -4.41686  -0.00025  -0.00023    0.0005    1.0001
    6.4100     0.0013   -4.43385  -0.00024  -0.00023    0.0005    1.0000
    6.8780     0.0012   -4.52768  -0.00022  -0.00021    0.0005    1.0001
    7.0650     0.0011   -4.58685  -0.00021  -0.00020    0.0005    1.0001
    7.1520     0.0012   -4.58123  -0.00022  -0.00021    0.0005    1.0000
    7.4260     0.0012   -4.63225  -0.00023  -0.00022    0.0005    1.0001
    7.7000     0.0013   -4.67776  -0.00025  -0.00024    0.0006    1.0000
    7.9490     0.0014   -4.74255  -0.00027  -0.00026    0.0006    1.0000
    7.9740     0.0014   -4.74622  -0.00027  -0.00026    0.0006    1.0000
    8.1290     0.0016   -4.73697  -0.00030  -0.00029    0.0007    1.0001
    8.2480     0.0018   -4.72474  -0.00034  -0.00033    0.0008    1.0000
    8.2860     0.0018   -4.73526  -0.00034  -0.00033    0.0008    1.0000
    8.4430     0.0020   -4.73969  -0.00038  -0.00037    0.0009    1.0001
    8.5220     0.0021   -4.75622  -0.00039  -0.00038    0.0009    1.0000
    8.6000     0.0022   -4.77596  -0.00040  -0.00040    0.0009    1.0000
    8.7570     0.0024   -4.81049  -0.00044  -0.00043    0.0010    1.0000
    8.9140     0.0026   -4.85487  -0.00049  -0.00048    0.0011    1.0000
    8.9440     0.0026   -4.86757  -0.00049  -0.00049    0.0011    1.0000
    9.0710     0.0026   -4.87596  -0.00050  -0.00049    0.0011    1.0000
   10.0600     0.0028   -4.95629  -0.00053  -0.00052    0.0012    1.0000
   10.9500     0.0021   -5.07738  -0.00039  -0.00039    0.0009    1.0000
   11.0700     0.0020   -5.09146  -0.00038  -0.00038    0.0009    1.0000
   11.1900     0.0019   -5.11289  -0.00036  -0.00036    0.0008    1.0000
   11.3000     0.0018   -5.12689  -0.00035  -0.00035    0.0008    1.0000
   11.3200     0.0018   -5.13318  -0.00034  -0.00034    0.0008    1.0000
   11.4100     0.0018   -5.14816  -0.00033  -0.00033    0.0008    1.0000
   11.5300     0.0017   -5.16808  -0.00032  -0.00032    0.0007    1.0000
   11.6500     0.0017   -5.17149  -0.00032  -0.00032    0.0007    1.0000
   12.7400     0.0012   -5.35229  -0.00022  -0.00021    0.0005    1.0000
   14.3400     0.0008   -5.60095  -0.00016  -0.00015    0.0004    1.0000
   16.1300     0.0010   -5.81216  -0.00018  -0.00018    0.0004    1.0000
   18.1500     0.0011   -5.97606  -0.00021  -0.00021    0.0005    1.0000
   20.4200     0.0009   -6.15593  -0.00017  -0.00017    0.0004    1.0000
   22.9700     0.0007   -6.34423  -0.00014  -0.00014    0.0003    1.0000
   25.8500     0.0006   -6.57011  -0.00010  -0.00010    0.0002    1.0000
   29.0800     0.0004   -6.77691  -0.00008  -0.00008    0.0002    1.0000
   32.7200     0.0004   -6.99231  -0.00007  -0.00007    0.0002    1.0000
   36.8200     0.0003   -7.18826  -0.00005  -0.00005    0.0001    1.0000
   41.4300     0.0002   -7.40533  -0.00004  -0.00004    0.0001    1.0000
   46.6100     0.0002   -7.60312  -0.00003  -0.00003    0.0001    1.0000
   52.4500     0.0001   -7.81454  -0.00003  -0.00003    0.0001    1.0000
   59.0100     0.0001   -8.01944  -0.00002  -0.00002    0.0001    1.0000
   66.3900     0.0001   -8.21430  -0.00002  -0.00002    0.0000    1.0000
   74.7100     0.0001   -8.42491  -0.00001  -0.00001    0.0000    1.0000
   84.0500     0.0001   -8.63783  -0.00001  -0.00001    0.0000    1.0000
   94.5700     0.0000   -8.82927  -0.00001  -0.00001    0.0000    1.0000
  106.4000     0.0000   -9.04168  -0.00001  -0.00001    0.0000    1.0000
  119.7000     0.0000   -9.23749  -0.00001  -0.00001    0.0000    1.0000
  134.7000     0.0000   -9.43701  -0.00000  -0.00000    0.0000    1.0000
  151.6000     0.0000   -9.63337  -0.00000  -0.00000    0.0000    1.0000
  170.5000     0.0000   -9.84710  -0.00000  -0.00000    0.0000    1.0000
  191.9000     0.0000  -10.05504  -0.00000  -0.00000    0.0000    1.0000
  215.9000     0.0000  -10.25125  -0.00000  -0.00000    0.0000    1.0000
  242.9000     0.0000  -10.46006  -0.00000  -0.00000    0.0000    1.0000
  273.3000     0.0000  -10.65661  -0.00000  -0.00000    0.0000    1.0000
  307.5000     0.0000  -10.86013  -0.00000  -0.00000    0.0000    1.0000
  346.0000     0.0000  -11.06612  -0.00000  -0.00000    0.0000    1.0000
  389.3000     0.0000  -11.27624  -0.00000  -0.00000    0.0000    1.0000
  438.0000     0.0000  -11.46676  -0.00000  -0.00000    0.0000    1.0000
  492.9000     0.0000  -11.67352  -0.00000  -0.00000    0.0000    1.0000
  554.5000     0.0000  -11.88516  -0.00000  -0.00000    0.0000    1.0000
  624.0000     0.0000  -12.07897  -0.00000  -0.00000    0.0000    1.0000
  702.0000     0.0000  -12.29999  -0.00000  -0.00000    0.0000    1.0000
  789.9000     0.0000  -12.47851  -0.00000  -0.00000    0.0000    1.0000
  888.8000     0.0000  -12.69218  -0.00000  -0.00000    0.0000    1.0000
 1000.0000     0.0000  -12.90731  -0.00000  -0.00000    0.0000    1.0000
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.4389   -1.58387  -0.07035  -0.05723    0.1318    1.0547
    0.0900     0.3762   -1.63561  -0.06265  -0.05119    0.1179    1.0552
    0.1013     0.3365   -1.59847  -0.05605  -0.04377    0.1008    1.0530
    0.1139     0.2918   -1.61229  -0.04831  -0.03662    0.0843    1.0417
    0.1282     0.2666   -1.59904  -0.04459  -0.03264    0.0752    1.0524
    0.1443     0.2484   -1.61724  -0.04259  -0.03118    0.0718    1.0460
    0.1623     0.2229   -1.58544  -0.03834  -0.02619    0.0603    1.0531
    0.1826     0.2217   -1.53787  -0.03859  -0.02505    0.0577    1.0522
    0.2055     0.2532   -1.54041  -0.04283  -0.02923    0.0673    1.0521
