n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.5375   -1.58359  -0.08330  -0.06979    0.1607    1.0618
    0.0900     0.4790   -1.64447  -0.07490  -0.06335    0.1459    1.0556
    0.1013     0.4173   -1.62131  -0.06764  -0.05567    0.1282    1.0538
    0.1139     0.3345   -1.62300  -0.05475  -0.04317    0.0994    1.0409
    0.1282     0.2815   -1.62626  -0.04660  -0.03532    0.0813    1.0489
    0.1443     0.2397   -1.62663  -0.04122  -0.03008    0.0693    1.0445
    0.1623     0.1942   -1.54324  -0.03390  -0.02066    0.0476    1.0500
    0.1826     0.1720   -1.42712  -0.03075  -0.01365    0.0314    1.0640
    0.2055     0.1512   -1.43242  -0.02639  -0.00967    0.0223    1.0583
    0.2312     0.1307   -1.51502  -0.02310  -0.00933    0.0215    1.0491
    0.2601     0.1156   -1.59377  -0.02097  -0.00951    0.0219    1.0447
    0.2927     0.1023   -1.67743  -0.01850  -0.00908    0.0209    1.0278
    0.3293     0.0903   -1.75813  -0.01611  -0.00832    0.0192    1.0283
    0.3705     0.0795   -1.80650  -0.01440  -0.00744    0.0171    1.0265
    0.4169     0.0698   -1.88857  -0.01279  -0.00705    0.0162    1.0181
    0.4691     0.0609   -1.93646  -0.01121  -0.00608    0.0140    1.0210
    0.5278     0.0526   -2.00823  -0.00957  -0.00524    0.0121    1.0175
    0.5939     0.0449   -2.08598  -0.00814  -0.00453    0.0104    1.0107
    0.6682     0.0380   -2.15849  -0.00706  -0.00401    0.0092    1.0135
    0.7518     0.0319   -2.26108  -0.00582  -0.00341    0.0079    1.0079
    0.8459     0.0265   -2.34514  -0.00484  -0.00286    0.0066    1.0086
    0.9518     0.0218   -2.43338  -0.00407  -0.00246    0.0057    1.0055
    1.0710     0.0180   -2.51082  -0.00333  -0.00199    0.0046    1.0063
    1.2050     0.0148   -2.63462  -0.00279  -0.00177    0.0041    1.0032
    1.3560     0.0121   -2.72811  -0.00222  -0.00141    0.0032    1.0023
    1.5250     0.0100   -2.83645  -0.00186  -0.00123    0.0028    1.0021
    1.7160     0.0082   -2.96495  -0.00149  -0.00101    0.0023    1.0015
    1.9310     0.0068   -3.08363  -0.00122  -0.00086    0.0020    1.0015
    2.1730     0.0056   -3.19777  -0.00102  -0.00074    0.0017    1.0008
    2.4450     0.0047   -3.30881  -0.00087  -0.00065    0.0015    1.0013
    2.7510     0.0039   -3.42643  -0.00074  -0.00058    0.0013    1.0010
    3.0950     0.0033   -3.55502  -0.00062  -0.00050    0.0011    1.0001
    3.2500     0.0031   -3.61231  -0.00058  -0.00048    0.0011    1.0005
    3.2670     0.0030   -3.63309  -0.00056  -0.00046    0.0011    1.0003
    3.2830     0.0030   -3.62848  -0.00057  -0.00047    0.0011    1.0004
    3.3000     0.0030   -3.64648  -0.00055  -0.00046    0.0011    1.0003
    3.3160     0.0030   -3.63810  -0.00055  -0.00045    0.0010    1.0003
    3.3330     0.0030   -3.64941  -0.00055  -0.00046    0.0011    1.0004
    3.3490     0.0029   -3.65286  -0.00055  -0.00046    0.0010    1.0003
    3.4820     0.0028   -3.69833  -0.00052  -0.00043    0.0010    1.0002
    3.9180     0.0023   -3.83914  -0.00044  -0.00038    0.0009    1.0006
    4.4080     0.0020   -3.97574  -0.00037  -0.00033    0.0008    1.0002
    4.9600     0.0017   -4.12172  -0.00032  -0.00029    0.0007    1.0001
    5.5810     0.0015   -4.27467  -0.00028  -0.00026    0.0006    1.0001
    5.9900     0.0014   -4.37523  -0.00027  -0.00025    0.0006    1.0000
