n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.3253   -1.44801  -0.10081  -0.08171    0.1881    1.0420
    0.0900     0.2846   -1.49152  -0.08869  -0.07185    0.1654    1.0338
    0.1013     0.2513   -1.49246  -0.07819  -0.06177    0.1422    1.0366
    0.1139     0.2070   -1.50509  -0.06535  -0.04985    0.1148    1.0319
    0.1282     0.1798   -1.52651  -0.05762  -0.04311    0.0993    1.0291
    0.1443     0.1590   -1.53018  -0.05072  -0.03655    0.0842    1.0259
    0.1623     0.1333   -1.49429  -0.04267  -0.02758    0.0635    1.0311
    0.1826     0.1222   -1.47409  -0.03925  -0.02358    0.0543    1.0337
    0.2055     0.1270   -1.49941  -0.04077  -0.02592    0.0597    1.0280
    0.2312     0.1118   -1.55264  -0.03594  -0.02293    0.0528    1.0250
    0.2601     0.0969   -1.62819  -0.03109  -0.02025    0.0466    1.0207
    0.2927     0.0895   -1.66686  -0.02845  -0.01858    0.0428    1.0188
    0.3293     0.0823   -1.69229  -0.02684  -0.01756    0.0404    1.0178
    0.3705     0.0748   -1.74524  -0.02438  -0.01620    0.0373    1.0155
    0.4169     0.0673   -1.78743  -0.02165  -0.01427    0.0328    1.0139
    0.4691     0.0598   -1.82794  -0.01942  -0.01272    0.0293    1.0141
    0.5278     0.0524   -1.88323  -0.01689  -0.01102    0.0254    1.0129
    0.5939     0.0453   -1.93825  -0.01473  -0.00958    0.0221    1.0101
    0.6682     0.0388   -2.00575  -0.01256  -0.00817    0.0188    1.0089
    0.7518     0.0329   -2.07944  -0.01068  -0.00699    0.0161    1.0069
    0.8459     0.0275   -2.14490  -0.00904  -0.00587    0.0135    1.0061
    0.9518     0.0229   -2.24107  -0.00748  -0.00495    0.0114    1.0046
    1.0710     0.0191   -2.33063  -0.00618  -0.00413    0.0095    1.0029
    1.2050     0.0158   -2.41597  -0.00516  -0.00348    0.0080    1.0030
    1.3560     0.0131   -2.51392  -0.00427  -0.00293    0.0067    1.0023
    1.5250     0.0109   -2.62118  -0.00352  -0.00248    0.0057    1.0026
    1.7160     0.0090   -2.71897  -0.00292  -0.00208    0.0048    1.0011
    1.9310     0.0074   -2.82629  -0.00244  -0.00179    0.0041    1.0014
    2.1730     0.0061   -2.94442  -0.00201  -0.00151    0.0035    1.0011
    2.4450     0.0050   -3.06735  -0.00165  -0.00128    0.0029    1.0011
    2.7510     0.0042   -3.17865  -0.00139  -0.00110    0.0025    1.0007
    3.0950     0.0035   -3.31248  -0.00114  -0.00092    0.0021    1.0007
    3.2500     0.0033   -3.35608  -0.00107  -0.00088    0.0020    1.0005
    3.2670     0.0032   -3.36307  -0.00105  -0.00086    0.0020    1.0005
    3.2830     0.0032   -3.37753  -0.00103  -0.00085    0.0020    1.0004
    3.3000     0.0032   -3.37646  -0.00103  -0.00085    0.0020    1.0002
    3.3160     0.0032   -3.37711  -0.00104  -0.00086    0.0020    1.0003
    3.3330     0.0031   -3.39090  -0.00102  -0.00085    0.0019    1.0005
    3.3490     0.0031   -3.39529  -0.00101  -0.00084    0.0019    1.0002
    3.4820     0.0029   -3.44105  -0.00095  -0.00080    0.0018    1.0002
    3.9180     0.0024   -3.57293  -0.00080  -0.00068    0.0016    1.0004
    4.4080     0.0020   -3.72295  -0.00066  -0.00057    0.0013    1.0002
    4.9600     0.0017   -3.86638  -0.00056  -0.00050    0.0011    1.0001
    5.5810     0.0014   -4.02121  -0.00047  -0.00043    0.0010    1.0001
    5.9900     0.0014   -4.11112  -0.00045  -0.00042    0.0010    1.0001
    6.0600     0.0014   -4.13285  -0.00045  -0.00041    0.0010    1.0001
    6.1300     0.0014   -4.14779  -0.00045  -0.00042    0.0010    1.0001
    6.2000     0.0014   -4.16418  -0.00045  -0.00042    0.0010    1.0001
    6.2700     0.0013   -4.18627  -0.00044  -0.00041    0.0009    1.0001
    6.2790     0.0013   -4.18991  -0.00044  -0.00041    0.0009    1.0001
    6.3400     0.0013   -4.20339  -0.00043  -0.00041    0.0009    1.0001
    6.4100     0.0013   -4.21879  -0.00042  -0.00040    0.0009    1.0001
    6.8780     0.0012   -4.31479  -0.00040  -0.00038    0.0009    1.0000
    7.0650     0.0012   -4.36325  -0.00038  -0.00037    0.0008    1.0000
    7.1520     0.0012   -4.36343  -0.00040  -0.00039    0.0009    1.0000
    7.4260     0.0014   -4.39854  -0.00045  -0.00043    0.0010    1.0000
    7.7000     0.0015   -4.45941  -0.00049  -0.00047    0.0011    1.0000
    7.9490     0.0016   -4.53459  -0.00053  -0.00052    0.0012    1.0000
    7.9740     0.0017   -4.52894  -0.00055  -0.00053    0.0012    1.0000
    8.1290     0.0020   -4.51323  -0.00063  -0.00062    0.0014    1.0000
    8.2480     0.0022   -4.49535  -0.00072  -0.00071    0.0016    1.0000
    8.2860     0.0023   -4.49277  -0.00075  -0.00073    0.0017    1.0000
    8.4430     0.0026   -4.50387  -0.00084  -0.00083    0.0019    1.0000
    8.5220     0.0027   -4.51417  -0.00089  -0.00087    0.0020    1.0000
    8.6000     0.0029   -4.52401  -0.00095  -0.00093    0.0021    1.0000
    8.7570     0.0032   -4.56315  -0.00104  -0.00103    0.0024    1.0000
    8.9140     0.0035   -4.62319  -0.00115  -0.00114    0.0026    1.0000
    8.9440     0.0035   -4.63745  -0.00118  -0.00117    0.0027    1.0000
    9.0710     0.0036   -4.65501  -0.00116  -0.00115    0.0026    1.0000
   10.0600     0.0039   -4.71112  -0.00127  -0.00126    0.0029    1.0000
   10.9500     0.0029   -4.82239  -0.00095  -0.00094    0.0022    1.0000
   11.0700     0.0028   -4.84408  -0.00090  -0.00089    0.0020    1.0000
   11.1900     0.0026   -4.86037  -0.00086  -0.00085    0.0020    1.0000
   11.3000     0.0025   -4.87992  -0.00082  -0.00081    0.0019    1.0000
   11.3200     0.0025   -4.88304  -0.00081  -0.00080    0.0018    1.0000
   11.4100     0.0024   -4.89052  -0.00080  -0.00079    0.0018    1.0000
   11.5300     0.0023   -4.90751  -0.00076  -0.00076    0.0017    1.0000
   11.6500     0.0022   -4.92414  -0.00073  -0.00073    0.0017    1.0000
   12.7400     0.0015   -5.09908  -0.00050  -0.00049    0.0011    1.0000
   14.3400     0.0011   -5.34380  -0.00036  -0.00035    0.0008    1.0000
