n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.2194   -1.57739  -0.06788  -0.05465    0.1258    1.0303
    0.0900     0.1881   -1.62010  -0.05838  -0.04663    0.1074    1.0257
    0.1013     0.1682   -1.58861  -0.05233  -0.03987    0.0918    1.0271
    0.1139     0.1459   -1.61322  -0.04632  -0.03471    0.0799    1.0267
    0.1282     0.1333   -1.62456  -0.04246  -0.03123    0.0719    1.0287
    0.1443     0.1242   -1.62945  -0.03944  -0.02842    0.0654    1.0210
    0.1623     0.1115   -1.60239  -0.03551  -0.02389    0.0550    1.0257
    0.1826     0.1109   -1.57626  -0.03505  -0.02273    0.0523    1.0229
    0.2055     0.1266   -1.56985  -0.04005  -0.02741    0.0631    1.0286
    0.2312     0.1133   -1.58880  -0.03585  -0.02386    0.0549    1.0259
    0.2601     0.0980   -1.63670  -0.03122  -0.02058    0.0474    1.0206
    0.2927     0.0904   -1.68518  -0.02856  -0.01909    0.0440    1.0200
    0.3293     0.0829   -1.72339  -0.02656  -0.01792    0.0413    1.0171
    0.3705     0.0750   -1.77393  -0.02393  -0.01627    0.0375    1.0167
    0.4169     0.0673   -1.81596  -0.02153  -0.01461    0.0336    1.0151
    0.4691     0.0598   -1.85471  -0.01937  -0.01307    0.0301    1.0142
    0.5278     0.0524   -1.91372  -0.01661  -0.01115    0.0257    1.0127
    0.5939     0.0453   -1.97406  -0.01446  -0.00972    0.0224    1.0103
    0.6682     0.0390   -2.02216  -0.01263  -0.00840    0.0193    1.0099
    0.7518     0.0333   -2.08821  -0.01081  -0.00719    0.0166    1.0089
    0.8459     0.0280   -2.16714  -0.00911  -0.00610    0.0140    1.0074
    0.9518     0.0235   -2.25527  -0.00756  -0.00511    0.0118    1.0065
    1.0710     0.0196   -2.33336  -0.00638  -0.00434    0.0100    1.0036
    1.2050     0.0163   -2.43893  -0.00520  -0.00361    0.0083    1.0033
    1.3560     0.0135   -2.52213  -0.00433  -0.00301    0.0069    1.0034
    1.5250     0.0112   -2.61836  -0.00363  -0.00257    0.0059    1.0032
    1.7160     0.0092   -2.71680  -0.00303  -0.00219    0.0050    1.0018
    1.9310     0.0076   -2.83297  -0.00246  -0.00182    0.0042    1.0015
    2.1730     0.0063   -2.94583  -0.00204  -0.00155    0.0036    1.0013
    2.4450     0.0052   -3.05848  -0.00169  -0.00131    0.0030    1.0012
    2.7510     0.0043   -3.17163  -0.00142  -0.00112    0.0026    1.0007
    3.0950     0.0036   -3.29538  -0.00117  -0.00095    0.0022    1.0006
    3.2500     0.0033   -3.34766  -0.00110  -0.00090    0.0021    1.0003
    3.2670     0.0033   -3.35107  -0.00107  -0.00087    0.0020    1.0007
