n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.5375   -1.39176  -0.15142  -0.12714    0.2928    1.0621
    0.0900     0.4790   -1.42141  -0.13711  -0.11511    0.2650    1.0598
    0.1013     0.4173   -1.38868  -0.12293  -0.09999    0.2302    1.0558
    0.1139     0.3345   -1.42487  -0.09927  -0.07922    0.1824    1.0508
    0.1282     0.2815   -1.42081  -0.08460  -0.06502    0.1497    1.0510
    0.1443     0.2397   -1.40682  -0.07327  -0.05358    0.1234    1.0476
    0.1623     0.1942   -1.29957  -0.06017  -0.03584    0.0825    1.0507
    0.1826     0.1720   -1.22382  -0.05377  -0.02536    0.0584    1.0693
    0.2055     0.1512   -1.20670  -0.04728  -0.01819    0.0419    1.0762
    0.2312     0.1307   -1.28100  -0.04088  -0.01659    0.0382    1.0475
    0.2601     0.1156   -1.36125  -0.03641  -0.01632    0.0376    1.0461
    0.2927     0.1023   -1.44042  -0.03240  -0.01575    0.0363    1.0354
    0.3293     0.0903   -1.52810  -0.02841  -0.01488    0.0343    1.0312
    0.3705     0.0795   -1.59611  -0.02541  -0.01389    0.0320    1.0264
    0.4169     0.0698   -1.65008  -0.02245  -0.01233    0.0284    1.0265
    0.4691     0.0609   -1.72236  -0.01915  -0.01064    0.0245    1.0220
    0.5278     0.0526   -1.78045  -0.01662  -0.00920    0.0212    1.0139
    0.5939     0.0449   -1.85268  -0.01432  -0.00806    0.0186    1.0174
    0.6682     0.0380   -1.93049  -0.01222  -0.00701    0.0161    1.0142
    0.7518     0.0319   -2.01076  -0.01033  -0.00601    0.0138    1.0102
    0.8459     0.0265   -2.10385  -0.00851  -0.00504    0.0116    1.0073
    0.9518     0.0218   -2.19175  -0.00702  -0.00419    0.0096    1.0067
    1.0710     0.0180   -2.28826  -0.00580  -0.00354    0.0081    1.0043
    1.2050     0.0148   -2.39976  -0.00472  -0.00297    0.0068    1.0040
