n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.3253   -1.35032  -0.14709  -0.12070    0.2779    1.0547
    0.0900     0.2846   -1.38206  -0.12988  -0.10624    0.2446    1.0515
    0.1013     0.2513   -1.37373  -0.11391  -0.09067    0.2088    1.0492
    0.1139     0.2070   -1.40222  -0.09456  -0.07369    0.1697    1.0438
    0.1282     0.1798   -1.41605  -0.08248  -0.06278    0.1446    1.0419
    0.1443     0.1590   -1.41181  -0.07317  -0.05370    0.1236    1.0352
    0.1623     0.1333   -1.36830  -0.06135  -0.04044    0.0931    1.0416
    0.1826     0.1222   -1.34633  -0.05693  -0.03518    0.0810    1.0415
    0.2055     0.1270   -1.37482  -0.05893  -0.03843    0.0885    1.0385
    0.2312     0.1118   -1.41848  -0.05203  -0.03374    0.0777    1.0417
    0.2601     0.0969   -1.48461  -0.04546  -0.02994    0.0689    1.0318
    0.2927     0.0895   -1.52509  -0.04189  -0.02784    0.0641    1.0282
    0.3293     0.0823   -1.57617  -0.03839  -0.02598    0.0598    1.0264
    0.3705     0.0748   -1.60518  -0.03471  -0.02319    0.0534    1.0245
    0.4169     0.0673   -1.65260  -0.03155  -0.02128    0.0490    1.0260
    0.4691     0.0598   -1.67586  -0.02832  -0.01865    0.0429    1.0204
    0.5278     0.0524   -1.74258  -0.02457  -0.01634    0.0376    1.0151
    0.5939     0.0453   -1.79558  -0.02120  -0.01396    0.0321    1.0171
    0.6682     0.0388   -1.86025  -0.01805  -0.01185    0.0273    1.0121
    0.7518     0.0329   -1.93441  -0.01544  -0.01024    0.0236    1.0127
    0.8459     0.0275   -2.01001  -0.01285  -0.00850    0.0196    1.0095
    0.9518     0.0229   -2.09137  -0.01079  -0.00719    0.0166    1.0074
    1.0710     0.0191   -2.18409  -0.00899  -0.00610    0.0140    1.0058
    1.2050     0.0158   -2.27350  -0.00745  -0.00510    0.0117    1.0050
    1.3560     0.0131   -2.37173  -0.00616  -0.00430    0.0099    1.0036
    1.5250     0.0109   -2.47254  -0.00509  -0.00361    0.0083    1.0033
    1.7160     0.0090   -2.57228  -0.00421  -0.00304    0.0070    1.0020
    1.9310     0.0074   -2.68130  -0.00350  -0.00259    0.0060    1.0017
    2.1730     0.0061   -2.79807  -0.00286  -0.00216    0.0050    1.0017
    2.4450     0.0050   -2.91639  -0.00236  -0.00183    0.0042    1.0016
    2.7510     0.0042   -3.02803  -0.00198  -0.00157    0.0036    1.0013
    3.0950     0.0035   -3.15797  -0.00166  -0.00135    0.0031    1.0009
