n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.2194   -1.46150  -0.09856  -0.08012    0.1845    1.0438
    0.0900     0.1881   -1.50438  -0.08439  -0.06818    0.1570    1.0377
    0.1013     0.1682   -1.49118  -0.07664  -0.06023    0.1387    1.0403
    0.1139     0.1459   -1.49493  -0.06610  -0.05021    0.1156    1.0374
    0.1282     0.1333   -1.49614  -0.06078  -0.04513    0.1039    1.0315
    0.1443     0.1242   -1.51722  -0.05679  -0.04200    0.0967    1.0318
    0.1623     0.1115   -1.46793  -0.05091  -0.03460    0.0797    1.0332
    0.1826     0.1109   -1.44401  -0.05069  -0.03347    0.0771    1.0389
    0.2055     0.1266   -1.42868  -0.05798  -0.03986    0.0918    1.0390
    0.2312     0.1133   -1.45788  -0.05200  -0.03527    0.0812    1.0413
    0.2601     0.0980   -1.50003  -0.04557  -0.03058    0.0704    1.0321
    0.2927     0.0904   -1.55221  -0.04168  -0.02848    0.0656    1.0308
    0.3293     0.0829   -1.58948  -0.03821  -0.02617    0.0603    1.0264
    0.3705     0.0750   -1.63622  -0.03467  -0.02393    0.0551    1.0272
    0.4169     0.0673   -1.67790  -0.03160  -0.02190    0.0504    1.0232
    0.4691     0.0598   -1.71365  -0.02785  -0.01899    0.0437    1.0242
    0.5278     0.0524   -1.76684  -0.02452  -0.01673    0.0385    1.0176
    0.5939     0.0453   -1.83115  -0.02110  -0.01443    0.0332    1.0191
    0.6682     0.0390   -1.88651  -0.01830  -0.01245    0.0287    1.0139
    0.7518     0.0333   -1.95067  -0.01563  -0.01061    0.0244    1.0127
    0.8459     0.0280   -2.01507  -0.01309  -0.00879    0.0202    1.0104
    0.9518     0.0235   -2.11340  -0.01100  -0.00758    0.0175    1.0072
    1.0710     0.0196   -2.19323  -0.00922  -0.00639    0.0147    1.0068
    1.2050     0.0163   -2.28928  -0.00757  -0.00531    0.0122    1.0058
    1.3560     0.0135   -2.37791  -0.00634  -0.00450    0.0104    1.0051
    1.5250     0.0112   -2.46934  -0.00532  -0.00383    0.0088    1.0036
    1.7160     0.0092   -2.57395  -0.00435  -0.00318    0.0073    1.0030
    1.9310     0.0076   -2.67882  -0.00359  -0.00267    0.0062    1.0017
    2.1730     0.0063   -2.79718  -0.00291  -0.00221    0.0051    1.0015
    2.4450     0.0052   -2.90188  -0.00245  -0.00190    0.0044    1.0018
    2.7510     0.0043   -3.02625  -0.00201  -0.00160    0.0037    1.0010
    3.0950     0.0036   -3.14075  -0.00170  -0.00138    0.0032    1.0009
    3.2500     0.0033   -3.18816  -0.00158  -0.00130    0.0030    1.0010
    3.2670     0.0033   -3.19832  -0.00156  -0.00128    0.0029    1.0007
    3.2830     0.0033   -3.20011  -0.00155  -0.00128    0.0029    1.0007
    3.3000     0.0033   -3.21374  -0.00153  -0.00126    0.0029    1.0006
    3.3160     0.0032   -3.21782  -0.00152  -0.00126    0.0029    1.0007
    3.3330     0.0032   -3.22593  -0.00150  -0.00124    0.0029    1.0009
    3.3490     0.0032   -3.22933  -0.00149  -0.00124    0.0028    1.0005
