n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.5375   -1.30801  -0.22575  -0.19122    0.4403    1.0794
    0.0900     0.4790   -1.33038  -0.20261  -0.17140    0.3947    1.0773
    0.1013     0.4173   -1.30738  -0.17852  -0.14739    0.3394    1.0763
    0.1139     0.3345   -1.30390  -0.14710  -0.11784    0.2713    1.0697
    0.1282     0.2815   -1.31022  -0.12499  -0.09752    0.2246    1.0619
    0.1443     0.2397   -1.29212  -0.10653  -0.07909    0.1821    1.0625
    0.1623     0.1942   -1.18412  -0.08772  -0.05426    0.1249    1.0772
    0.1826     0.1720   -1.08315  -0.07903  -0.03801    0.0875    1.0904
    0.2055     0.1512   -1.08057  -0.06862  -0.02830    0.0652    1.1007
    0.2312     0.1307   -1.13903  -0.06008  -0.02530    0.0583    1.0888
    0.2601     0.1156   -1.21841  -0.05350  -0.02477    0.0570    1.0627
    0.2927     0.1023   -1.30450  -0.04656  -0.02322    0.0535    1.0528
    0.3293     0.0903   -1.37772  -0.04211  -0.02250    0.0518    1.0437
    0.3705     0.0795   -1.44589  -0.03688  -0.02027    0.0467    1.0392
    0.4169     0.0698   -1.50878  -0.03267  -0.01840    0.0424    1.0371
    0.4691     0.0609   -1.57754  -0.02837  -0.01627    0.0375    1.0300
    0.5278     0.0526   -1.64742  -0.02448  -0.01426    0.0328    1.0214
    0.5939     0.0449   -1.71439  -0.02090  -0.01219    0.0281    1.0209
    0.6682     0.0380   -1.78330  -0.01768  -0.01029    0.0237    1.0179
    0.7518     0.0319   -1.86244  -0.01493  -0.00880    0.0203    1.0145
    0.8459     0.0265   -1.94259  -0.01234  -0.00727    0.0167    1.0106
    0.9518     0.0218   -2.04335  -0.01029  -0.00628    0.0145    1.0090
    1.0710     0.0180   -2.15304  -0.00843  -0.00532    0.0123    1.0069
    1.2050     0.0148   -2.25146  -0.00685  -0.00439    0.0101    1.0052
    1.3560     0.0121   -2.34626  -0.00571  -0.00374    0.0086    1.0045
    1.5250     0.0100   -2.45594  -0.00466  -0.00313    0.0072    1.0042
    1.7160     0.0082   -2.56187  -0.00390  -0.00270    0.0062    1.0028
    1.9310     0.0068   -2.68940  -0.00314  -0.00225    0.0052    1.0025
    2.1730     0.0056   -2.80426  -0.00261  -0.00193    0.0044    1.0016
    2.4450     0.0047   -2.92020  -0.00220  -0.00167    0.0039    1.0016
