n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.1553   -1.52992  -0.04929  -0.03517    0.0810    1.0225
    0.0531     0.1681   -1.54127  -0.05419  -0.04027    0.0927    1.0207
    0.0556     0.1825   -1.50464  -0.05692  -0.04170    0.0960    1.0271
    0.0579     0.1972   -1.50561  -0.06268  -0.04730    0.1089    1.0317
    0.0589     0.2131   -1.49756  -0.06626  -0.05047    0.1162    1.0366
    0.0599     0.2300   -1.48768  -0.07238  -0.05601    0.1290    1.0243
    0.0609     0.2476   -1.47985  -0.07737  -0.06051    0.1393    1.0280
    0.0624     0.2715   -1.47085  -0.08464  -0.06715    0.1546    1.0404
    0.0638     0.2934   -1.47623  -0.09207  -0.07450    0.1715    1.0431
    0.0657     0.3187   -1.47379  -0.09992  -0.08194    0.1887    1.0367
    0.0680     0.3455   -1.49564  -0.10625  -0.08888    0.2047    1.0304
    0.0708     0.3719   -1.48917  -0.11371  -0.09579    0.2206    1.0335
    0.0729     0.3739   -1.48516  -0.11419  -0.09609    0.2213    1.0342
    0.0733     0.3783   -1.47586  -0.11630  -0.09772    0.2250    1.0331
    0.0737     0.3751   -1.47252  -0.11503  -0.09637    0.2219    1.0388
    0.0763     0.3457   -1.47636  -0.10727  -0.08909    0.2051    1.0338
    0.0785     0.3189   -1.48617  -0.09934  -0.08188    0.1885    1.0346
    0.0813     0.2927   -1.44663  -0.09191  -0.07313    0.1684    1.0383
    0.0846     0.2700   -1.47990  -0.08346  -0.06637    0.1528    1.0302
    0.0902     0.2491   -1.47760  -0.07713  -0.06020    0.1386    1.0272
    0.0983     0.2290   -1.45384  -0.07325  -0.05554    0.1279    1.0386
    0.1047     0.2105   -1.43990  -0.06597  -0.04798    0.1105    1.0286
    0.1103     0.1943   -1.44590  -0.06148  -0.04392    0.1011    1.0306
    0.1168     0.1792   -1.45240  -0.05648  -0.03937    0.0906    1.0328
    0.1245     0.1651   -1.45101  -0.05308  -0.03604    0.0830    1.0280
    0.1326     0.1526   -1.48442  -0.04823  -0.03261    0.0751    1.0344
    0.1445     0.1406   -1.49866  -0.04440  -0.02941    0.0677    1.0258
    0.1594     0.1298   -1.47129  -0.04205  -0.02618    0.0603    1.0279
    0.1728     0.1273   -1.42493  -0.04063  -0.02306    0.0531    1.0339
    0.1928     0.1373   -1.41286  -0.04330  -0.02514    0.0579    1.0352
    0.2018     0.1488   -1.36538  -0.04740  -0.02700    0.0622    1.0405
    0.2101     0.1601   -1.36427  -0.05101  -0.03039    0.0700    1.0391
    0.2188     0.1632   -1.37336  -0.05191  -0.03167    0.0729    1.0445
    0.2304     0.1492   -1.36352  -0.04745  -0.02697    0.0621    1.0381
    0.2385     0.1370   -1.36083  -0.04380  -0.02336    0.0538    1.0444
    0.2469     0.1262   -1.38525  -0.03974  -0.02057    0.0474    1.0478
    0.2585     0.1161   -1.38205  -0.03708  -0.01788    0.0412    1.0366
    0.2754     0.1067   -1.39237  -0.03425  -0.01561    0.0359    1.0364
    0.3003     0.0987   -1.40954  -0.03142  -0.01361    0.0313    1.0389
    0.3273     0.0909   -1.42592  -0.02905  -0.01198    0.0276    1.0366
    0.3548     0.0840   -1.46464  -0.02736  -0.01178    0.0271    1.0320
    0.3846     0.0774   -1.47225  -0.02476  -0.00953    0.0220    1.0234
    0.4145     0.0713   -1.50452  -0.02279  -0.00869    0.0200    1.0251
    0.4441     0.0659   -1.53378  -0.02120  -0.00806    0.0186    1.0224
    0.4759     0.0605   -1.54285  -0.01986  -0.00702    0.0162    1.0229
    0.5070     0.0558   -1.58833  -0.01766  -0.00614    0.0141    1.0232
    0.5401     0.0513   -1.62066  -0.01670  -0.00602    0.0139    1.0196
    0.5721     0.0474   -1.64391  -0.01501  -0.00493    0.0113    1.0177
    0.6060     0.0437   -1.68326  -0.01422  -0.00501    0.0115    1.0198
    0.6419     0.0403   -1.71990  -0.01301  -0.00457    0.0105    1.0130
    0.6800     0.0370   -1.75413  -0.01200  -0.00420    0.0097    1.0146
    0.7203     0.0340   -1.80876  -0.01101  -0.00414    0.0095    1.0107
    0.7630     0.0313   -1.83773  -0.01022  -0.00380    0.0088    1.0113
    0.8082     0.0287   -1.87549  -0.00934  -0.00347    0.0080    1.0117
    0.8511     0.0265   -1.91540  -0.00853  -0.00318    0.0073    1.0113
    0.8964     0.0245   -1.94564  -0.00794  -0.00296    0.0068    1.0145
    0.9441     0.0226   -1.99277  -0.00732  -0.00286    0.0066    1.0080
    0.9943     0.0208   -2.03364  -0.00681  -0.00274    0.0063    1.0105
    1.0470     0.0192   -2.07946  -0.00622  -0.00257    0.0059    1.0084
    1.1030     0.0177   -2.11542  -0.00575  -0.00239    0.0055    1.0064
    1.1610     0.0163   -2.16049  -0.00533  -0.00230    0.0053    1.0063
    1.2230     0.0151   -2.19274  -0.00491  -0.00210    0.0048    1.0078
    1.2880     0.0139   -2.24003  -0.00456  -0.00204    0.0047    1.0070
    1.3570     0.0128   -2.27649  -0.00423  -0.00191    0.0044    1.0051
    1.4290     0.0118   -2.32469  -0.00384  -0.00177    0.0041    1.0049
    1.5050     0.0109   -2.37623  -0.00351  -0.00168    0.0039    1.0050
    1.5850     0.0101   -2.41624  -0.00328  -0.00161    0.0037    1.0032
    1.6690     0.0093   -2.45962  -0.00299  -0.00148    0.0034    1.0032
    1.7580     0.0085   -2.50654  -0.00276  -0.00140    0.0032    1.0026
    1.8510     0.0078   -2.56121  -0.00252  -0.00132    0.0030    1.0034
    1.9500     0.0072   -2.60082  -0.00236  -0.00126    0.0029    1.0022
    2.0540     0.0066   -2.65439  -0.00213  -0.00117    0.0027    1.0023
    2.1500     0.0061   -2.70541  -0.00198  -0.00112    0.0026    1.0017
    2.2520     0.0056   -2.74518  -0.00185  -0.00106    0.0025    1.0013
    2.3580     0.0052   -2.80985  -0.00165  -0.00097    0.0022    1.0016
    2.4690     0.0048   -2.85225  -0.00156  -0.00095    0.0022    1.0009
    2.5850     0.0044   -2.89786  -0.00145  -0.00090    0.0021    1.0019
    2.7070     0.0040   -2.95785  -0.00131  -0.00084    0.0019    1.0013
    2.8350     0.0037   -3.01270  -0.00121  -0.00078    0.0018    1.0013
    2.9680     0.0034   -3.07285  -0.00111  -0.00074    0.0017    1.0007
    3.0900     0.0031   -3.13115  -0.00101  -0.00069    0.0016    1.0009
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.3107   -1.30297  -0.09571  -0.06956    0.1602    1.0680
    0.0531     0.3362   -1.32407  -0.10489  -0.07943    0.1829    1.0410
    0.0556     0.3650   -1.28478  -0.11262  -0.08435    0.1942    1.0618
    0.0579     0.3945   -1.27673  -0.12055  -0.09125    0.2101    1.0617
    0.0589     0.4261   -1.25722  -0.12833  -0.09720    0.2238    1.0599
    0.0599     0.4600   -1.27312  -0.13814  -0.10742    0.2474    1.0558
    0.0609     0.4952   -1.30607  -0.14971  -0.12042    0.2773    1.0644
    0.0624     0.5430   -1.30125  -0.16132  -0.13094    0.3015    1.0646
    0.0638     0.5869   -1.29243  -0.17363  -0.14179    0.3265    1.0666
    0.0657     0.6375   -1.33376  -0.18643  -0.15654    0.3605    1.0642
    0.0680     0.6910   -1.32208  -0.20383  -0.17195    0.3959    1.0598
    0.0708     0.7439   -1.35578  -0.21446  -0.18417    0.4241    1.0652
    0.0729     0.7478   -1.34227  -0.21733  -0.18592    0.4281    1.0617
    0.0733     0.7567   -1.31741  -0.22169  -0.18817    0.4333    1.0742
    0.0737     0.7502   -1.35850  -0.21788  -0.18755    0.4318    1.0719
    0.0763     0.6914   -1.31880  -0.20449  -0.17233    0.3968    1.0701
    0.0785     0.6378   -1.29060  -0.18727  -0.15432    0.3553    1.0661
    0.0813     0.5853   -1.28120  -0.17427  -0.14158    0.3260    1.0610
    0.0846     0.5401   -1.28192  -0.16104  -0.12935    0.2978    1.0592
