n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2915   -1.38469  -0.08502  -0.06376    0.1468    1.0548
    0.0531     0.3014   -1.35698  -0.08952  -0.06667    0.1535    1.0499
    0.0556     0.3117   -1.33825  -0.09161  -0.06767    0.1558    1.0753
    0.0579     0.3286   -1.28793  -0.09658  -0.06949    0.1600    1.0721
    0.0589     0.3441   -1.27982  -0.09820  -0.07051    0.1624    1.0703
    0.0599     0.3737   -1.24619  -0.10734  -0.07688    0.1770    1.0817
    0.0609     0.4086   -1.27575  -0.11510  -0.08609    0.1982    1.0809
    0.0624     0.4587   -1.25504  -0.12906  -0.09772    0.2250    1.0890
    0.0638     0.4992   -1.25369  -0.13943  -0.10727    0.2470    1.0878
    0.0657     0.5376   -1.26398  -0.15147  -0.11918    0.2744    1.0937
    0.0680     0.5638   -1.25862  -0.15326  -0.12045    0.2774    1.0902
    0.0708     0.5763   -1.28532  -0.15666  -0.12551    0.2890    1.0901
    0.0729     0.5759   -1.27995  -0.15481  -0.12342    0.2842    1.0917
    0.0733     0.6084   -1.26850  -0.16516  -0.13221    0.3044    1.0855
    0.0737     0.6037   -1.31338  -0.16021  -0.13071    0.3010    1.0923
    0.0763     0.5719   -1.29177  -0.15486  -0.12427    0.2862    1.0943
    0.0785     0.5461   -1.28469  -0.15203  -0.12116    0.2790    1.0829
    0.0813     0.5216   -1.27411  -0.14715  -0.11588    0.2668    1.0919
    0.0846     0.4982   -1.28685  -0.13889  -0.10905    0.2511    1.0864
    0.0902     0.4818   -1.29691  -0.13422  -0.10534    0.2426    1.0934
    0.0983     0.4517   -1.27132  -0.12766  -0.09753    0.2246    1.0860
    0.1047     0.4151   -1.25511  -0.11794  -0.08738    0.2012    1.0833
    0.1103     0.3853   -1.25552  -0.11026  -0.08023    0.1847    1.0821
    0.1168     0.3592   -1.26505  -0.10598  -0.07687    0.1770    1.0770
    0.1245     0.3345   -1.27834  -0.09700  -0.06930    0.1596    1.0859
    0.1326     0.3128   -1.25694  -0.09283  -0.06405    0.1475    1.0707
    0.1445     0.2861   -1.23106  -0.08697  -0.05687    0.1309    1.0851
    0.1594     0.2416   -1.18049  -0.07169  -0.03913    0.0901    1.0896
    0.1728     0.2096   -1.15744  -0.06363  -0.02998    0.0690    1.0963
    0.1928     0.1786   -1.10198  -0.05471  -0.01741    0.0401    1.1087
    0.2018     0.1693   -1.10275  -0.05267  -0.01560    0.0359    1.0866
    0.2101     0.1624   -1.12321  -0.04996  -0.01473    0.0339    1.1219
    0.2188     0.1549   -1.12848  -0.04777  -0.01313    0.0302    1.0902
    0.2304     0.1445   -1.15554  -0.04429  -0.01191    0.0274    1.0860
    0.2385     0.1377   -1.15525  -0.04298  -0.01068    0.0246    1.0980
    0.2469     0.1310   -1.19459  -0.03989  -0.01049    0.0242    1.0907
    0.2585     0.1234   -1.19747  -0.03898  -0.00983    0.0226    1.0625
    0.2754     0.1140   -1.22879  -0.03495  -0.00801    0.0184    1.0837
    0.3003     0.1032   -1.26741  -0.03246  -0.00788    0.0181    1.0696
    0.3273     0.0936   -1.31614  -0.02911  -0.00725    0.0167    1.0558
    0.3548     0.0856   -1.36802  -0.02675  -0.00739    0.0170    1.0474
    0.3846     0.0783   -1.38119  -0.02473  -0.00603    0.0139    1.0434
    0.4145     0.0718   -1.43241  -0.02281  -0.00622    0.0143    1.0402
    0.4441     0.0662   -1.43807  -0.02135  -0.00502    0.0116    1.0396
    0.4759     0.0607   -1.50757  -0.01952  -0.00562    0.0129    1.0336
    0.5070     0.0559   -1.56115  -0.01759  -0.00534    0.0123    1.0238
    0.5401     0.0513   -1.59300  -0.01619  -0.00484    0.0111    1.0361
    0.5721     0.0473   -1.60437  -0.01532  -0.00427    0.0098    1.0338
    0.6060     0.0435   -1.63293  -0.01360  -0.00329    0.0076    1.0194
    0.6419     0.0399   -1.70083  -0.01263  -0.00381    0.0088    1.0162
    0.6800     0.0365   -1.73193  -0.01190  -0.00371    0.0085    1.0216
    0.7203     0.0334   -1.78205  -0.01087  -0.00357    0.0082    1.0226
    0.7630     0.0304   -1.83672  -0.00953  -0.00312    0.0072    1.0173
    0.8082     0.0277   -1.85377  -0.00892  -0.00276    0.0064    1.0184
