n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2212   -1.53653  -0.06669  -0.05221    0.1202    1.0522
    0.0531     0.2340   -1.50650  -0.06911  -0.05353    0.1233    1.0296
    0.0556     0.2480   -1.44058  -0.07468  -0.05637    0.1298    1.0425
    0.0579     0.2654   -1.44860  -0.07884  -0.06069    0.1397    1.0584
    0.0589     0.2828   -1.41029  -0.08384  -0.06383    0.1470    1.0494
    0.0599     0.3080   -1.42651  -0.09097  -0.07137    0.1643    1.0422
    0.0609     0.3361   -1.40194  -0.09627  -0.07530    0.1734    1.0525
    0.0624     0.3755   -1.43339  -0.10652  -0.08652    0.1992    1.0643
    0.0638     0.4090   -1.38860  -0.11836  -0.09565    0.2202    1.0638
    0.0657     0.4433   -1.42861  -0.12675  -0.10560    0.2432    1.0590
    0.0680     0.4722   -1.43939  -0.13371  -0.11274    0.2596    1.0622
    0.0708     0.4941   -1.42011  -0.13906  -0.11690    0.2692    1.0555
    0.0729     0.4937   -1.44540  -0.13851  -0.11759    0.2708    1.0581
    0.0733     0.5109   -1.41276  -0.14131  -0.11867    0.2732    1.0604
    0.0737     0.5062   -1.42428  -0.13947  -0.11750    0.2705    1.0594
    0.0763     0.4694   -1.46930  -0.13109  -0.11161    0.2570    1.0636
    0.0785     0.4378   -1.43884  -0.12281  -0.10232    0.2356    1.0505
    0.0813     0.4074   -1.39592  -0.11583  -0.09362    0.2156    1.0576
    0.0846     0.3807   -1.42198  -0.10920  -0.08857    0.2039    1.0604
    0.0902     0.3582   -1.40883  -0.10260  -0.08166    0.1880    1.0512
    0.0983     0.3294   -1.39818  -0.09658  -0.07541    0.1736    1.0548
    0.1047     0.3006   -1.37350  -0.08772  -0.06580    0.1515    1.0615
    0.1103     0.2777   -1.39121  -0.08300  -0.06215    0.1431    1.0576
    0.1168     0.2571   -1.38935  -0.07492  -0.05436    0.1252    1.0596
    0.1245     0.2380   -1.38018  -0.07320  -0.05229    0.1204    1.0459
    0.1326     0.2218   -1.37613  -0.06726  -0.04644    0.1069    1.0547
    0.1445     0.2051   -1.34119  -0.06198  -0.03973    0.0915    1.0602
    0.1594     0.1814   -1.28748  -0.05563  -0.03089    0.0711    1.0673
    0.1728     0.1666   -1.28847  -0.05125  -0.02680    0.0617    1.0704
    0.1928     0.1581   -1.23914  -0.04856  -0.02142    0.0493    1.0705
    0.2018     0.1604   -1.22716  -0.05010  -0.02213    0.0510    1.0737
    0.2101     0.1636   -1.23061  -0.05073  -0.02294    0.0528    1.0675
    0.2188     0.1613   -1.25902  -0.04873  -0.02276    0.0524    1.0681
    0.2304     0.1476   -1.24957  -0.04577  -0.01942    0.0447    1.0547
    0.2385     0.1372   -1.26669  -0.04282  -0.01763    0.0406    1.0594
    0.2469     0.1281   -1.28667  -0.03948  -0.01557    0.0359    1.0634
    0.2585     0.1192   -1.28524  -0.03752  -0.01364    0.0314    1.0651
    0.2754     0.1102   -1.30140  -0.03447  -0.01159    0.0267    1.0655
    0.3003     0.1014   -1.32482  -0.03195  -0.01037    0.0239    1.0528
    0.3273     0.0932   -1.34477  -0.02981  -0.00927    0.0214    1.0525
    0.3548     0.0861   -1.36633  -0.02690  -0.00746    0.0172    1.0407
    0.3846     0.0792   -1.38453  -0.02477  -0.00620    0.0143    1.0453
    0.4145     0.0729   -1.41668  -0.02353  -0.00631    0.0145    1.0332
    0.4441     0.0671   -1.44934  -0.02098  -0.00508    0.0117    1.0359
    0.4759     0.0614   -1.48303  -0.01962  -0.00493    0.0113    1.0344
    0.5070     0.0563   -1.50423  -0.01823  -0.00428    0.0098    1.0297
    0.5401     0.0514   -1.55139  -0.01615  -0.00367    0.0084    1.0360
    0.5721     0.0471   -1.60682  -0.01482  -0.00385    0.0089    1.0311
    0.6060     0.0430   -1.62778  -0.01381  -0.00337    0.0078    1.0211
    0.6419     0.0391   -1.65407  -0.01225  -0.00245    0.0056    1.0202
    0.6800     0.0354   -1.69208  -0.01137  -0.00241    0.0055    1.0191
    0.7203     0.0321   -1.74705  -0.01044  -0.00254    0.0059    1.0165
    0.7630     0.0290   -1.82619  -0.00929  -0.00272    0.0063    1.0164
    0.8082     0.0262   -1.83409  -0.00850  -0.00206    0.0047    1.0164
    0.8511     0.0240   -1.87531  -0.00780  -0.00195    0.0045    1.0151
    0.8964     0.0220   -1.93438  -0.00709  -0.00199    0.0046    1.0113
    0.9441     0.0202   -1.97038  -0.00660  -0.00191    0.0044    1.0096
    0.9943     0.0186   -2.00994  -0.00592  -0.00164    0.0038    1.0138
    1.0470     0.0171   -2.04183  -0.00555  -0.00157    0.0036    1.0089
    1.1030     0.0158   -2.09745  -0.00508  -0.00158    0.0036    1.0079
    1.1610     0.0146   -2.13163  -0.00474  -0.00151    0.0035    1.0089
    1.2230     0.0135   -2.16978  -0.00433  -0.00137    0.0032    1.0071
    1.2880     0.0125   -2.21060  -0.00404  -0.00135    0.0031    1.0059
    1.3570     0.0115   -2.25670  -0.00358  -0.00117    0.0027    1.0096
    1.4290     0.0107   -2.28436  -0.00340  -0.00113    0.0026    1.0078
    1.5050     0.0101   -2.30780  -0.00327  -0.00112    0.0026    1.0054
    1.5850     0.0096   -2.33179  -0.00308  -0.00104    0.0024    1.0060
    1.6690     0.0090   -2.39625  -0.00284  -0.00108    0.0025    1.0030
    1.7580     0.0084   -2.42910  -0.00267  -0.00105    0.0024    1.0081
    1.8510     0.0077   -2.46101  -0.00254  -0.00103    0.0024    1.0046
    1.9500     0.0071   -2.51873  -0.00229  -0.00097    0.0022    1.0031
    2.0540     0.0066   -2.56764  -0.00214  -0.00096    0.0022    1.0027
    2.1500     0.0062   -2.60889  -0.00202  -0.00094    0.0022    1.0026
    2.2520     0.0058   -2.65082  -0.00188  -0.00091    0.0021    1.0014
    2.3580     0.0054   -2.69492  -0.00176  -0.00088    0.0020    1.0030
    2.4690     0.0051   -2.73455  -0.00167  -0.00087    0.0020    1.0010
    2.5850     0.0047   -2.79527  -0.00151  -0.00082    0.0019    1.0011
    2.7070     0.0044   -2.83483  -0.00145  -0.00081    0.0019    1.0011
    2.8350     0.0040   -2.89147  -0.00134  -0.00078    0.0018    1.0026
    2.9680     0.0037   -2.96849  -0.00119  -0.00072    0.0017    1.0016
    3.0900     0.0034   -3.03069  -0.00109  -0.00069    0.0016    1.0010
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.4425   -1.31459  -0.12520  -0.09799    0.2256    1.0918
    0.0531     0.4680   -1.28546  -0.13074  -0.10135    0.2334    1.0745
    0.0556     0.4961   -1.27517  -0.13959  -0.10891    0.2508    1.0835
    0.0579     0.5309   -1.27060  -0.14630  -0.11485    0.2645    1.0944
    0.0589     0.5656   -1.21487  -0.15342  -0.11726    0.2700    1.0795
    0.0599     0.6160   -1.27052  -0.16291  -0.13027    0.3000    1.0864
    0.0609     0.6723   -1.25063  -0.17981  -0.14439    0.3325    1.1020
    0.0624     0.7511   -1.26975  -0.19251  -0.15759    0.3629    1.1018
    0.0638     0.8180   -1.27120  -0.21134  -0.17506    0.4031    1.0912
    0.0657     0.8866   -1.30880  -0.22328  -0.18900    0.4352    1.1038
    0.0680     0.9444   -1.32993  -0.22976  -0.19658    0.4526    1.1049
    0.0708     0.9883   -1.35927  -0.24172  -0.20979    0.4831    1.0953
    0.0729     0.9873   -1.36239  -0.24339  -0.21157    0.4872    1.0898
    0.0733     1.0218   -1.36368  -0.24387  -0.21210    0.4884    1.1049
    0.0737     1.0125   -1.38720  -0.24083  -0.21088    0.4856    1.1042
    0.0763     0.9388   -1.32461  -0.23164  -0.19792    0.4557    1.0942
    0.0785     0.8756   -1.30210  -0.21685  -0.18255    0.4203    1.0971
    0.0813     0.8148   -1.30500  -0.20998  -0.17642    0.4062    1.0938
