n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.1553   -1.59562  -0.04756  -0.03544    0.0816    1.0334
    0.0531     0.1681   -1.63325  -0.05234  -0.04109    0.0946    1.0274
    0.0556     0.1825   -1.55674  -0.05652  -0.04301    0.0990    1.0343
    0.0579     0.1972   -1.52285  -0.06107  -0.04633    0.1067    1.0358
    0.0589     0.2131   -1.53814  -0.06352  -0.04919    0.1133    1.0348
    0.0599     0.2300   -1.49369  -0.06937  -0.05332    0.1228    1.0368
    0.0609     0.2476   -1.54209  -0.07258  -0.05809    0.1338    1.0383
    0.0624     0.2715   -1.51790  -0.07967  -0.06412    0.1476    1.0446
    0.0638     0.2934   -1.49761  -0.08672  -0.07018    0.1616    1.0448
    0.0657     0.3187   -1.51314  -0.09412  -0.07788    0.1793    1.0440
    0.0680     0.3455   -1.53309  -0.10006  -0.08433    0.1942    1.0434
    0.0708     0.3719   -1.53179  -0.10610  -0.09010    0.2075    1.0411
    0.0729     0.3739   -1.51607  -0.10973  -0.09301    0.2142    1.0458
    0.0733     0.3783   -1.52241  -0.11082  -0.09430    0.2171    1.0413
    0.0737     0.3751   -1.49871  -0.10825  -0.09092    0.2094    1.0399
    0.0763     0.3457   -1.54103  -0.09853  -0.08313    0.1914    1.0428
    0.0785     0.3189   -1.51889  -0.09271  -0.07673    0.1767    1.0502
    0.0813     0.2927   -1.47955  -0.08837  -0.07108    0.1637    1.0410
    0.0846     0.2700   -1.50445  -0.07963  -0.06360    0.1465    1.0433
    0.0902     0.2491   -1.48824  -0.07398  -0.05757    0.1325    1.0492
    0.0983     0.2290   -1.45878  -0.06943  -0.05206    0.1199    1.0413
    0.1047     0.2105   -1.44659  -0.06415  -0.04651    0.1071    1.0436
    0.1103     0.1943   -1.47583  -0.06009  -0.04373    0.1007    1.0433
    0.1168     0.1792   -1.48161  -0.05395  -0.03802    0.0875    1.0467
    0.1245     0.1651   -1.49752  -0.05093  -0.03567    0.0821    1.0325
    0.1326     0.1526   -1.51215  -0.04679  -0.03216    0.0741    1.0437
    0.1445     0.1406   -1.49422  -0.04396  -0.02883    0.0664    1.0362
    0.1594     0.1298   -1.48526  -0.04042  -0.02510    0.0578    1.0399
    0.1728     0.1273   -1.45420  -0.03968  -0.02328    0.0536    1.0385
    0.1928     0.1373   -1.40765  -0.04300  -0.02463    0.0567    1.0565
    0.2018     0.1488   -1.36976  -0.04626  -0.02611    0.0601    1.0521
    0.2101     0.1601   -1.37828  -0.04965  -0.02974    0.0685    1.0509
    0.2188     0.1632   -1.41375  -0.05072  -0.03229    0.0744    1.0555
    0.2304     0.1492   -1.38097  -0.04558  -0.02597    0.0598    1.0473
    0.2385     0.1370   -1.38837  -0.04186  -0.02273    0.0523    1.0487
    0.2469     0.1262   -1.37750  -0.04065  -0.02110    0.0486    1.0600
    0.2585     0.1161   -1.39612  -0.03615  -0.01759    0.0405    1.0556
    0.2754     0.1067   -1.38940  -0.03392  -0.01517    0.0349    1.0416
    0.3003     0.0987   -1.43677  -0.03086  -0.01413    0.0325    1.0627
    0.3273     0.0909   -1.44681  -0.02857  -0.01230    0.0283    1.0370
    0.3548     0.0840   -1.46432  -0.02626  -0.01070    0.0246    1.0375
    0.3846     0.0774   -1.51073  -0.02457  -0.01062    0.0245    1.0289
    0.4145     0.0713   -1.49629  -0.02229  -0.00795    0.0183    1.0363
    0.4441     0.0659   -1.53030  -0.02092  -0.00768    0.0177    1.0356
    0.4759     0.0605   -1.54782  -0.01927  -0.00660    0.0152    1.0303
    0.5070     0.0558   -1.60199  -0.01801  -0.00684    0.0157    1.0295
    0.5401     0.0513   -1.64245  -0.01625  -0.00610    0.0140    1.0220
