n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2915   -1.35373  -0.08467  -0.06191    0.1425    1.0567
    0.0531     0.3014   -1.35879  -0.08769  -0.06503    0.1497    1.0566
    0.0556     0.3117   -1.31737  -0.09216  -0.06704    0.1544    1.0803
    0.0579     0.3286   -1.30537  -0.09700  -0.07092    0.1633    1.0645
    0.0589     0.3441   -1.27094  -0.09761  -0.06941    0.1598    1.0693
    0.0599     0.3737   -1.23237  -0.10832  -0.07685    0.1770    1.0782
    0.0609     0.4086   -1.27534  -0.11591  -0.08682    0.1999    1.0778
    0.0624     0.4587   -1.26678  -0.12731  -0.09690    0.2231    1.0927
    0.0638     0.4992   -1.25054  -0.13781  -0.10554    0.2430    1.0882
    0.0657     0.5376   -1.26925  -0.14950  -0.11772    0.2711    1.0941
    0.0680     0.5638   -1.25133  -0.15504  -0.12157    0.2799    1.0860
    0.0708     0.5763   -1.28455  -0.15670  -0.12549    0.2890    1.0859
    0.0729     0.5759   -1.30140  -0.15430  -0.12440    0.2864    1.0880
    0.0733     0.6084   -1.24166  -0.16882  -0.13357    0.3076    1.0908
    0.0737     0.6037   -1.28638  -0.16467  -0.13304    0.3063    1.0873
    0.0763     0.5719   -1.28984  -0.15603  -0.12523    0.2884    1.0864
    0.0785     0.5461   -1.27840  -0.15319  -0.12180    0.2805    1.0882
    0.0813     0.5216   -1.27674  -0.14591  -0.11491    0.2646    1.0928
    0.0846     0.4982   -1.29886  -0.13762  -0.10865    0.2502    1.0884
    0.0902     0.4818   -1.29013  -0.13445  -0.10512    0.2420    1.0840
    0.0983     0.4517   -1.26574  -0.12819  -0.09765    0.2249    1.0875
    0.1047     0.4151   -1.24445  -0.11921  -0.08782    0.2022    1.0724
    0.1103     0.3853   -1.25026  -0.10989  -0.07954    0.1831    1.0777
    0.1168     0.3592   -1.25401  -0.10492  -0.07516    0.1731    1.0792
    0.1245     0.3345   -1.28433  -0.09700  -0.06967    0.1604    1.0812
    0.1326     0.3128   -1.26183  -0.09273  -0.06426    0.1480    1.0747
