n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2212   -1.32623  -0.10523  -0.07987    0.1839    1.0453
    0.0531     0.2340   -1.33543  -0.11154  -0.08635    0.1988    1.0444
    0.0556     0.2480   -1.30219  -0.11770  -0.09019    0.2077    1.0487
    0.0579     0.2654   -1.26332  -0.12615  -0.09558    0.2201    1.0481
    0.0589     0.2828   -1.27376  -0.13415  -0.10375    0.2389    1.0519
    0.0599     0.3080   -1.27513  -0.14592  -0.11481    0.2644    1.0504
    0.0609     0.3361   -1.23260  -0.15961  -0.12437    0.2864    1.0512
    0.0624     0.3755   -1.25474  -0.17788  -0.14294    0.3291    1.0540
    0.0638     0.4090   -1.24250  -0.19365  -0.15648    0.3603    1.0575
    0.0657     0.4433   -1.23439  -0.21077  -0.17147    0.3948    1.0548
    0.0680     0.4722   -1.24128  -0.22385  -0.18402    0.4237    1.0587
    0.0708     0.4941   -1.24971  -0.23470  -0.19465    0.4482    1.0642
    0.0729     0.4937   -1.28832  -0.23439  -0.19763    0.4551    1.0606
    0.0733     0.5109   -1.25673  -0.24247  -0.20236    0.4659    1.0592
    0.0737     0.5062   -1.27831  -0.24030  -0.20223    0.4657    1.0658
    0.0763     0.4694   -1.27611  -0.22270  -0.18590    0.4280    1.0621
    0.0785     0.4378   -1.25912  -0.20785  -0.17087    0.3935    1.0657
    0.0813     0.4074   -1.27230  -0.19368  -0.15887    0.3658    1.0572
    0.0846     0.3807   -1.24468  -0.18099  -0.14501    0.3339    1.0560
    0.0902     0.3582   -1.23814  -0.17028  -0.13464    0.3100    1.0551
    0.0983     0.3294   -1.22311  -0.15632  -0.12059    0.2777    1.0622
    0.1047     0.3006   -1.22597  -0.14250  -0.10806    0.2488    1.0578
    0.1103     0.2777   -1.20846  -0.13188  -0.09692    0.2232    1.0537
    0.1168     0.2571   -1.22871  -0.12203  -0.08933    0.2057    1.0533
    0.1245     0.2380   -1.22331  -0.11316  -0.08070    0.1858    1.0487
    0.1326     0.2218   -1.20734  -0.10579  -0.07271    0.1674    1.0613
    0.1445     0.2051   -1.18611  -0.09749  -0.06344    0.1461    1.0514
    0.1594     0.1814   -1.14252  -0.08596  -0.04942    0.1138    1.0577
    0.1728     0.1666   -1.13999  -0.07917  -0.04297    0.0989    1.0678
    0.1928     0.1581   -1.07359  -0.07526  -0.03371    0.0776    1.0767
    0.2018     0.1604   -1.06614  -0.07638  -0.03404    0.0784    1.0767
    0.2101     0.1636   -1.09098  -0.07787  -0.03766    0.0867    1.0685
    0.2188     0.1613   -1.07084  -0.07669  -0.03476    0.0800    1.0679
    0.2304     0.1476   -1.09531  -0.07028  -0.03110    0.0716    1.0658
    0.2385     0.1372   -1.11845  -0.06523  -0.02841    0.0654    1.0676
    0.2469     0.1281   -1.12550  -0.06095  -0.02505    0.0577    1.0643
    0.2585     0.1192   -1.12911  -0.05667  -0.02139    0.0492    1.0589
    0.2754     0.1102   -1.11721  -0.05237  -0.01648    0.0380    1.0644
    0.3003     0.1014   -1.17118  -0.04838  -0.01682    0.0387    1.0525
    0.3273     0.0932   -1.18502  -0.04443  -0.01410    0.0325    1.0503
    0.3548     0.0861   -1.21654  -0.04091  -0.01286    0.0296    1.0429
    0.3846     0.0792   -1.23560  -0.03767  -0.01098    0.0253    1.0470
    0.4145     0.0729   -1.25797  -0.03463  -0.00941    0.0217    1.0414
    0.4441     0.0671   -1.29451  -0.03191  -0.00881    0.0203    1.0456
    0.4759     0.0614   -1.34045  -0.02916  -0.00846    0.0195    1.0343
    0.5070     0.0563   -1.37443  -0.02672  -0.00764    0.0176    1.0333
    0.5401     0.0514   -1.39712  -0.02441  -0.00638    0.0147    1.0266
    0.5721     0.0471   -1.42582  -0.02242  -0.00560    0.0129    1.0254
    0.6060     0.0430   -1.46268  -0.02049  -0.00508    0.0117    1.0216
    0.6419     0.0391   -1.50266  -0.01868  -0.00466    0.0107    1.0221
    0.6800     0.0354   -1.54168  -0.01686  -0.00408    0.0094    1.0186
    0.7203     0.0321   -1.59945  -0.01528  -0.00411    0.0095    1.0206
    0.7630     0.0290   -1.64864  -0.01378  -0.00383    0.0088    1.0160
    0.8082     0.0262   -1.69138  -0.01249  -0.00349    0.0080    1.0222
    0.8511     0.0240   -1.73124  -0.01142  -0.00322    0.0074    1.0164
    0.8964     0.0220   -1.77048  -0.01046  -0.00298    0.0069    1.0145
    0.9441     0.0202   -1.81519  -0.00957  -0.00283    0.0065    1.0115
    0.9943     0.0186   -1.86062  -0.00886  -0.00279    0.0064    1.0126
    1.0470     0.0171   -1.90390  -0.00814  -0.00265    0.0061    1.0115
    1.1030     0.0158   -1.93542  -0.00750  -0.00240    0.0055    1.0088
    1.1610     0.0146   -1.97423  -0.00695  -0.00229    0.0053    1.0111
    1.2230     0.0135   -2.00905  -0.00643  -0.00214    0.0049    1.0101
    1.2880     0.0125   -2.05349  -0.00592  -0.00204    0.0047    1.0079
    1.3570     0.0115   -2.09199  -0.00547  -0.00193    0.0044    1.0068
    1.4290     0.0107   -2.11985  -0.00512  -0.00180    0.0041    1.0073
    1.5050     0.0101   -2.14711  -0.00483  -0.00171    0.0039    1.0062
    1.5850     0.0096   -2.18042  -0.00454  -0.00165    0.0038    1.0050
    1.6690     0.0090   -2.22129  -0.00428  -0.00166    0.0038    1.0051
    1.7580     0.0084   -2.25859  -0.00398  -0.00157    0.0036    1.0062
    1.8510     0.0077   -2.30695  -0.00367  -0.00152    0.0035    1.0043
    1.9500     0.0071   -2.35890  -0.00339  -0.00148    0.0034    1.0033
    2.0540     0.0066   -2.40891  -0.00314  -0.00143    0.0033    1.0029
    2.1500     0.0062   -2.44766  -0.00293  -0.00138    0.0032    1.0028
    2.2520     0.0058   -2.48944  -0.00276  -0.00135    0.0031    1.0032
    2.3580     0.0054   -2.53111  -0.00259  -0.00130    0.0030    1.0026
    2.4690     0.0051   -2.57663  -0.00242  -0.00126    0.0029    1.0023
    2.5850     0.0047   -2.62465  -0.00225  -0.00121    0.0028    1.0027
    2.7070     0.0044   -2.67701  -0.00209  -0.00117    0.0027    1.0020
    2.8350     0.0040   -2.73507  -0.00192  -0.00112    0.0026    1.0026
    2.9680     0.0037   -2.79836  -0.00176  -0.00107    0.0025    1.0015
    3.0900     0.0034   -2.85544  -0.00163  -0.00102    0.0024    1.0017
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.4425   -1.12257  -0.20969  -0.15962    0.3675    1.0663
    0.0531     0.4680   -1.13251  -0.22164  -0.17135    0.3945    1.0833
    0.0556     0.4961   -1.10753  -0.23470  -0.18008    0.4146    1.0907
    0.0579     0.5309   -1.08110  -0.25143  -0.19148    0.4409    1.0952
