n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.1553   -1.44672  -0.07203  -0.05408    0.1245    1.0433
    0.0531     0.1681   -1.42107  -0.07758  -0.05832    0.1343    1.0336
    0.0556     0.1825   -1.38525  -0.08311  -0.06197    0.1427    1.0386
    0.0579     0.1972   -1.37397  -0.09037  -0.06833    0.1573    1.0352
    0.0589     0.2131   -1.37444  -0.09787  -0.07549    0.1738    1.0393
    0.0599     0.2300   -1.41687  -0.10394  -0.08331    0.1918    1.0424
    0.0609     0.2476   -1.38159  -0.11379  -0.09096    0.2094    1.0410
    0.0624     0.2715   -1.39319  -0.12374  -0.10099    0.2325    1.0402
    0.0638     0.2934   -1.37187  -0.13436  -0.10993    0.2531    1.0430
    0.0657     0.3187   -1.39700  -0.14438  -0.12076    0.2781    1.0495
    0.0680     0.3455   -1.39905  -0.15598  -0.13185    0.3036    1.0525
    0.0708     0.3719   -1.39454  -0.16662  -0.14165    0.3262    1.0453
    0.0729     0.3739   -1.40373  -0.16710  -0.14262    0.3284    1.0419
    0.0733     0.3783   -1.38550  -0.16871  -0.14312    0.3295    1.0508
    0.0737     0.3751   -1.39832  -0.16965  -0.14473    0.3332    1.0552
    0.0763     0.3457   -1.39197  -0.15422  -0.12980    0.2989    1.0534
    0.0785     0.3189   -1.36693  -0.14589  -0.12054    0.2775    1.0496
    0.0813     0.2927   -1.35610  -0.13192  -0.10675    0.2458    1.0439
    0.0846     0.2700   -1.37533  -0.12207  -0.09848    0.2268    1.0504
    0.0902     0.2491   -1.36671  -0.11450  -0.09085    0.2092    1.0435
    0.0983     0.2290   -1.32395  -0.10521  -0.07973    0.1836    1.0474
    0.1047     0.2105   -1.33318  -0.09697  -0.07246    0.1669    1.0396
    0.1103     0.1943   -1.31147  -0.08950  -0.06420    0.1478    1.0467
    0.1168     0.1792   -1.36219  -0.08187  -0.05967    0.1374    1.0458
    0.1245     0.1651   -1.34127  -0.07596  -0.05300    0.1220    1.0423
    0.1326     0.1526   -1.36402  -0.07062  -0.04907    0.1130    1.0484
    0.1445     0.1406   -1.35317  -0.06514  -0.04333    0.0998    1.0420
    0.1594     0.1298   -1.33931  -0.06089  -0.03860    0.0889    1.0352
    0.1728     0.1273   -1.32916  -0.05903  -0.03632    0.0836    1.0530
    0.1928     0.1373   -1.25360  -0.06451  -0.03728    0.0858    1.0544
    0.2018     0.1488   -1.26389  -0.06784  -0.04104    0.0945    1.0595
    0.2101     0.1601   -1.25252  -0.07401  -0.04613    0.1062    1.0637
    0.2188     0.1632   -1.23415  -0.07517  -0.04605    0.1060    1.0630
    0.2304     0.1492   -1.24184  -0.06927  -0.04102    0.0945    1.0652
    0.2385     0.1370   -1.24489  -0.06389  -0.03617    0.0833    1.0616
    0.2469     0.1262   -1.24425  -0.05844  -0.03101    0.0714    1.0554
    0.2585     0.1161   -1.25125  -0.05375  -0.02703    0.0622    1.0525
    0.2754     0.1067   -1.24746  -0.05032  -0.02357    0.0543    1.0628
    0.3003     0.0987   -1.27645  -0.04598  -0.02116    0.0487    1.0613
    0.3273     0.0909   -1.28732  -0.04255  -0.01851    0.0426    1.0498
    0.3548     0.0840   -1.30270  -0.03952  -0.01645    0.0379    1.0430
    0.3846     0.0774   -1.35311  -0.03589  -0.01546    0.0356    1.0413
    0.4145     0.0713   -1.38344  -0.03331  -0.01433    0.0330    1.0388
    0.4441     0.0659   -1.40727  -0.03030  -0.01244    0.0286    1.0357
    0.4759     0.0605   -1.40216  -0.02854  -0.01054    0.0243    1.0349
    0.5070     0.0558   -1.45320  -0.02620  -0.01025    0.0236    1.0397
    0.5401     0.0513   -1.48607  -0.02392  -0.00919    0.0212    1.0341
    0.5721     0.0474   -1.49669  -0.02224  -0.00792    0.0182    1.0284
    0.6060     0.0437   -1.54259  -0.02035  -0.00749    0.0173    1.0281
    0.6419     0.0403   -1.57743  -0.01901  -0.00716    0.0165    1.0257
    0.6800     0.0370   -1.60056  -0.01759  -0.00639    0.0147    1.0321
    0.7203     0.0340   -1.64140  -0.01589  -0.00572    0.0132    1.0237
    0.7630     0.0313   -1.69200  -0.01464  -0.00560    0.0129    1.0173
    0.8082     0.0287   -1.72269  -0.01348  -0.00508    0.0117    1.0198
    0.8511     0.0265   -1.77871  -0.01241  -0.00503    0.0116    1.0191
    0.8964     0.0245   -1.80533  -0.01140  -0.00447    0.0103    1.0156
    0.9441     0.0226   -1.83729  -0.01062  -0.00419    0.0097    1.0130
    0.9943     0.0208   -1.88456  -0.00979  -0.00404    0.0093    1.0151
    1.0470     0.0192   -1.92588  -0.00901  -0.00378    0.0087    1.0126
    1.1030     0.0177   -1.96414  -0.00837  -0.00359    0.0083    1.0110
