n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2915   -1.22762  -0.13042  -0.09702    0.2234    1.0494
    0.0531     0.3014   -1.19255  -0.13680  -0.10019    0.2307    1.0688
    0.0556     0.3117   -1.18744  -0.14103  -0.10366    0.2387    1.0741
    0.0579     0.3286   -1.18442  -0.14753  -0.10936    0.2518    1.0928
    0.0589     0.3441   -1.11666  -0.15603  -0.11090    0.2554    1.0738
    0.0599     0.3737   -1.12978  -0.16650  -0.12163    0.2801    1.1001
    0.0609     0.4086   -1.13467  -0.18321  -0.13717    0.3159    1.0943
    0.0624     0.4587   -1.12490  -0.20199  -0.15300    0.3523    1.1039
    0.0638     0.4992   -1.10580  -0.22172  -0.16842    0.3878    1.0919
    0.0657     0.5376   -1.13731  -0.23506  -0.18382    0.4233    1.1038
    0.0680     0.5638   -1.15177  -0.24549  -0.19469    0.4483    1.1103
    0.0708     0.5763   -1.16282  -0.25109  -0.20089    0.4626    1.0981
    0.0729     0.5759   -1.13923  -0.25397  -0.20080    0.4624    1.0955
    0.0733     0.6084   -1.14300  -0.26832  -0.21392    0.4926    1.1156
    0.0737     0.6037   -1.13360  -0.26360  -0.20865    0.4804    1.1105
    0.0763     0.5719   -1.15691  -0.25144  -0.20055    0.4618    1.1116
    0.0785     0.5461   -1.15358  -0.23876  -0.18890    0.4349    1.0959
    0.0813     0.5216   -1.15092  -0.22937  -0.18023    0.4150    1.1002
    0.0846     0.4982   -1.17932  -0.22006  -0.17480    0.4025    1.0952
    0.0902     0.4818   -1.14965  -0.21307  -0.16551    0.3811    1.0971
    0.0983     0.4517   -1.13680  -0.20042  -0.15285    0.3519    1.0971
    0.1047     0.4151   -1.12945  -0.18396  -0.13732    0.3162    1.1042
    0.1103     0.3853   -1.10805  -0.17091  -0.12341    0.2842    1.0866
    0.1168     0.3592   -1.11551  -0.16142  -0.11564    0.2663    1.0951
    0.1245     0.3345   -1.11980  -0.15068  -0.10639    0.2450    1.0980
    0.1326     0.3128   -1.13108  -0.14157  -0.09921    0.2284    1.0871
    0.1445     0.2861   -1.10294  -0.12994  -0.08603    0.1981    1.0951
    0.1594     0.2416   -1.06643  -0.10872  -0.06331    0.1458    1.0989
    0.1728     0.2096   -0.99534  -0.09656  -0.04493    0.1035    1.1156
    0.1928     0.1786   -0.95845  -0.08131  -0.02720    0.0626    1.1047
    0.2018     0.1693   -0.96459  -0.07857  -0.02549    0.0587    1.1249
    0.2101     0.1624   -0.95154  -0.07579  -0.02151    0.0495    1.1117
    0.2188     0.1549   -0.97990  -0.07270  -0.02200    0.0507    1.1141
    0.2304     0.1445   -1.00489  -0.06685  -0.01944    0.0448    1.0920
    0.2385     0.1377   -1.00463  -0.06438  -0.01720    0.0396    1.0956
    0.2469     0.1310   -1.04516  -0.05953  -0.01681    0.0387    1.0837
    0.2585     0.1234   -1.05742  -0.05694  -0.01559    0.0359    1.0945
    0.2754     0.1140   -1.07584  -0.05345  -0.01405    0.0323    1.0791
    0.3003     0.1032   -1.12942  -0.04757  -0.01302    0.0300    1.0768
    0.3273     0.0936   -1.15422  -0.04381  -0.01137    0.0262    1.0765
    0.3548     0.0856   -1.20656  -0.03974  -0.01113    0.0256    1.0634
    0.3846     0.0783   -1.25045  -0.03630  -0.01056    0.0243    1.0536
    0.4145     0.0718   -1.29786  -0.03319  -0.01020    0.0235    1.0583
    0.4441     0.0662   -1.30267  -0.03092  -0.00829    0.0191    1.0482
    0.4759     0.0607   -1.35925  -0.02835  -0.00854    0.0197    1.0319
    0.5070     0.0559   -1.38329  -0.02642  -0.00774    0.0178    1.0329
    0.5401     0.0513   -1.42518  -0.02412  -0.00720    0.0166    1.0373
    0.5721     0.0473   -1.46091  -0.02206  -0.00653    0.0150    1.0279
    0.6060     0.0435   -1.51236  -0.02036  -0.00660    0.0152    1.0340
    0.6419     0.0399   -1.51437  -0.01871  -0.00506    0.0116    1.0302
    0.6800     0.0365   -1.58454  -0.01724  -0.00564    0.0130    1.0289
    0.7203     0.0334   -1.63495  -0.01561  -0.00530    0.0122    1.0242
    0.7630     0.0304   -1.66860  -0.01426  -0.00474    0.0109    1.0201
    0.8082     0.0277   -1.72285  -0.01292  -0.00454    0.0104    1.0196
    0.8511     0.0255   -1.75245  -0.01190  -0.00408    0.0094    1.0173
    0.8964     0.0234   -1.79829  -0.01095  -0.00392    0.0090    1.0213
    0.9441     0.0215   -1.83406  -0.01016  -0.00369    0.0085    1.0174
    0.9943     0.0197   -1.88291  -0.00930  -0.00353    0.0081    1.0161
    1.0470     0.0180   -1.93332  -0.00842  -0.00329    0.0076    1.0111
    1.1030     0.0166   -1.97466  -0.00791  -0.00324    0.0075    1.0116
    1.1610     0.0152   -1.99917  -0.00723  -0.00283    0.0065    1.0124
    1.2230     0.0140   -2.06977  -0.00651  -0.00277    0.0064    1.0103
    1.2880     0.0128   -2.10539  -0.00608  -0.00264    0.0061    1.0092
    1.3570     0.0119   -2.14264  -0.00560  -0.00245    0.0056    1.0066
    1.4290     0.0110   -2.17525  -0.00523  -0.00230    0.0053    1.0062
    1.5050     0.0102   -2.22186  -0.00480  -0.00217    0.0050    1.0056
    1.5850     0.0094   -2.26780  -0.00449  -0.00212    0.0049    1.0053
    1.6690     0.0087   -2.31333  -0.00412  -0.00199    0.0046    1.0054
    1.7580     0.0081   -2.35531  -0.00382  -0.00189    0.0044    1.0036
    1.8510     0.0075   -2.38796  -0.00360  -0.00181    0.0042    1.0041
    1.9500     0.0070   -2.43749  -0.00331  -0.00172    0.0040    1.0031
    2.0540     0.0065   -2.48269  -0.00305  -0.00161    0.0037    1.0041
    2.1500     0.0061   -2.52187  -0.00286  -0.00155    0.0036    1.0034
    2.2520     0.0057   -2.55825  -0.00269  -0.00148    0.0034    1.0026
    2.3580     0.0053   -2.60457  -0.00248  -0.00140    0.0032    1.0029
    2.4690     0.0050   -2.64124  -0.00235  -0.00135    0.0031    1.0027
    2.5850     0.0047   -2.68864  -0.00218  -0.00129    0.0030    1.0025
    2.7070     0.0044   -2.72084  -0.00207  -0.00124    0.0029    1.0023
    2.8350     0.0041   -2.77172  -0.00191  -0.00117    0.0027    1.0021
    2.9680     0.0038   -2.81661  -0.00179  -0.00113    0.0026    1.0017
    3.0900     0.0036   -2.86265  -0.00166  -0.00106    0.0024    1.0014
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.5831   -1.08992  -0.25596  -0.19656    0.4526    1.1002
    0.0531     0.6028   -1.06350  -0.26259  -0.19882    0.4578    1.1176
    0.0556     0.6235   -1.01628  -0.26948  -0.19791    0.4557    1.1345
    0.0579     0.6573   -1.02581  -0.28436  -0.21198    0.4881    1.1559
    0.0589     0.6882   -1.00498  -0.29496  -0.21760    0.5011    1.1589
    0.0599     0.7474   -1.00580  -0.31610  -0.23536    0.5419    1.1521
    0.0609     0.8172   -1.02645  -0.34671  -0.26427    0.6085    1.1784
    0.0624     0.9174   -1.02999  -0.38186  -0.29378    0.6765    1.1854
    0.0638     0.9983   -1.08711  -0.41645  -0.33242    0.7654    1.1835
    0.0657     1.0753   -1.09701  -0.43815  -0.35202    0.8105    1.1808
    0.0680     1.1276   -1.14841  -0.45503  -0.37492    0.8633    1.1751
    0.0708     1.1526   -1.14266  -0.46464  -0.38190    0.8794    1.1775
    0.0729     1.1519   -1.13728  -0.47315  -0.38796    0.8933    1.1744
    0.0733     1.2168   -1.13973  -0.48607  -0.39900    0.9187    1.1831
    0.0737     1.2074   -1.13669  -0.48554  -0.39802    0.9165    1.1819
    0.0763     1.1438   -1.13472  -0.46585  -0.38151    0.8785    1.1778
    0.0785     1.0923   -1.13171  -0.44362  -0.36260    0.8349    1.1692
